L2_orth,L2_ipa,L2_gloss,L2_etym
A,,"The first letter of the Rohingya alphabet, written in the Latin script.",
aalu,,potato,
abas,,sound,
ací,,eighty,
Adom,,Adam,
ai,,come,
aiyó,,come,
alu,,potato,
amm,,fruit of the mango tree,
andha,,"egg, Synonym: dhim",
Arakan,,Aracan,
arde,,and,
azan,,(Islam) adhan,
añctho,,eight,
añcto,,eight,
añçáro,,eighteen,
aññi,,I,
bab,,"father, Synonym: baf",
badam,,almond,
bag,,tiger,
balu,,sand,
baró,,twelve,
bayon,,brinjal,
baái,,"Not fresh, old.",
beng,,frog,
bilai,,cat,
boda,,egg,
boga,,egret,
boro,,large,
boól,,ball,
buth,,boat,
báb,,steam,
bát,,rice,
béra,,lady finger,
bór,,heavy,
búk,,hunger,
calic,,forty,
camic,,spoon,
cii,/ʃiː/,The name of the Latin-script letter C.,
cum,,kiss,
cáda,,white,
cáigor,,ocean,
cánti,,peace,
cíng,,horn (clarification of this definition is needed),
cót,,hundred,
cúlloh,,sixteen,
dabai,,medicine,
daktor,,doctor,
daktorni,,lady doctor,
dam,,"price, Synonyms: dor, kimot",
dat,,tooth,
dec,,country,
dhim,,egg,
doc,,ten,
doo,,knife,
dor,,"price, Synonyms: dam, kimot",
doria,,sea,
duar,,door,
dui,,two,
dut,,milk,
dóla,,white,
dúl,,dust,
dúo,,to wash,
egaro,,eleven,
ek,,one,
ekcót,,one hundred,
ekkurul,,ten million,
ekkuthí,,one billion,
eklák,,hundred thousand,
ekázar,,one thousand,
enác,,pineapple,
fak,,wing,
fan,,betel leaf,
faní,,water,
fata,,leaf,
fattór,,stone,
fañs,/fãs/,five,
feti,,box,
fiala,,cup,
fith,,back,
fonjaic,,fifty,
fool,,mad man,
fundóro,,fifteen,
furan,,old,
fut,,son,
futíla,,toy,
fól,,cucumber,
fúl,,flower,
gaa,,body,
gai,,cow,
gal,,mouth,
gana,,song,
garí,,car,
gas,,tree,
gaá,,sing,
gom,,good,
gor,,do,
gorom,,hot,
goól,,goal,
gula,,fruit,
gáa,,infection,
gór,,house,
hala,,black,
ham,,work,
han,,ear,
hana,,blind,
haththól,,jack fruit,
hañsari,,court,
holom,,pen,
hon,,who,
há,,to eat,
hál,,river,
hát,,hand,
házar,,thousand,
háñt,,seven,
háñtaroh,,seventeen,
hórin,,deer,
januar,,animal,
jin,,jinn,
kela,,banana,
kesi,,scissors,
ki,,what,
kitab,,book (collection of sheets of paper bound together,
kuri,,twenty,
kursí,,chair,
kurul,,ten million,
kuthí,,billion,
kéil,,"play, game",
lak,,hundred thousand,
lal,,red,
lamba,,long,
les,,tail,
léça,,thin,
manúic,,human,
mas,,fish,
masí,,fly,
matá,,head,
mes,,table,
meçi,,soil,
moris,,pepper,
mouris,,chilli,
muk,,face,
mut,,urine,
mutha,,fat,
mác,,month,
nak,,nose,
nam,,name,
nati,,grandson,
naás,,nurse,
no,,nine,
nobboi,,ninety,
nodi,,"river
Synonym: hál",
nofól,,"(Islam) nafl prayer (extra, non-compulsory prayer)",
nok,,nail (on fingers/toes),
noo,,small boat,
norom,,soft,
nun,,salt,
ooin,,fire,
rait,,night,
rani,,queen,
raza,,king,
rokto,,blood,
rong,,color,
rufa,,silver,
ruti,,bread,
rwasígri,,chairman of the village,
sabí,,key,
sair,,four,
sal,,roof,
sam,,"skin, Synonym: samra",
san,,moon,
sifír,,zero,
soiddó,,fourteen,
soil,,rice,
suk,,eye,
sul,,hair,
sur,,thief,
sáti,,umbrella,
sép,,apple,
só,,six,
sóol,,sheep,
súri,,knife,
tala,,lock,
tara,,star,
taza,,fresh,
tel,,oil,
teró,,thirteen,
thayon,,tomato,
thánda,,cold,
tin,,three,
tir,,arrow,
tiríc,,thirty,
tita,,bitter,
tui,,you (singular),
tuta,,parrot,
tál,,plate,
unnúic,,nineteen,
uro,,to fly,
zaga,,land,
zep,,pocket,
zo,,to go,
zuta,,shoe,
áith,,sixty,
ázar,,Alternative form of házar,
ç,/ɽ/,"The fourth letter of the Rohingya alphabet, called çii and written in the Latin script.",
çii,/ɽiː/,The name of the Latin-script letter Ç.,
óttoir,,seventy,
𐴁𐴡𐴒𐴝,,"egret, ‏𐴀𐴟𐴒𐴧𐴗𐴝 𐴁𐴡𐴒𐴝 𐴀𐴝𐴌 𐴀𐴟𐴒𐴧𐴗𐴝 𐴇𐴞𐴥𐴘𐴝𐴓 𐴓𐴡𐴌 𐴊𐴟𐴏𐴃𐴞 𐴀𐴡𐴥𐴘𐴧𐴠.‎‎uggua",
𐴇𐴞𐴥𐴘𐴝𐴓,,"jackal, fox, ‏𐴀𐴟𐴒𐴧𐴗𐴝 𐴁𐴡𐴒𐴝 𐴀𐴝𐴌 𐴀𐴟𐴒𐴧𐴗𐴝 𐴇𐴞𐴥𐴘𐴝𐴓 𐴓𐴡𐴌 𐴊𐴟𐴏𐴃𐴞",
𐴉𐴟𐴌𐴝𐴕,,old,
