L2_orth,L2_ipa,L2_gloss,L2_etym
'hiw,,joss stick; incense,
aam,,congee,
aayad,,termite; white ant,
abala,,(anatomy) shoulder,
abinung,,coconut,
abu,,ash (solid remains of a fire),
aca,,price,
acak,,dry,
acasa,,of course; surely,
acawa,,spouse; husband; wife,
ada,,enemy,
adidem,,"mulberry (tree, fruit)",
adingu,,spirit,
adipenuc,,black ant,
adiping,,(zoology) comb,
adiyuc,,whirlwind,
ailuc,,(anatomy) neck,
akenek,,bitter,
alem,,pangolin,
alisalap,,centipede,
ama,,father,
amis,,north,
Amuhuwan,,United States; America,
anucila,,tomorrow,
apalu,,breadfruit (tree),
api,,twins,
atay,,(anatomy) liver,
atikak,,earthworm,
atimela,,flea,
atimsi,,black nightshade (Solanum nigrum),
atip,,chopsticks,
auk,,bamboo,
ayaan,,(interrogative) when,
ayam,,bird,
aylung,,iron (for pressing clothes),
ayskulim,,ice cream,
ayza,,now,
ba'tu,,stone,
babaungen,,sacrificial offering,
babeku,,Job's tears (Coix lacryma-jobi),
babelbel,,airplane,
babukud,,grasshopper,
babulawan,,battlefield; battleground,
badahung,,roof,
badisusu',,grape,
bai,,grandmother,
balu,,flower,
balucu',,(anatomy) heart,
baluhang,,(anatomy) chest,
balunga,,boat; ship,
banges,,(anatomy) skin,
baninih,,cricket (insect),
bankuy,,wardrobe (cupboard for storing clothes),
banul,,pigeon; dove,
becul,,full; satiated (from eating),
belek,,piglet,
besi,,(anatomy) gall bladder,
bicacay,,kumquat,
bidadiki,,bat (animal),
bilbil,,(anatomy) lip,
bulalac,,quartz,
bunac,,star,
busuk,,drunk,
buting,,fish,
butul,,(anatomy) testicle; scrotum,
buut,,head ornament,
buwa',,(anatomy) kidney,
buyu',,mountain,
cabay,,friend,
cacay,,one,
cacebalen,,umbrella,
cacudadan,,school,
cacudaden,,schoolwork; assignment; homework,
calaped,,trousers; pants,
canan,,(interrogative) what,
cebu,,(anatomy) urinary bladder,
cecay,,one,
celas,,charcoal,
cenhu,,government,
cepi',,(anatomy) thigh,
cidekay,,ethnic group; ethnic community,
cihek,,(anatomy) nose,
ciid,,branch (of a plant),
cikah,,salt,
ciku,,(anatomy) elbow,
cilal,,sun,
