L2_orth,L2_ipa,L2_gloss,L2_etym
aiq,,water (clear liquid H₂O),
akah,,root (of plant),
akar,,Alternative form of akah,
aku,,"I (personal pronoun), me (direct object of a verb),",
anak,,"child (a female or male child, a daughter or son)",
api,,fire (oxidation reaction),
asu,,dog (animal),
bagus,,handsome (of man: agreeable to the eye or to correct,
beras,,rice (raw seeds used as food),
besi,,"(physics, chemistry, metallurgy) iron (element)",
bulan,,"moon (largest natural satellite of planet Earth), moon",
dalem,/daləm/,"depth, innermost part",
dalem,/daləm/,deep,
dunie,,world (human existence),
empat,,four,
garem,/ɡarəm/,grain,
gelinggang,,Cassia alata (a tree),
ina,,"mother (female (human) who parents a child, gives birth",
jarum,,needle (implement for sewing etc.),
kanak,,Alternative form of anak,
koning,,yellow (having yellow as its colour),
koning,,yellow (colour),
nina,,"woman, female",
panggang,,to roast,
putiq,,white (bright and colourless),
putiq,,white (colour),
saga,,jequirity (Abrus precatorius),
sepang,,sappan Caesalpinia sappan,
songket,/soŋkɛ̀t/,a type of cloth made of silk or cotton interwoven with,
timah,,tin (element),
uban,,grey hair (hair with the colour grey),
ējo,,green (having green as its colour),
ējo,,green (colour),
ᬩᬸᬢᬓ᭄,,bald (having no hair),
ᬳᬲᬸ,,dog (animal),
