L2_orth,L2_ipa,L2_gloss,L2_etym
@,,@,
-a,,Suffix appended to words (usually verbal stems) to,
-a,,Forms the genitive singular of masculine and neuter,
-a,,Forms the genitive singular of masculine and neuter,
a-,,"Prefix prepended to words to denote a negation, deprivation",
A-dur,,A major,
aba,,(regional) aba,
abadžija,/âbad͡ʒija/,"tailor or weaver of frieze, dealer in frieze",
abaiti,/aˈbaiti/,"(Torlakian, reflexive) To be late.",
abaja,/abǎja/,(regional) a horse rug made of aba,
abak,/ǎbak/,abacus,
abakus,/ǎbakus/,abacus,
Abaz,,A male given name,
abažur,/abǎʒuːr/,lampshade,
abdal,,"fool, idiot, naïf, simpleton",
abdes,/ǎbdes/,Alternative form of àbdest,
abdest,/ǎbdest/,(Islam) abdest,
abdicirati,/abdit͡sǐːrati/,to abdicate,
abdikacija,/abdikǎːt͡sija/,abdication,
abdikant,/abdǐkant/,abdicator,
abdomen,/abdǒːmen/,abdomen,
abdomenski,/abdǒːmenskiː/,abdominal,
abdominalan,/âbdominaːlan/,abdominal,
abdovina,,danewort (Sambucus ebulus),
abeceda,/abet͡sěːda/,"alphabet, (figuratively) rudiments",
abecedar,/abet͡sědaːr/,index (alphabetical listing),
abecedarij,/abet͡sědaːrij/,index (alphabetical listing),
abecedirati,,to alphabetize,
abecedni,/âbet͡seːdniː/,alphabetical,
abecedu,,accusative singular of abeceda,
Abel,/ǎːbel/,"Abel (son of Adam and Eve), A male given name.",
aber,/ǎber/,"(regional, Bosnia) news, (regional, Bosnia) message,",
Abesinac,/abesǐːnat͡s/,Abyssinian,
Abesinija,/abesǐːnija/,(uncountable) Abyssinia,
abesinski,/aběsinskiː/,Abyssinian,
abhaski,/ǎbxaːskiː/,Abkhazian,
Abhaz,/ǎbxaːz/,"Abkhazian, Abkhaz",
Abhazija,/ǎbxaːzija/,Abkhazia,
Abhažanka,/abxǎʒaːnka/,Abkhazian (female),
Abidjan,/ǎbid͡ʒan/,"(Bosnia, Croatia) Abidjan (the de facto capital and largest city of Ivory Coast)",
abidjanski,/abǐd͡ʒanskiː/,"(Bosnia, Croatia) Abidjanian",
Abidžan,/ǎbid͡ʒan/,"(Serbia, Montenegro) Abidjan (the de-facto capital city of Ivory Coast)",
abiturijent,,candidate for a secondary-school leaving examination,
ablacija,/ablǎːt͡sija/,"ablation (removal), (physics) ablation, (medicine,",
ablativ,/âblatiʋ/,ablative case,
ablaut,/ǎblaut/,(linguistics) ablaut (substitution of one root vowel,
ablendati,,dip the lights,
ablender,,dipswitch,
abnormalan,/âbnormaːlan/,abnormal,
abnormalno,/âbnormaːlno/,abnormally,
abnormalnost,/abnormǎːlnoːst/,abnormality,
abolicija,/abolǐːt͡sija/,abolition,
abolicijski,/abolǐːt͡siːjskiː/,(relational) abolition,
abonent,/abǒnent/,subscriber,
