L2_orth,L2_ipa,L2_gloss,L2_etym
А,,"The first letter of the Shor alphabet, written in the Cyrillic script.",
аал,,village,
аар,,heavy,
азақ,/ɑˈzɑq/,leg,
айланчық,/ɑjlɑntʃɯq/,pond,
айна,,devil,
аларға,,to take,
алтон,/alˈtʰon/,sixty,
алты,,six,
анар,,pomegranate (fruit),
апшақ,/ɑpˈʃɑq/,bear,
апшый,,old man,
арығ,,clean,
арғыш,,friend,
ачынмас,[ɑtʃɯnˈmɑs],ruthless,
ағаш,[aˈɣaʃ],tree,
ағый,,seagull,
ағыл,,mind,
ақ,,white (color),
ақча,,money,
аңчы,[ɑŋˈtʃɯ],hunter,
ийги,,two,
иш,,work,
ишчи,,worker,
кебе,,boat,
кезерге,,to cut (to perform an incision),
келескин,,lizard,
кем,[kem],who,
кижи,,"person, human",
кичиг,,"little, small, minor, of little importance",
кӧк,/køk/,blue (color),
кӧл,,lake,
кӧлениш,,love,
кӧс,,sight,
кӧңме,,snowfall,
кӱзеген,,mirror,
кӱл,,ash (solid remains of a fire),
кӱмӱш,,silver,
кӱреш,,wrestling (sport),
кӱскӱ,,"autumn, fall",
кӱш,,"force, power",
лачын,,falcon,
мал,,This term needs a translation to English. Please help,
малта,,axe,
мармар,,marble,
марқоп,,carrot,
мешке,,mushroom,
миис,/miːs/,brain,
молат,/moˈlɑtʰ/,steel,
мунчуқ,,bead,
мус,,ice,
мустағ,,glacier,
мында,,here,
мӱӱс,/myːs/,horn,
нанарға,,to return (to come or go back),
нандырарға,,give back,
нанчы,,friend,
нағбур,,rain,
нағбыр,,rain,
нек,,cow,
ноо,,(interrogative) what?,
ныбақ,,fairy tale,
ныбырт,,bird cherry (Prunus padus),
ойун,,game,
оол,/oːl/,"boy, son",
орам,,street,
орнуна,,"instead of
меең эр қарындаш орнуна ― instead of my brother",
от,,fire,
оң,,right (opposite of left),
пазоқ,,and,
пал,,honey,
палық,,fish,
палықтарға,,to fish (to try to catch fish),
парарға,[pɑrɑrˈɣɑ],to go,
паш,,"head, beginning",
пеш,,five,
пир,,one,
пичик,,"script, alphabet",
по,,this,
поларға,,"to become, to happen",
поракий,,sparrow,
поран,,"(meteorology) snowstorm, blizzard, storm",
пулут,,cloud,
пыза,,calf,
пычақ,,knife,
пӧрӱ,,wolf,
саасқан,,magpie,
сакер,,sugar,
салғын,,wind,
сарнарға,,to sing,
сас,,"bog, swamp, marsh, quagmire, mire",
суғ,,water,
сӱт,,milk,
тарарға,,to comb (to groom the hair with a toothed implement),
тас,,"naked, hairless, bald",
тағ,,(geography) mountain,
тегреби,,(Christianity) church,
тем,,time,
терги,,table,
тооза,,everything,
тоғус,,nine,
тударға,[tudɑrˈɣɑ],to hold,
тум,,"dense, thick (of a forest)
тум чыш ― thick forest",
тура,/tʰuˈra/,"city, town",
тус,,salt,
тӧрт,,four,
тӱдӱн,,smoke,
тӱӱр,,a Shamanistic tambourine-like instrument,
ужы,,end,
улус,,people,
улуғ,,"big, great",
чадарға,/tʃɑdɑrˈɣɑ/,to lie,
чадығ,/tʃɑdɯɣ/,life,
чажыл,/tʃɑˈʒɯl/,green (color),
чажын,[tʃɑˈʒɯn],lightning,
чайғы,,summer,
часқы,,spring,
чақшы,[tʃɑqˈʃɯ],good,
чебирге,,twenty,
чегирбе,,twenty,
чегрен,,red,
чеени,,nephew,
чел,,wind,
чер,,land,
честек,[tʃesˈtek],berry,
четти,,seven,
чидиг,,sharp,
чой,,lie,
чойла,,to lie,
чол,,"road, way",
чулғуш,,thief,
чыл,,year,
чылтыс,,(astronomy) star,
чыш,,"forest
тум чыш ― thick forest",
чӱрек,,heart,
чӱс,,hundred,
шайық,,flood,
шалғанақ,,(botany) nettle,
шаптал,,peach (fruit),
шарғылақ,,polecat,
шаш,,hair,
шошқа,,"pig, swine",
шурлақ,,drop,
шурчақ,,bullfinch,
ырчы,,"enemy
Synonym: ӧштӱг",
эбес,,is not,
эге,,file,
эжик,/eˈʒik/,door,
эзер,,saddle (seat on an animal),
элиг,,fifty,
эмчи,,"doctor, physician",
қаан,[qɑːn],khan,
қабал,/qɑˈbɑl/,ash,
қабар,,news,
қабақ,/qɑˈbɑq/,forehead,
қабырға,/qɑbɯrˈɣɑ/,rib,
қажаң,/qɑˈʒɑŋ/,joke,
қажық,/qɑˈʒɯq/,spoon,
қазақ,,"(attributively only) (of) the Russians, Russian, қазақ",
қайа,,cliff,
қалаш,,kalach (type of bread),
қам,/qɑm/,shaman,
қан,/ˈqɑn/,blood,
қанат,,wing,
қаннығ,,bloody,
қапыста,,cabbage,
қар,,snow,
қара,/qɑˈrɑ/,black,
қарақ,/qɑˈrɑq/,eye,
қарлығаш,,"swallow, Hirundinidae",
қарчақ,,snowflake (crystal),
қарындаш,[qɑrɯnˈdɑʃ],relative,
қарға,,crow,
қат,,paper,
қозан,,hare,
қол,/qol/,arm,
қорук,,to be afraid,
қудай,,(religion) God,
қуйақ,,armor,
қуу,,swan,
қызыл,/qɯˈzɯl/,red,
қыйал,,(religion) sin,
қылыш,,sword,
қымысқаш,/qɯmɯsˈqɑʃ/,ant,
қырық,,forty,
қыс,,girl,
қышқы,,winter,
ӧштӱг,,"enemy
Synonym: ырчы",
ӧң,,color,
