L2_orth,L2_ipa,L2_gloss,L2_etym
අ,/a/,"The first vowel in Sinhalese, called ""Ayanna"".",
අංක,,"number, mark",
අකුර,,letter (of an alphabet),
අට,,eight,
අණුව,,"(physics, chemistry) atom",
අත්අඩංගුවට,,arrest,
අපි,,we,
අම්මා,,mother,
අම්ලකර,,oxygen,
අයිස්,,ice (frozen water),ice
අලියා,,elephant,
අලුත්,,new,
අවියක්,,weapon,
අශ්වය,,horse,
අස්ථි,,bone,
අළු,,ash,
ආ,/aː/,"The second vowel in Sinhalese, called ""Āyanna"".",
ආයුබෝවන්,,may you live long and be healthy,
ආලෝකය,,light,
ආවරණය,,"lid, cover",
ඇ,/æ/,"The third vowel in Sinhalese, called aeyanna.",
ඇතැම්,,"a few, a little",
ඇපල්,,apple,
ඇස,,eye,
ඈ,/æː/,"The fourth vowel in Sinhalese, called ""ǣyana"".",
ඈ,/æː/,she,
ඈ,/æː/,she,
ඉ,/i/,"The fifth vowel in Sinhalese, called iyanna.",
ඉදිරිය,,future,
ඉන්දියාව,,India,
ඉර,,"sun, Synonym: සූර්යයා (sūryayā)",
ඊ,/iː/,The sixth vowel in Sinhalese.,
උ,/u/,"The seventh vowel in Sinhalese, called uyanna.",
උඹ,,you (informal),
ඌ,/uː/,The eighth vowel in Sinhalese.,
ඌ,/uː/,it,
ඌ,/uː/,it,
ඍ,/ri/,"The first vowel of the miśra set, used to represent non-native words.",
ඎ,/riː/,"The second letter of the Miśra set, used to represent non-native words.",
ඏ,/li/,"The second letter of the Miśra set, used to represent non-native words.",
ඐ,/liː/,"The fourth vowel of the miśra set, used to represent non-native words.",
එ,/e/,"The ninth letter of the Sinhalese script, named eyanna",
එක,,one,
එනවා,,to come,
එයා,,(informal) he,
එල,,fruit,
ඒ,/eː/,"The ninth letter of the Sinhalese script, named eeyanna.",
ඔ,[o],"The tenth letter of the Sinhala script, called oyanna.",
ඔටුවා,,camel,
ඔබ,,(formal) you,
ඔයා,,(informal) you,
ඔයාලා,,(informal) you (plural),
ඔවුහු,,(formal) they,
ඔහු,,(formal) he,
කතුර,,scissors,
කනවා,,"to eat, (figuratively) to suffer",
කන්ද,,mountain,
කරත්තය,,"cart, carriage",
කරනවා,,to do,
කල්මීකියා,,Kalmykia,
කහ,,yellow,
කහ,,yellow,
කළු,,black,
කාමරංගා,,"star fruit, carambola (Averrhoa carambola)",
කාමරය,,room (of a building),
කාලගුණ,,weather,
කැන්බරා,,Canberra (the capital city of Australia),
කිරි,,milk,
කුඩා,,small,
කෙසෙල්,,banana,
කේරළ,,Kerala,
කොරියාව,,Korea,
කොස්ස,,broom,
කොහොමද,,how are you?,
කොළ,,green,
කොළඹ,,Colombo (the commercial capital and largest city of Sri Lanka),
කෝපි,,coffee,
ග,/ɡ/,"The second consonant of the Sinhala script, named ""gayanna"".",
ගම,,village,
ගමරාළ,,"farmer, one who works and ploughs the fields.",
ගයනවා,,to sing,
ගස්,,tree,
ගාල්ල,,Galle (city in Sri Lanka),
ගිටාරය,,guitar,guitar
ගිතෙල්,,ghee,
ගින්දර,,fire,
ගිනි,,management fire,
ගෙන්දගම්,,sulfur,
ගෙය,,house,
ගොටුකොල,,"(Indian) pennywort, gotu kola (Centella asiatica, syn. Hydrocotyle asiatica)
Synonym: හීන් ගොටුකොල (hīn goṭukola)",
චතුරිකා,,"A female given name (""Chathurika"").",
චරිතය,,character,
චීන,,Chinese,
චීනය,,China,
ජනේලය,,window,
ජලය,,"water, Synonym: වතුර (watura)",
ජීවය,,life,
ජීවිතය,,life,
ඤ,,A letter of the Sinhala alphabet. Transliterated as ñ.,
ඪාකා,,Dhaka (the capital city of Bangladesh),
ණ,/n/,A letter of the Sinhala alphabet. Transliterated as ṇ.,
තත්පරය,,second (unit of time),
තරුණ,,young,
තරුව,,star (heavenly body),
තාත්තා,,father,
තිරුවනංතපුරම්,,Thiruvananthapuram (a city in India),
තුන,,three,
තේ,,tea,
දණ,,knee,
දණහිස,,knife,
දත,,tooth,
දවස,,day (period of 24 hours),
දහය,,ten,
දහස,,thousand,
දැන්,,now,
දැව,,"timber, lumber",
දිල්ලිය,,"Delhi (a megacity and union territory of India, containing the national capital New Delhi)",
දිව,,(anatomy) tongue,
දිවයින,,island,
දිවුල්,,"wood apple, elephant apple (Limonia acidissima, syn. Feronia elephantum[1])",
දුව,,daughter,
දූවිල්ල,,dust,
දෙක,,two,
දෙවියා,,god,
දේවදූතයා,,angel,
දොර,,door,
නංගි,,younger sister,
නගරය,,town,
නදිය,,river,
නමය,,nine,
නවය,,nine,
නිල්,,blue,
පලතුරු,,fruit,
පහ,,five,
පළවෙනි,,first,
පාන්,,bread,
පැරිස්,,Paris (the capital city of France),Paris
පෑන,,pen (writing tool),
පොකුණ,,pond,
පොත,,book,
බටහිර,,west,
බණ්ඩක්කා,,"okra (Abelmoschus esculentus, syn. Hibiscus esculentus[1])",
බත්,,"rice, specifically cooked rice",
බර,,weight,
බලය,,"strength, force, (physics) force",
බැංකුව,,bank (financial institution),
බිත්තරය,,egg,
බීර,,beer,
බෙල්ල,,"neck, throat[1]
Synonyms: බොටුව (boṭuwa), බෙටුව (beṭuwa)",
බෙල්ලා,,shellfish[1],
බෙලි,,"bael fruit tree, bel, Bengal quince (Aegle marmelos); also its fruit.[1]
Synonyms: බෙල (bela), ශ්‍රීඵල (śrīphala), බිල්ව (bilwa), සිරිල (sirila), නීලමල්ලිකා (nīlamallikā), මහාකපිත්ථ (mahākapittha), මහාඵල (mahāphala), මාලූර (mālūra), ශාණ්ඩිල්‍ය (śāṇḍilya), ශෛලූෂ (śailūṣa), සදාඵල (sadāphala), හෘද්‍යගන්ධ (hr̥dyagandha), පූතිමාරුත (pūtimāruta), ප්‍රාචීන පනස (prācīna panasa), මති (mati), මාළූර (māḷūra), රුද්‍ර (rudra), විල්ව (wilwa), සර්‍ව සිද්ධි (sarwa siddhi), සිරිපල (siripala)
Meronym: (blossom) ස්වාදු පුෂ්ප (swādu puṣpa)",
බෙලි,,plural of බෙල්ල (bella).[1],
බෙලි,,belonging to[1],
බෝතලය,,bottle,
භාරත්,,India,
භාෂාව,,language,
මම,,I,
මමම,,I (emphatic); myself,
මරණය,,death,
මල්,,flower,
මස්,,meat,
මහත්මයා,,"sir, master.",
මහනුවර,,Kandy (city in Sri Lanka),
මානෙල්,,water lily,
මාසය,,month,
මිලියනය,,million,million
මීයා,,mouse,
මුදල්,,money,
මුහුණ,,face,
මුහුද,,sea,
මූණ,,face,
මේසය,,table,
මොස්කව්,,"Moscow (a federal city, the capital of Russia)",
ය,[ja],The glide consonant yayanna.,
යතුර,,key,
යුද්ධය,,war,
යෙරෙවාන්,,Yerevan (the capital city of Armenia),
රජ,,king,
රට,,"country, land",
රතු,,red,
රන්,,gold,
රුසියානු,,Russian,
රුසියාව,,Russia,
ලංකා,,(informal) Sri Lanka,
ලක්ෂය,,"lakh, lac, point",
ලුණු,,"salt[1], Synonym: ලවණ (lawaṇa), saline taste[1]",
ලූණු,,onion,
ලූනු,,onion[1],
ලේ,/leː/,blood,
ලොකු,,big,
ලෝකය,,world,
වචනය,,word,
වතුර,,water,
වයින්,,wine,
වර්ණ,,"colour, color",
වලසා,,bear,
වාතය,,air,
වැස්ස,,rain,
විකිපීඩියා,,Wikipedia,
විල්,,lake,
විශාල,,big,
විස්ස,,twenty,
වේදනාව,,pain,
ශාක,,plant,
ශීතකරණය,,refrigerator,
සතිය,,week,
සඳ,,"moon, Synonym: චන්ද්‍රයා (candrayā), time, woman",
සබන්,,soap,
සමහර,,some,
සමාජ,,society,
සමාජ,,"social, සමාජ ම‍නෝවිද්‍යාව ― samāja ma‍nōwidyāwa ― social",
සර්පයා,,snake,
සල්ෆර්,,sulfur,
සහ,,and,
සාගරය,,ocean,
සාමය,,peace,
සිංහල,,"Sinhala, Sinhalese, Singhalese (language)",
සිංහල,,"Sinhalese, Singhalese (person)",
සිකුරාදා,,Friday,
සිගරෙට්ටුව,,cigarette,
සියඹලා,,tamarind,
සීනි,,sugar,
සීනුව,,bell,
සුදු,,white,
හත,,seven,
හතර,,four,
හදවත,,heart,
හඳ,,moon,
හය,,six,
හල්මිල්ල,,"Trincomalee wood (Berrya cordifolia,[1] syn. B. ammonilla[2])",
හැන්ද,,spoon,
හිම,,snow,
ළමයා,,child,
ෆ,"/f, ɸ/",A letter of the Sinhala alphabet. Transliterated as f.,
ා,,The diacritic representing the long vowel [aː].,
෴,,"(historical) The kunddaliya, formerly used as a full",
