L2_orth,L2_ipa,L2_gloss,L2_etym
abal,,(anatomy) shoulder,
abas,,measles,
Afun,,Japan,
akuk,,(anatomy) anus,
amil,,(anatomy) penis,
asay,,axe,
atal,,lipstick,
badak,,jackfruit,
bukol,,(anatomy) knee,
bulul,,mountain,
bulung,,medicine,
buyus,,spear,
dalum,,needle,
dilak,,(anatomy) tongue,
duyan,,hammock,
fak,,frog,
fan,,bait,
fat,,four,
fun,,owner,
gatas,,milk,
gunting,,scissors,
hafak,,wing,
haha,,(anatomy) thigh; lap,
hangus,,fish,
haya,,tomorrow,
hikit,,orphan,
hikong,,waterfall,
hitu,,seven,
hohon,,enemy,
hulut,,glutinous rice,
hungul,,island,
hutus,,knot,
imak,,(anatomy) armpit,
kaba,,large cockroach,
kadi,,(anatomy) dimple,
kafal,,boat,
kakim,,(anatomy) chin,
kambang,,rake,
kambing,,goat,
katay,,(anatomy) liver,
katdi,,bed,
kayab,,towel,
kihol,,(interrogative) why,
kili,,eel,
kitay,,bridge,
labat,,fence,
lanas,,pineapple,
libol,,rice soup,
limu,,five,
luwu,,two,
mata,,eye (organ),
sotu,,one,
