L2_orth,L2_ipa,L2_gloss,L2_etym
ఀ,,The combining candrabindu nasal vowel diacritic of the Telugu script.,
ఁ,,The candrabindu nasal vowel diacritic of the Telugu script.,
ం,,The anusvara diacritic of the Telugu script.,
-ండు,,The archival and poetic suffix used as to denote the first case in some masculine singular nouns,
-ంబు,,The archival and poetic suffix of the first case in some neuter singular nouns that end అ (a).,
అ,/a/,The first letter of the Telugu alphabet.,
అ,/a/,"The base of the demonstrative pronouns అతడు (ataḍu), వాడు (vāḍu), అది (adi).",
అ-,,"A negative prefix becoming AN before vowels and corresponding to the privatives à, án (Gk.), in (Lat.), and un (Eng.)",
అం,,A Telugu letter.,
అంకం,,"Numerical figure, digit.",
అంకకాడు,,One who is distinguished by a sign.,
అంకగణితం,,arithmetic,
అంకగణితము,,arithmetic,
అంకణము,,The space between any two beams or pillars.,
అంకపాళి,,embrace,
అంకపాళిక,,embrace,
అంకపీఠము,,lap: The upper legs of a seated person.,
అంకము,,An act in a play.,
అంకమ్మ,,Name of a Hindu village goddess.,
అంకవిద్య,[aŋkaʋidja],(mathematics) arithmetic.,
అంకాపొంకాలు,,"fierceness, fury",
అంకారా,,Ankara (the capital of Turkey),Ankara
అంకారించు,,to set sail.,
అంకించు,,"To raise, take up, lift up.",
అంకియ,,A numerical figure.,
అంకుడు,,He who is marked or distinguished.,
అంకురం,,Alternative form of అంకురము (aṅkuramu),
అంకురము,,"A germ, a sprout, a bud.",
అంకురారోహణము,,"commencement, launching, beginning or starting (of a programme).",
అంకురార్పణము,,"commencement, launching, beginning or starting (of a programme).",
అంకురించు,,to sprout.,
అంకురింౘు,,Alternative form of అంకురించు (aṅkuriñcu),
అంకుశం,,Alternative form of అంకుశము (aṅkuśamu),
అంకుశము,,"an elephant-goad., (in compound words) a restrainer,",
అంకుసము,,Alternative form of అంకుశము (aṅkuśamu),
అంకె,,A numerical figure.,
అంగం,,Alternative form of అంగము (aṅgamu),
అంగజ,,daughter,
అంగజాల,/ãŋɡad͡ʒaːla/,"sentinel
Synonym: అంగజాలుడు (aṅgajāluḍu)",
అంగజాల,/ãŋɡad͡ʒaːla/,A  surname​.,
అంగజాలవాడు,,village drudge,
అంగజుడు,,"A son., Cupid.",
అంగడి,,"shop, market",
అంగడికాడు,,"shopkeeper, businessman",
అంగడిబొమ్మ,,prostitute,
అంగదుడు,,"(Hinduism) Angada, son of Vali in the Ramayana.",
అంగన,,"woman., (Hinduism) name of the wife of one of the eight",
అంగన్యాసము,,"Touching various parts of one's body with the hand, or with the fingers, accompanied by appropriate mantras as a religious ceremony.",
అంగమర్దనం,,Alternative form of అంగమర్దనము (aṅgamardanamu),
అంగమర్దనము,,Rubbing or squeezing the body.,
అంగము,,"The body., A limb, organ or member of the body., A",
అంగమొల,,"bare, naked, nude",
అంగరక్షకుడు,,bodyguard (protectors),
అంగలార్పు,,"grief, sorrow.",
అంగవస్త్రం,,Alternative form of అంగవస్త్రము (aṅgavastramu),
అంగవస్త్రము,,"man's vest, upper garment, or cloth.",
అంగవైకల్యము,,(medicine) physical disability.,
అంగారకము,,charcoal,
అంగారకవారము,,Tuesday,
అంగారకుఁడు,,Alternative form of అంగారకుడు (aṅgārakuḍu),
అంగి,,(literary) Having a body.,
అంగీ,,man's long jacket.,
అంగీకరించు,,"To consent, agree, admit, approve, receive, accept.",
అంగుళము,,Alternative form of అంగుళం (aṅguḷaṃ),
అంగోస్త్రము,,Alternative form of అంగవస్త్రము (aṅgavastramu),
అంచు,,"skirt, border of a cloth",
అంజనాద్రి,,Name of one of the seven hills in Tirumala.,
అంటరానివాడు,,An untouchable person.,
అంటిచెట్టు,,banana tree,
అంటు,,"to touch, to anoint, to smear or rub over with oil",
అంటు,,"touch, uncleanness, defilement by touch, untouchability",
అంటు,,"a graft, grafted branch., అంటుమామిడి చెట్టు ― aṇṭumāmiḍi",
అంటుకట్టు,,To put graft of a plant.,
అండ,,"nearness, closeness, behind",
అండం,,Alternative form of అండము (aṇḍamu),
అండకణము,,"(biology, cytology) egg cell",
అండగొను,,To seek support in.,
అండగోళము,,(biology) oosphere,
అండజము,,"(literary) that which is born from an egg., (zoology)",
అండము,,"egg., testicle., world.",
అంత,,whole,
అంత,,"so much
నీ వెంత అడిగితే అంత యిస్తాను.nī venta aḍigitē anta yistānu.I will give you as much as you ask.",
అంత,,"then, afterwards.",
అంతఃపరాన్నజీవి,,endoparasite,
అంతము,,"end, termination., death, destruction.",
అంతము,,handsome,
అంతములేని,,endless,
అంతరం,,Alternative form of అంతరము (antaramu),
అంతరింౘు,,Alternative form of అంతరించు (antariñcu),
అంతరిక్షము,,outer space,
అంతర్గతము,,"Intermediate, internal, inner, hidden.
అంతర్గతజ్వరము ― antargatajvaramu ― internal fever.",
అంతర్గర్భితము,,"internal, concealed",
అంతర్జంఘిక,,"tibia - the inner and usually the larger of the two bones of the leg or hind limb below the knee, the shinbone",
అంతర్జాలము,,"(formal) the Internet., (Can we date this quote?) ",Internet
అంతర్యామి,,"(literary) The indweller., The soul., The Supreme Spirit.,",
అంతర్వాహిని,[antarʋaːhini],An underground river.,
అంతశ్చర్మము,,(anatomy) dermis,
అంతశ్శత్రువు,,A foe concealed under a friendly exterior.,
అంతస్తు,,"A secret place a hiding place, a corner.",
అంతిమ,,"Last, final.
అంతిమ శ్వాస ― antima śvāsa ― last breath",
అంత్యజుడు,,A man of the last caste or tribe.,
అంత్యము,,"Final, last, ultimate, concluding.",
అంత్యేష్టి,,funeral rites according to Hindu traditions,
అంత్రము,,"(anatomy) An entrail, a gut.",
అందగత్తె,,beautiful female,
అందగాడు,,handsome male,
అందగించు,,"To be adorned, to be pretty, to look well.",
అందగింపు,,"adorning, ornamenting, beauty.",
అందము,,beauty,
అందరు,,"all persons, everyone, everybody, కలిగిన వారికి అందరూ",
అందఱు,,Alternative form of అందరు (andaru),
అందలము,,"A palanquin.
అందరూ అందలము యెక్కితే, మోశేవారు యెవరుandarū andalamu yekkitē, mōśēvāru yevaruIf all get into the palankin, who will be the bearers?",
అందహీనము,,"Ugly, deformed.",
అందాక,,"Thus far, so far, so long, till then.",
అందాజు,,"estimate, valuation",
అందించు,,"(transitive) To give, hand over, to enable, to get.",
అందు,,(transitive) to reach,
అందు,,there,
అందు,,"(the locative or seventh case ending.) in, within, on, upon.",
అందుకొను,,"(transitive) to reach at, get at",
అందుపాటు,,nearness,
అందుపాటు,,near,
అందె,,"anklet: A foot trinket of silver, filled with small pebbles in order to sound and worn by women on their ankles.",
అంధకారం,,Alternative form of అంధకారము (andhakāramu),
అంధకారము,,darkness,
అంధము,,darkness,
అంధము,,blind,
అంధురాలు,,A blind woman.,
అంధ్రము,,Alternative form of ఆంధ్రము (āndhramu),
అంబరకేశుఁడు,,Alternative form of అంబరకేశుడు (ambarakēśuḍu),
అంబరమణి,,the sun.,
అంబరము,,"The sky., Cloth woven of cotton., Clothing, apparel.,",
అంబరీషము,[ambariːʂamu],"A fire pot, a portable stove.",
అంబరు,,ambergris,
అంబలి,,porridge,
అంబా,,The characteristic lowing of cows and calves.,
అంబాలా,,"Ambala (a city in Haryana, India)",
అంబాళము,,"The hog plum (Spondias pinnata, syn. Spondias mangifera), the fruit resembling the mango.",
అంబిక,,"(Hinduism) A name of Parvati, wife of Shiva.",
అంబు,,"An arrow, a dart.",
అంబులపొది,,quiver of arrows.,
అంబువు,,water,
అంభోధి,,sea,
అంభోనిధి,,sea,
అంశం,,Alternative form of అంశము (aṃśamu),
అంశచక్రము,,(astronomy) a nativity circle showing the respective,
అంశపురుషుఁడు,,Alternative form of అంశపురుషుడు (aṃśapuruṣuḍu),
అంశపురుషుడు,,a man with good fortune.,
అంశము,,"A share, part, portion, a fraction; the denominator",
అంసఫలకము,,The shoulder blade or scapula,
అంసము,,"Shoulder: The joint between the arm and the torso, sometimes including the surrounding area.",
అః,,A Telugu letter.,
అకం,,Alternative form of అకము (akamu),
అకంపితము,,unshaken,
అకము,,"Ache, pain, affliction.",
అకరణము,,not doing.,
అకర్మకం,,Alternative form of అకర్మకము (akarmakamu),
