L2_orth,L2_ipa,L2_gloss,L2_etym
c'ále,,huckleberry,
heléw',,eagle,
heʔúšeʔ,,egg,
héniʔ,,humpback salmon Oncorhynchus gorbuscha,
k'ʷetn'íʔ,,mouse,
mósmos,,cow,
nk'npáχn,,vest,
npúytn,,bed,
nqʷəyexíxit,,chinook salmon,
Nłeʔkepmxčín,,Thompson (language),
píłuš,,speckled trout,
pús,,cat,
qʷuʔ,,water,
sʕáp,,evening,
xw'éł,,road,
čítxʷ,,house,
číyči,,new,
łq'úpeʔ,,beaver,
šmíyč,,meat,
šmúłeč,,woman,
špéʔeč,,bear,
šq'ʷíyt,,fruit,
šqyéytn,,salmon,
šqáqxạʔ,,dog,
šwetíyeʔ,,porcupine,
šwúxʷt,,snow,
šyə́p,,tree,
šítišt,,night,
šúypm,,wood,
šłaʔxạ́nš,,food,
ʔeštíptept,,black,
ʔéyk,,bear berry,
