L2_orth,L2_ipa,L2_gloss,L2_etym
ለውዝ,,almond,
ልብ,,heart,
ሐም,,father-in-law,
ሐምስ,,five (5),
ሐቴ,,one (1),
መንዱቅ,,rifle,
መክሕል,,rifle,
ማሌ,,yesterday,
ማይ,,water,
ምህር,/mɨhɨɾ/,"colt, endearing term for a girl",
ምልሕጣ,,mountain plum (Ximenia americana),
ሞግያ,,"some kind of corn, meadow, grassland",
ረኣስ,,head,
ሰለስ,,three (3),
ሰማን,,eight (8),
ሰቡዕ,,seven (7),
ሳሬት,,spider,
ስም,,name,
ስስ,,six (6),
ስዕ,,nine (9),
ሶር,,"ox, (derogatory) gelding, castrate",
ሶር,,"wall, mure",
ሶር,,"wall, mure",
ሸምሽ,,the sun,
ቀራድ,,"tick, ixodid",
ቀዳሚት,,first (1st),
ቀዳም,,first (1st),
ቅንፍዝ,,porcupine,
በለስ,,fig,
ቴተል,,a kind of bovine antelope,
አምበርሀጋ,,klipspringer (Oreotragus),
አረቂ,,arrack or any distilled liquor,
አራብ,,a kind of antelope,
አርበዕ,,four (4),
አብ,,father,
እማት,,"plural of እም (ʾəm, “mother”)",
እማት,,"asafoetida
Synonyms: ዐባይ (ʿäbbay), እም፡ሙላድ (ʾəm mulad)",
እም,,mother,
እዝን,,"ear, tribe, stem of a people, herd of beasts, tip,",
እዴ,,hand,
ከልብ,,dog,
ከበሮ,,"drum, timbrel",
ካልእ,,second (2nd),
ክልኤ,,two (2),
ክልኦት,,two (2),
ክታብ,,book,
ኮክ,,peach,
ዎሮት,,one (1),
ዐስር,,ten (10),
ዐባይ,/ɐ̟bːæːj/,"asafoetida
Synonyms: እማት (ʾəmmat), እም፡ሙላድ (ʾəm mulad)",
ዕርዲ,/ʕɨrdi/,"fortified camp, fort",
ዕስራ,,twenty,
ደም,,blood,
ድብ,,bear,
ገርወ,/ɡɐ̟ɾwɐ̟/,the antelope Tragelaphus strepsiceros chora syn. Strepsiceros chora,
ጦተል,,Alternative form of ቴተል (tetäl),
ጸሓይ,,sun,
