L2_orth,L2_ipa,L2_gloss,L2_etym
ambaw,,rat,
awang,,small boat,
awas,,child-in-law,
ba,,(anatomy) mouth,
babuy,,pig,
badak,,jackfruit,
baga,,(anatomy) lung,
bakbak,,hammer,
balangita,,crocodile,
bana,,beans,
bangus,,milkfish,
bantal,,floor joist,
banting,,arrow,
barat,,strong storm (with wind during rainy season),
bayabas,,guava,
bayad,,payment,
bebe,,grandchild,
bigol,,tadpole,
binatang,,"animal (organism), animal (organism other than man)",
binsuk,,(anatomy) dimples,
bisa,,venom,
biyarong,,mahogany,
bubut,,(anatomy) buttocks,
buwa,,(anatomy) kidney,
danan,,pillow,
darir,,root,
darum,,needle,
daun,,leaf,
dawin,,G-string,
diding,,wall,
dila,,(anatomy) tongue,
dilos,,(anatomy) spleen,
dunuk,,flood,
efot,,four,
garaban,,blade,
gilak,,fear,
gimas,,wine,
gito,,reed,
gunsi,,key,
ibi,,iguana,
ibo,,sister-in-law,
ikam,,mat,
ima,,(anatomy) armpit,
insod,,clothes,
intik,,duck,
irong,,(anatomy) nose,
itu,,dog,
kambing,,goat,
kilay,,(anatomy) eyebrow; brow,
kilot,,lightning,
kuda,,horse,
kulit,,(anatomy) skin,
kumang,,small freshwater crab,
kurakid,,scabies,
kurong,,shrimp,
kusi,,tear; rip,
laday,,moonlight,
laga,,price,
lakong,,earthworm,
langkat,,fence,
laway,,sky,
lawi,,house,
libun,,woman,
limo,,five,
liwas,,large monkey,
luba,,earthquake,
lunay,,sticky rice,
mais,,corn,
mamot,,fragrant,
mandangan,,male goat,
mangga,,mango (fruit),
manok,,chicken,
mata,,unripe,
moto,,(anatomy) eye,
nami,,(anatomy) cheek,
nanas,,pineapple,
nga,,child,
onok,,fruit,
owok,,(anatomy) waist,
rana,,rain,
ranaw,,lake,
rangi,,(anatomy) forehead,
rasak,,swamp; marsh,
rimas,,breadfruit,
ruan,,mudfish,
ruwo,,two,
saag,,floor,
saging,,banana,
salag,,nest,
sanum,,(anatomy) mole,
siko,,cat,
simbaan,,church,
sukay,,fare,
suwar,,thorn,
suwat,,comb,
tahuyu,,soy sauce,
timbak,,gun,
timus,,salt,
tindaan,,store,
tinidor,,fork,
tising,,ring,
titay,,bridge,
tuka,,peninsula,
tukas,,doorway,
tuko,,(anatomy) upper lip,
tutu,,(anatomy) breast,
ubal,,monkey,
urar,,snake,
urat,,(anatomy) vein,
urug,,high tide,
utong,,debt,
wara,,(anatomy) shoulder,
wayeg,,water,
