L2_orth,L2_ipa,L2_gloss,L2_etym
ان,,blind,
اوش,,ice,
اوشو,,ugly,
اُجَل,,white,
اِنہان,,rainbow,
ایݜ,,a bear,
اݜو,,walnut,
بِجمت,,lightning,
بِژ,,seed,
بیش,,flute,
تِد,,bitter,
تین,,sharp,
جلو,,to burn (intransitive),
جیب,,the tongue,
دے,,the brother of one's husband; a brother-in-law,
سے,,a bridge,
شن,,a bed,
لن,,salt,
مل,,dirt,
مَل,,dirt,
نین,,sleep,
ٲ,/æ/,a vowel of the Torwali abjad,
چم,,skin,
چُک,,sour,
ڇ,/ʈ͡ʂe/,A consonant letter of the Torwali abjad.,
ڇڙو,,to learn,
ڇی,,milk,
ژان,,mill,
ڙ,/ʐe/,A consonant letter of the Torwali abjad.,
کک,,crow,
کݜن,,black,
گن,,herd,
یو,,yoke,
ݜ,/ʂin/,A consonant letter of the Torwali abjad.,
ݲ,/ɖ͡ʐim/,The ninth letter of the Torwali abjad.,
