L2_orth,L2_ipa,L2_gloss,L2_etym
ಅಥವಾ,,or,
ಅನಂತರ,,"thereafter, afterwards",
ಅಮರ್,,"twin, double",
ಅಯ್ಯೋ,,"alas, oh, woe",
ಅರಕ್,,arak,
ಅರಣ್ಯ,,"forest, wilderness, woods",
ಅರಣ್ಯ,,wild,
ಅರವಭಾಷ,,Tamil,
ಆಕಾಶಗಂಗೆ,,"the Milky Way Galaxy, Synonym: ಕ್ಷೀರಪಥ (kṣīrapatha)",
ಆತ್ಮ,,"soul, spirit, breath, life, mind, inside, heart",
ಆಬಾಲ,,young,
ಆಯೆ,,he,
ಆರಾಧನೆ,,"worship, praise, adoration",
ಆರಾಧಿಪುನಿ,,"worship, praise, adore",
ಇರೆ,,leaf,
ಇಲ್ಲ್,,house,
ಉಗುರು,,(anatomy) nail,
ಉಪ್ಪು,,salt,
ಔರ್ತ್,,"from that place, therefrom",
ಕಂಕುಳ,,armpit,
ಕಂಧಮುಣ್ಚಿ,,cubeb (Piper cubeba),
ಕಟ್ಟೆವು,,flea,
ಕಠಾರಿ,,dagger,
ಕಡಮ,,"elk, stag",
ಕಡಲೆನೆಲ,,peanut,
ಕಡಲ್,,"sea, ocean",
ಕಡ್ಗ,,sword,
ಕದನೆ,,swivel gun,
ಕನ,,dream,
ಕಪಿ,,monkey,
ಕಪ್ಪರಂಟೆ,,tadpole,
ಕಪ್ಪೆ,,frog,
ಕಫ,,phlegm,
ಕರಡಿ,,bear,
ಕರವೆ,,phlegm,
ಕರಿಯ,,ferry,
ಕರಿಯ,,black,
ಕಾಡೆ,,quail,
ಕಾರೆ,,black nightshade,
ಕಿಂನರಿ,,lute,
ಕುಕ್ಕು,,mango,
ಕೆರೆಂಗ್,,sweet potato,
ಕೈ,,hand,
ಕೊಳಲ್,,fife,
ಕೋರಿ,,chicken,
ಕೋರಿಕಟ್ಟ,,cockfight,
ಕೋಶ,,"dictionary, glossary, vocabulary, (anatomy) scrotum",
ಕೋಷ,,Alternative spelling of ಕೋಶ (kōśa),
ಕೌಡಿ,,cowry,
ಕ್ರಿಯಾಪದ,,verb,
ಕ್ರಿಯಾವಿಶೇಷಣ,,adverb,
ಕ್ರುಸ್ಸು,,chair,
ಕ್ಷೀರಪಥ,,"the Milky Way Galaxy, Synonym: ಆಕಾಶಗಂಗೆ (ākāśagaṅge)",
ಖಗ,,bird,
ಖಾನೆ,,"house, home, domicile, dwelling",
ಖಾಸ,,"own, personal, private",
ಗಂಚಕ್ಕರು,,hoax,
ಗಜ,,elephant,
ಗಜ,,elephantine,
ಗಡಕ್ಕ,,"suddenly, all of a sudden",
ಗಡಸ್,,heifer,
ಗಡಿಯಾಳ್,,"clock, watch",
ಗಣಕ,,computer,
ಗಾದೆಲು,,proverb,
ಗಾಳಿ,,wind,
ಗುರುತ್ವ,,gravity,
ಗುಲಾಬಿ,,rose,
ಗುಳ್ಳ,,"eggplant, aubergine",
ಗೋಂಕು,,cashew,
ಗೋಳಿದಮರ,,banyan,
ಗ್ರಹ,,planet,
ಚಾಕ್,,chalk,chalk
ಚಾಯಿ,,ink,
ಚಿಕ್,,"bah, fie, fooey",
ಚಿಕ್ನೋಳಿ,,syringe,
ಚಿರ್ತೆಪಿಲಿ,,leopard,
ಚಿಲೆ,,fishing rod,
ಚೀನಿ,,Chinese,
ಚುಂಬನ,,kissing,
ಚೆಂಡೆಮರ,,suicide tree,
ಚೆಂಡ್,,ball,
ಚೆರಡ್,,ear,
ಜಲ,,water,
ಜಿಂಕೆ,,antelope,
ಜಿರೆ,,"small, little",
ಜಿಹ್ವೆ,,tongue,
ಜೀರಿಗೆ,,cumin,
ಜೀವರಾಶಿ,,animal kingdom,
ಜೀವಾಕ್ಷರ,,vowel,
ಜೇವು,,"child, youth",
ಜೈಲ್,,"jail, prison",jail
ಜೋಕುಳು,,"children, youth",
ಜೋಗಿಮರ,,"portia tree, Thespesia populnea",
ಜೋಳ,,jowar,
ಜ್ಯೇಷ್ಠಮಧು,,liquorice root,
ಜ್ವಾಲಾಮುಖಿ,,(geology) volcano,
ಟಿಟ್ಟಿಭ,,lapwing,
ಡಪ್ಪು,,tabret,
ಡಾಳೀ,,army,
ಡೈಮಾನ್,,diamonds (cards),diamond
ಣಳ,,smooth,
ತಮಿರ್,,gimlet,
ತರಕಾರಿ,,vegetables (collective),
ತರೆ,,head,
ತರೆಮಂಡೆ,,"skull, cranium",
ತಲಪುನಿ,,"arrive, reach",
ತಲೆಂಬು,,pillow,
ತಲ್ವಾರ್,,scimitar,
ತಾಂಬ್ರ,,copper,
ತಾಂಬ್ರ,,coppery (in color),
ತಾಕಟೆಮರ,,Indian mulberry,
ತಾಟಿ,,applause (the act of clapping the hands),
ತಾಪಿ,,trowel,
ತಿತ್ತಿರಿ,,partridge,
ತುಲುಭಾಷ,,Tulu,
ತೆಕ್ಕರೆ,,cucumber,
ತೊಳು,,hole,
ತೊಳು,,empty,
ತೋಯ,,water,
ತೋಳ್,,arm,
ದಾಲಿಂಬ,,pomegranate,
ದಿನ,,day,
ದಿವಿದಿವಿಮರ,,dividivi,
ದೀಪಾವಳಿ,,(Hinduism) Diwali,
ದೀರ್ಘ,,long vowel,
ದೀರ್ಘ,,long (of much duration),
ದುಕಾನ್,,shop,
ದುಡಿ,,lip,
ದುರ್ಗಂಧ,,"stink, stench, fetor, odor",
ದುರ್ಬಿನಿ,,telescope,
