L2_orth,L2_ipa,L2_gloss,L2_etym
1'inci,[biɾinˈdʒi],1st,
1.,[biɾindʒi],1st,
10'uncu,,10th,
100'üncü,,Abbreviation of yüzüncü (“hundredth”).,
2'nci,[icindʒi],2nd,
2.,,2nd,
3'üncü,[ytʃyndʒy],3rd,
3.,[ytʃyndʒy],3rd,
4'üncü,[dœɾdyndʒy],4th,
4.,[dœɾdyndʒy],4th,
5'inci,,5th,
6'ncı,,6th,
7'nci,,7th,
8'inci,,8th,
9'uncu,,9th,
@,,her biri (“each”),
-a,,"Used to form the dative case
‎İstanbul + ‎-a → ‎İstanbul’a (“to Istanbul”)
‎Ankara + ‎-a → ‎Ankara’ya (“to Ankara”)
‎İzmir + ‎-a → ‎İzmir’e (“to Izmir”)
‎babası + ‎-a → ‎babasına (“to his father”)",
A.B.D.,,Initialism of Amerika Birleşik Devletleri (United States of America),
AA,,Initialism of Anadolu Ajansı (Anadolu Agency).,
ab,,"(obsolete, poetic) water",
AB,,the blood type AB,
AB,,(politics) Initialism of Avrupa Birliği (European Union),
aba,/aba/,"(dialectal) elder sister, (dialectal) mother",
aba,/aba/,"felt (a non-woven cloth that is produced by matting,",
aba,/aba/,"(archaic) fathers, (archaic) ancestors, forefathers,",
aba,/aba/,dative singular of ab,
aba,/aba/,"felt (a non-woven cloth that is produced by matting,",
aba,/aba/,"(archaic) fathers, (archaic) ancestors, forefathers,",
aba,/aba/,dative singular of ab,
aba,/aba/,"(archaic) fathers, (archaic) ancestors, forefathers,",
aba,/aba/,dative singular of ab,
aba,/aba/,dative singular of ab,
Aba,,A female given name,
abacı,/abad͡ʒɯ/,"person who sells aba, person who sells clothes made",
abacılık,/abadʒɯɫɯk/,"profession of the making or selling aba, profession",
Abadan,,Abadan (a city in Iran),
abadi,,"a kind of paper, light-yellow-colored and a bit thick",
abajur,/abaʒuɾ/,lampshade,
abajurcu,/abaʒuɾdʒu/,a person who sells or makes lampshades,
abajurculuk,/abaʒuɾdʒuɫuk/,profession of the person who sells or makes lampshades,
abajurlu,,having a lampshade,
abajursuz,,"without lampshade, person who has not lampshade",
abaksiyal,,abaxial,
abaküs,/ɑ.bɑˈcys/,abacus,
abalı,/abaɫɯ/,person who has or wears aba,
abandırma,,"This term needs a translation to English. Please help out and add a translation, then remove the text {{rfdef}}.",
abanık,,(phonetics) consonant,
abanma,,leaning over/against,
abanmak,,"to lean (against or on something)
Gözlerini kapatıp duvara abandı. ― He closed his eyes and leaned against the wall.
Konuşurken kürsüye abanmamalısınız. ― You should not lean on the lectern while talking.",
abanoz,/ɑbɑnoz/,ebony tree,
abanozgiller,,Ebenaceae (taxonomic family of plants),
abanozlaşma,,darkening,
abani,,"a fine cotton material embroidered with yellow silk, formerly used for turbans and jackets",
abarognoz,,(medicine) abarognosis,
abartı,/abarˈtɯ/,exaggeration,
abartıcı,,exaggerator,
abartıcılık,,The habit of exaggerating.,
abartılı,/abaɾtɯˈlɯ/,exaggerated,
abartılma,,"an act of being exaggerated
Sorunun abartılmasını hiç beğenmiyorum. ― I don’t like the issue’s being exaggerated at all.",
abartılmak,,to be exaggerated,
abartısız,,unexaggerated,
abartısızlık,,the state of not being an exaggeration,
abartış,,an act or instance of exaggerating,
abartma,,exaggeration,
abartmacı,,exaggerator,
abartmacılık,,The habit of exaggerating.,
abartmak,,to exaggerate,
abartmalı,,exaggerated,
abartmasız,,unexaggerated,
Abaza,,A female given name,
Abazaca,,"This term needs a translation to English. Please help out and add a translation, then remove the text {{rfdef}}.",
abazan,,horny (especially used for a person who hasn't had sex for a long time),
abazanlık,,(slang) horniness; randiness,
Abbas,,A male given name,
ABD,/aːbeːdeː/,USA (a country in North America); initialism of Amerika Birleşik Devletleri (“United States of America”),
abdal,,(archaic) A religious devotee in radical Sufism who has attained a high level of spirituality (comparable to a sannyasi in Hinduism),
abdallık,,the state of being a mendicant dervish or beggar,
abdest,/ɑb.dɛst/,(Islam) abdest,
abdestbozan,,tapeworm,
abdesthane,,"toilet, bathroom (room used for urination and defecation),",
abdestlik,,place for performing ablutions,
abdestlilik,,"(Islam) the state of having performed abdest (i.e., ritual washing before prayers)",
abdestsizlik,,"(Islam) the state of not having performed abdest (i.e., ritual washing before prayers)",
abdomen,,abdomen,
Abdullah,,A male given name from Arabic,
abdiâciz,,"(obsolete) a word a speaker uses to refer to themselves in order to show their humility
Efendim, bendeniz abdiâciz kulunuz... ― Sir, my humble self, your slave...",
abece,/ɑː.beː.ˈd͡ʒeː/,alphabet,
abece-sayısal,,alphanumeric,
abecesayısal,,alphanumeric,
abecesel,,alphabetical,
abelya,,abelia,
aberasyon,,"aberration, Synonym: sapınç",
abes,,"useless, pointless, unreasonable",
abeslik,,"This term needs a translation to English. Please help out and add a translation, then remove the text {{rfdef}}.",
abıhayat,,"Fountain of Youth, fountain of youth",
abıkevser,,"(obsolete, religion) a river or other body of water believed to be in Paradise",
Abır,,A male given name,
abla,[abɫa],elder sister,
ablacı,,(slang) a lesbian,
ablacılık,,"lesbianism
Synonyms: lezbiyenlik, sevicilik",
Ablak,,A male given name,
ablatya,,seine,
ablatif,,(grammar) ablative (case),
abluka,,"blockade, Synonym: kuşatma",
abnormalite,,"abnormality
Synonym: anormallik",
abone,/a.bɔ.ne/,subscriber,
abonelik,,subscription,
aborda,,boarding,
abosa,,(nautical) avast!,
abra,,"counterweight, makeweight",
abrama,,steering,
abramak,,(nautical) to manage,
abrazyon,,abrasion,
abril,,(dialectal) April,
absorbe,/absɔɾbe/,absorption,
absorbsiyon,,absorption,
absorplayıcı,,absorbent,
absorpsiyon,,absorption,
absterjan,,abstergent,
abstraksiyon,/abstɾaksjɔn/,abstraction,
absürd,,Alternative form of absürt,
abuş,,"(dialectal) elder sister, (dialectal) mother",
Abuşka,,A male given name from Proto-Turkic,
abi,/aːbi/,(colloquial) elder brother,
abide,,"something of monumental importance, monument",
abide,,locative singular of abi,
abide,,locative singular of abi,
abideleşme,,"This term needs a translation to English. Please help out and add a translation, then remove the text {{rfdef}}.",
abideleşmek,,"to become a monument
Sultanahmet Camii, Osmanlı zevkinin abideleşmiş hâlidir. ― The Blue Mosque is a case that has become a monument of Ottoman taste.",
abideleştirme,,"monumentalising, monumentalizing",
abideleştirmek,,to make into a monument,
abis,,abyss,
abiye,[abije],a dress which is worn in evenings or special days such,
abiyogenez,,(biology) abiogenesis,
abiyotik,,abiotic,
abiyoz,,abiosis,
acaba,/aˈdʒa.baː/,"A word which makes the sentence specify curiosity,",
Acabay,,A male given name,
Acabey,,A male given name,
Acahan,,A male given name,
-acak,,"Future tense suffix. Equivalent to will.
kır(-mak) (“(to) break”) → kıracak (“he/she/it will break”)",
Acarer,,A male given name,
Acatay,,A male given name,
acayip,,"interesting, grotesque, strange",
-acağım,,"Suffix of verb ""to be"" in future tense for subject ""I"".
sat(mak) → satacağım (“I will sell”)",
acaip,,Misspelling of acayip.,
acele,,"rush, haste, Haydi acele et! ― Come on, hurry up!,",
acele,,"hasty, hurried, urgent",
acele,,"quickly, urgently",
aceleci,,hasty,
acelecilik,,hastiness,
acemi,[ad͡ʒemiː],inexperienced,
acemi,[ad͡ʒemiː],beginner,
acente,/a.dʒɛn.te/,agent (one who acts in place of another),
acentelik,,agency (the relation between a principal and his agent),
acı,[ɑˈd͡ʒɯ],"bitter, acrid, hot, spicy",
acı,[ɑˈd͡ʒɯ],"pain, suffering, ache, grief, sorrow",
acı,[ɑˈd͡ʒɯ],"sad, lamentable, tragic, grievous, sorrowful",
acı,[ɑˈd͡ʒɯ],"definite accusative singular of aç, third-person singular",
acı,[ɑˈd͡ʒɯ],"pain, suffering, ache, grief, sorrow",
acı,[ɑˈd͡ʒɯ],"sad, lamentable, tragic, grievous, sorrowful",
acı,[ɑˈd͡ʒɯ],"definite accusative singular of aç, third-person singular",
acı,[ɑˈd͡ʒɯ],"definite accusative singular of aç, third-person singular",
acıkılmak,,to be/become hungry,
acıkmak,[ɑ.d͡ʒɯk.mɑk],"(intransitive) to hunger; be hungry, feel hunger, feel",
acıktırmak,,to make hungry,
acıktırtmak,,to let somebody make somebody else hungry,
acımak,,"(intransitive) to become bitter, turn rancid",
acımak,,"(intransitive, with dative case) to pity, feel pity",
acımak,,"(intransitive, with dative case) to pity, feel pity",
acımasız,,ruthless,
acıtmak,,causative of acımak: To hurt someone or something.,
Aclan,,A male given name,
acu,,(dialectal) uncle,
acun,,"(archaic) earth, land, country",
Acun,,A male given name,
Acunal,,A male given name,
Acunalan,,A male given name,
Acunalp,,A male given name,
Acuner,,A male given name,
Acunman,,A male given name,
Acunseven,,A male given name,
acil,,urgent (requiring immediate attention),
acin,,dough,
aciz,/a.dʒiz/,incapableness,
ad,/ɑd/,"name, first name, last name, noun, reputation, fame,",
ada,[ada],island,
adacık,,islet,
Adak,,A male given name,
Adal,/aˈdaɫ/,A male given name from Old Turkic,
adale,,muscle,
Adalet,,A female given name from Arabic,
adalet,,"justice, fairness",
adaletli,,"just, equitable",
adaletsiz,,unjust,
adaletsizlik,,"injustice, unjustice",
adalı,,islander,
Adam,,A male given name,
adam,/ɑˈdɑm/,"human, man (adult human male)",
adamak,,to dedicate,
adamcağız,,poor man,
adamotu,,mandrake,
Adana,,Adana (a city in Turkey),
adaptasyon,,adaptation (clarification of this definition is needed),
aday,/a.daɪ/,candidate,
adaylık,,candidacy,
Adaş,,A male given name,
ADD,,Initialism of Atatürkçü Düşünce Derneği (Kemalist Thought Association).,
adedimürettep,,"(mathematics, dated) integer",
Adem,,"A male given name from Arabic, Adam",
adenozin,[adenozin],(pharmacology) adenosine,adenosine
adet,/ˈa.det/,"amount, number, unit",
adezyon,,adhesion,
adım,/ɑ.dɯm/,first-person singular simple present possessive of,
adım,/ɑ.dɯm/,step,
adım,/ɑ.dɯm/,"possessive first-person singular, singular possession",
adım,/ɑ.dɯm/,step,
adım,/ɑ.dɯm/,"possessive first-person singular, singular possession",
Adın,,A male given name,
Adıyaman,,A city in Turkey,
adlı,,named,
Adlı,,A male given name,
Adli,,A male given name,
adliye,,court of law (court presided over by a judge),
Adnan,,A male given name from Arabic.,
adres,/adɾɛs/,address (direction for letters),
Adsız,,A male given name,
adsız,,nameless,
adi,,"inferior, vulgar, ordinary",
Adil,,A male given name from Arabic,
adil,,"fair, just",
adisyon,/adisjɔn/,"bill (UK), check (US) (in a restaurant, etc)",
aerodinamik,/a.e.ɾɔ.di.na.mic/,aerodynamic,
aerodinamik,/a.e.ɾɔ.di.na.mic/,aerodynamics (the science of the dynamics of bodies,
AET,,"(economy, historical) Initialism of Avrupa Ekonomik Topluluğu (European Economic Community).",
af,/ɑf/,pardon,
afacanlaşma,,"This term needs a translation to English. Please help out and add a translation, then remove the text {{rfdef}}.",
afacanlaşmak,,"This term needs a translation to English. Please help out and add a translation, then remove the text {{rfdef}}.",
afacanlık,,"This term needs a translation to English. Please help out and add a translation, then remove the text {{rfdef}}.",
afak,,(obsolete) horizons,
afakan,,palpitations,
afaki,,"(archaic, law) unnecessary, unimportant",
afakilik,,"This term needs a translation to English. Please help out and add a translation, then remove the text {{rfdef}}.",
afallama,,"This term needs a translation to English. Please help out and add a translation, then remove the text {{rfdef}}.",
afallamak,,"To lose control on oneself because of being astonished, bewildered, boggled",
afallaşma,,"This term needs a translation to English. Please help out and add a translation, then remove the text {{rfdef}}.",
afallaşmak,,"This term needs a translation to English. Please help out and add a translation, then remove the text {{rfdef}}.",
afalina,,bottlenose dolphin; Tursiops truncatus,
afedersin,,Alternative form of affedersin.,
afen,,"(archaic) decomposition, decay, rot",
aferin,[ɑːfɛɾ̞in],bravo!,
afet,,"calamity, disaster",
affedersin,,"I'm sorry, pardon me, excuse me",
affetmek,,To forgive; to pardon (both informally and officially);,
Afgan,,Afghan (person from Afghanistan),
