L2_orth,L2_ipa,L2_gloss,L2_etym
aliki,,noble,
alofa,,"compassion, empathy, love",
atua,,"god (deity), almighty one; Lord",
au,,"I (personal pronoun), me (direct object of a verb),",
e,,"present tense marker, inserted immediately before the",
fa,,four,
fafine,,woman,
fakakai,,village,
fale,,house (abode),
fatu,,stone,
filemu,,"quiet, peaceful",
fitu,,seven,
fonu,,"turtle, sea turtle, A ko ou tāgata ne olo ki te ulugā",
fā,,four,
igoa,,name,
isu,,nose,
iva,,nine,
ka,,"future tense marker, inserted immediately before the relevant verb",
kai,,ever,
kakau,,to swim,
ko,,"present perfect tense marker, inserted immediately before the relevant verb",
koi,,"continuous action marker, inserted immediately before the relevant verb",
lagi,,"sky (atmosphere above a point), heaven",
lelei,,good,
leo,,"voice, sound",
lima,,five,
llei,,good,
lua,,two,
mala,,plague,
maneapa,,"meeting house, town hall",
mmala,,overcooked,
mo,,for,
namu,,mosquito,
ne,,"past tense marker, inserted immediately before the relevant verb",
ngangana,,language,
nifo,,(anatomy) tooth,
niu,,coconut,
nnofo,,plural of nofo,
nofo,,to sit,
ono,,six,
sefulu,,ten,
sili,,To ask.,
taeao,,tomorrow,
tagata,,"man, human being",
tahi,,one,
taina,,cousin or sibling of the same sex,
te,,the (definite article),
tolu,,three,
ttagata,,the man,
tuagane,,cousin or sibling of the opposite sex,
tuku,,To give,
tuli,,deaf,
tuli,,(anatomy) knee; elbow,
tuli,,plover,
tuli,,(anatomy) knee; elbow,
tuli,,plover,
tuli,,plover,
uu,,(anatomy) breast,
vai,,"water (clear liquid H₂O), lake",
vakalele,/vakaˈlɛlɛ/,"airplane, Ko fano te vakalele?Has the airplane already",
valu,,eight,
