L2_orth,L2_ipa,L2_gloss,L2_etym
ΒΟΥΗΛΑ,,"the first word of the Buyla inscription, generally interpreted as a Turkic personal name
ΒΟΥΗΛΑ ΖΟΑΠΑΝ ΤΕΣΗ ΔΥΓΕΤΟΙΓΗ ΒΟΥΤΑΟΥΛ ΖΩΑΠΑΝ ΤΑΓΡΟΓΗ ΗΤΖΙΓΗ ΤΑΙΣΗ
The meaning of this inscription is uncertain. Suggestions include:
Boila zoapan finished this bowl [this drinking cup], which Boutaoul zoapan made suitable for hanging up. (Vilhelm Thomsen, quoted by László and Rácz)
Boila chaban's bowl, which was made to his order; Boutaoul had a buckle made for it, and this is his bowl. (Gyula Németh, quoted by László and Rácz)
Bouila zoapan made this cup; Boutaul Zoapan made this cup suitable for drinking from. (Nikola Mavrodinov, quoted by László and Rácz)",
ΒΟΥΤΑΟΥΛ,,"one of the words of the Buyla inscription, generally interpreted as a Turkic personal name
ΒΟΥΗΛΑ ΖΟΑΠΑΝ ΤΕΣΗ ΔΥΓΕΤΟΙΓΗ ΒΟΥΤΑΟΥΛ ΖΩΑΠΑΝ ΤΑΓΡΟΓΗ ΗΤΖΙΓΗ ΤΑΙΣΗ
The meaning of this inscription is uncertain. Suggestions include:
Boila zoapan finished this bowl [this drinking cup], which Boutaoul zoapan made suitable for hanging up. (Vilhelm Thomsen, quoted by László and Rácz)
Boila chaban's bowl, which was made to his order; Boutaoul had a buckle made for it, and this is his bowl. (Gyula Németh, quoted by László and Rácz)
Bouila zoapan made this cup; Boutaul Zoapan made this cup suitable for drinking from. (Nikola Mavrodinov, quoted by László and Rácz)",
ΔΥΓΕΤΟΙΓΗ,,"one of the words of the Buyla inscription
ΒΟΥΗΛΑ ΖΟΑΠΑΝ ΤΕΣΗ ΔΥΓΕΤΟΙΓΗ ΒΟΥΤΑΟΥΛ ΖΩΑΠΑΝ ΤΑΓΡΟΓΗ ΗΤΖΙΓΗ ΤΑΙΣΗ
The meaning of this inscription is uncertain. Suggestions include:
Boila zoapan finished this bowl [this drinking cup], which Boutaoul zoapan made suitable for hanging up. (Vilhelm Thomsen, quoted by László and Rácz)
Boila chaban's bowl, which was made to his order; Boutaoul had a buckle made for it, and this is his bowl. (Gyula Németh, quoted by László and Rácz)
Bouila zoapan made this cup; Boutaul Zoapan made this cup suitable for drinking from. (Nikola Mavrodinov, quoted by László and Rácz)",
ΖΟΑΠΑΝ,,"one of the words of the Buyla inscription, generally thought to be related to the title ""župan"" (""district leader"")
ΒΟΥΗΛΑ ΖΟΑΠΑΝ ΤΕΣΗ ΔΥΓΕΤΟΙΓΗ ΒΟΥΤΑΟΥΛ ΖΩΑΠΑΝ ΤΑΓΡΟΓΗ ΗΤΖΙΓΗ ΤΑΙΣΗ
The meaning of this inscription is uncertain. Suggestions include:
Boila zoapan finished this bowl [this drinking cup], which Boutaoul zoapan made suitable for hanging up. (Vilhelm Thomsen, quoted by László and Rácz)
Boila chaban's bowl, which was made to his order; Boutaoul had a buckle made for it, and this is his bowl. (Gyula Németh, quoted by László and Rácz)
Bouila zoapan made this cup; Boutaul Zoapan made this cup suitable for drinking from. (Nikola Mavrodinov, quoted by László and Rácz)",
ΖΩΑΠΑΝ,,"one of the words of the Buyla inscription, generally thought to be related to the title ""župan"" (from Proto-Slavic *županъ (“district leader”))
ΒΟΥΗΛΑ ΖΟΑΠΑΝ ΤΕΣΗ ΔΥΓΕΤΟΙΓΗ ΒΟΥΤΑΟΥΛ ΖΩΑΠΑΝ ΤΑΓΡΟΓΗ ΗΤΖΙΓΗ ΤΑΙΣΗ
The meaning of this inscription is uncertain. Suggestions include:
Boila zoapan finished this bowl [this drinking cup], which Boutaoul zoapan made suitable for hanging up. (Vilhelm Thomsen, quoted by László and Rácz)
Boila chaban's bowl, which was made to his order; Boutaoul had a buckle made for it, and this is his bowl. (Gyula Németh, quoted by László and Rácz)
Bouila zoapan made this cup; Boutaul Zoapan made this cup suitable for drinking from. (Nikola Mavrodinov, quoted by László and Rácz)",
ΗΤΖΙΓΗ,,"one of the words of the Buyla inscription
ΒΟΥΗΛΑ ΖΟΑΠΑΝ ΤΕΣΗ ΔΥΓΕΤΟΙΓΗ ΒΟΥΤΑΟΥΛ ΖΩΑΠΑΝ ΤΑΓΡΟΓΗ ΗΤΖΙΓΗ ΤΑΙΣΗ
The meaning of this inscription is uncertain. Suggestions include:
Boila zoapan finished this bowl [this drinking cup], which Boutaoul zoapan made suitable for hanging up. (Vilhelm Thomsen, quoted by László and Rácz)
Boila chaban's bowl, which was made to his order; Boutaoul had a buckle made for it, and this is his bowl. (Gyula Németh, quoted by László and Rácz)
Bouila zoapan made this cup; Boutaul Zoapan made this cup suitable for drinking from. (Nikola Mavrodinov, quoted by László and Rácz)",
ΤΑΓΡΟΓΗ,,"one of the words of the Buyla inscription
ΒΟΥΗΛΑ ΖΟΑΠΑΝ ΤΕΣΗ ΔΥΓΕΤΟΙΓΗ ΒΟΥΤΑΟΥΛ ΖΩΑΠΑΝ ΤΑΓΡΟΓΗ ΗΤΖΙΓΗ ΤΑΙΣΗ
The meaning of this inscription is uncertain. Suggestions include:
Boila zoapan finished this bowl [this drinking cup], which Boutaoul zoapan made suitable for hanging up. (Vilhelm Thomsen, quoted by László and Rácz)
Boila chaban's bowl, which was made to his order; Boutaoul had a buckle made for it, and this is his bowl. (Gyula Németh, quoted by László and Rácz)
Bouila zoapan made this cup; Boutaul Zoapan made this cup suitable for drinking from. (Nikola Mavrodinov, quoted by László and Rácz)",
ΤΑΙΣΗ,,"one of the words of the Buyla inscription
ΒΟΥΗΛΑ ΖΟΑΠΑΝ ΤΕΣΗ ΔΥΓΕΤΟΙΓΗ ΒΟΥΤΑΟΥΛ ΖΩΑΠΑΝ ΤΑΓΡΟΓΗ ΗΤΖΙΓΗ ΤΑΙΣΗ
The meaning of this inscription is uncertain. Suggestions include:
Boila zoapan finished this bowl [this drinking cup], which Boutaoul zoapan made suitable for hanging up. (Vilhelm Thomsen, quoted by László and Rácz)
Boila chaban's bowl, which was made to his order; Boutaoul had a buckle made for it, and this is his bowl. (Gyula Németh, quoted by László and Rácz)
Bouila zoapan made this cup; Boutaul Zoapan made this cup suitable for drinking from. (Nikola Mavrodinov, quoted by László and Rácz)",
ΤΕΣΗ,,"one of the words of the Buyla inscription
ΒΟΥΗΛΑ ΖΟΑΠΑΝ ΤΕΣΗ ΔΥΓΕΤΟΙΓΗ ΒΟΥΤΑΟΥΛ ΖΩΑΠΑΝ ΤΑΓΡΟΓΗ ΗΤΖΙΓΗ ΤΑΙΣΗ
The meaning of this inscription is uncertain. Suggestions include:
Boila zoapan finished this bowl [this drinking cup], which Boutaoul zoapan made suitable for hanging up. (Vilhelm Thomsen, quoted by László and Rácz)
Boila chaban's bowl, which was made to his order; Boutaoul had a buckle made for it, and this is his bowl. (Gyula Németh, quoted by László and Rácz)
Bouila zoapan made this cup; Boutaul Zoapan made this cup suitable for drinking from. (Nikola Mavrodinov, quoted by László and Rácz)",
𐇐,,"""Pedestrian"", a sign found on the undeciphered Phaistos Disc
The outermost phrase of the Phaistos Disc, side A:
𐇾 𐇡𐇽𐇐𐇜𐇛𐇑𐇿",
