L2_orth,L2_ipa,L2_gloss,L2_etym
-che,,"Latin spelling of ـچە‎ (-che, “equivalence case suffix, noun-forming suffix”)",
kümüsh,,"Latin spelling of كۈمۈش‎ (kümüsh, “silver”)",
-ning,,"Latin spelling of -نىڭ‎ (-ning, “genitive case marker”)",
orman,,forest,
Oxayo,,Ohio,
we,,Latin (ULY) transcription of ۋە‎ (we),
yil,,Latin (ULY) transcription of يىل‎ (yil),
А,,"The first letter of the Uyghur alphabet, written in the Cyrillic script.",
айрилиш,,segregation,
бала,,child,
бир,,one,
деңиз,,sea,
жил,/ʒil/,"Kazakhstan standard form of يىل‎ (yil, “year”).",
йоруқлуқ,,light,
Кродийә,,(China) Croatia (a country in southeastern Europe;,
күмүш,,Cyrillic spelling of كۈمۈش‎ (kümüsh).,
көк,,blue,
көк,,"blue (colour), sky",
лимон,,lemon,
луғәт,,dictionary,
Мав,,"Cyrillic spelling of ماۋ‎ (maw, “Mao, a Chinese surname”)",
пәрваз,,"flight, soaring",
сикмәк,,"(Vulgar) To fuck.
Анаң сикмәк! ― Anang sikmek! ― Fuck your mother!
Ахирида Алимҗан у қизни сикивәтти. ― Axirida Alimjan u qizni sikiwetti. ― In the end, Alimjan got to fuck that girl.",
су,,water,
сүзүк,,"clear, limpid, transparent",
тартма,,"Cyrillic spelling of تارتما‎ (tartma, “drawer”)",
таш,,Cyrillic spelling of تاش‎ (tash),
тәрҗимә,,Kazakhstan standard form of تەرجىمە‎ (terjime).,
уйғур,,"Cyrillic spelling of ئۇيغۇر‎ (uyghur, “Uyghur”)",
уйғурчә,,the Uyghur language.,
Хитай,,China,
Хорватийә,,(Kazakhstan) Croatia (a country in southeastern Europe;,
шундақ,,"thus, so, this way.",
шәкилсиз,,having no shape,
шәһәр,,Cyrillic spelling of شەھەر‎ (sheher).,
җаңйу,,soy sauce,
җумһурийәт,,republic,
қазан,,boiler,
Қазағистан,,Kazakhstan,
һава,,"air, weather, atmosphere, heat of the fire, cooking",
әпсус,/æp̚.sus/,"pity, sympathy",
Әрмәнстан,/ɛrmɛnstan/,"Kazakhstan standard form of ئەرمېنىيە‎ (ermëniye, “Armenia”).",
ئا,/a/,The first letter of the Uyghur alphabet.,
ئائىلە,,"family, (biology) family, (linguistics) family",
ئابدۇل-,,"This term needs a translation to English. Please help out and add a translation, then remove the text {{rfdef}}.",
ئابدۇلئەھەد,,A male given name,
ئابلىز,,"A male given name, meaning servant of God",
ئات,,"(zoology) horse, (chess) knight",
ئات,,"a name, ‏ئېتىڭىز نېمە؟‎‎ ― 'ëtingiz nëme? ― what's",
ئات,,second-person singular imperative of ئاتماق‎ (atmaq),
ئات,,"a name, ‏ئېتىڭىز نېمە؟‎‎ ― 'ëtingiz nëme? ― what's",
ئات,,second-person singular imperative of ئاتماق‎ (atmaq),
ئات,,second-person singular imperative of ئاتماق‎ (atmaq),
ئاتمىش,/ɑtmiʃ/,sixty,
ئاتىماق,,"to give a name, to name",
ئاخىر,,"end, finally, eventually, after all",
ئاخىرلاشماق,,"to end, to come to an end, to be completed",
ئاداش,,"friend, buddy, mate, companion
Synonyms: ئاغىنە‎ (aghine), دوست‎ (dost), ئۈلپەت‎ (ülpet)",
ئادالەت,,justice,
ئادىل,,"A male given name, meaning just or fair",
ئادەتتە,,"usually, ordinarily, customarily, ‏ادەتتە سىز دەم ئېلىش",
ئادەم,/ɑˈdæm/,"man, person",
ئارال,,island,
ئارام,,"rest, peacefulness, restedness",
ئارتۇق,,excessive,
ئارزۇ,,"wish, hope",
ئارغىماق,,"steed, good racing horse",
ئارقا,,"back, rear",
ئارىسىدا,,between,
ئارپا,,barley,
ئازاب,,"torment, pain",
ئاستا,,"slowly, lightly",
ئاسمان,/ɑsˈmɑn/,"sky, heaven",
ئاسىيا,,Asia (a continent east of Europe and north of Oceania),
ئاش,,"food, a meal",
ئاشخانا,,cafeteria,
ئاشقازان,,stomach,
ئاشكارا,,"obvious, revealed",
ئاشكارا,,"openly, in public, publicly",
ئاشكارا,,"open, public",
ئاشكارىلىماق,,"to make public, to reveal",
ئاشىق,,"someone who is in love., ‏ئۇ دوستىنىڭ ئىنىسىگە ئاشىق",
ئاشپەز,,chef,
ئاشۇ,,(demonstrative) that (referring to a familiar object),
ئاغرىتماق,,"to hurt, to damage",
ئاغزاكى,,"oral, spoken",
ئاغىنە,,"friend, buddy, mate, companion, Synonyms: ئاداش‎ (adash),",
ئاـ,,"This term needs a translation to English. Please help out and add a translation, then remove the text {{rfdef}}.",
ئافرىقا,,Africa (a continent),
ئاق,/ɑq/,white,
ئاق-,,"This term needs a translation to English. Please help out and add a translation, then remove the text {{rfdef}}.",
ئاقساقال,,"aqsaqal, old man, elder",
ئاقماق,,"to flow, to run",
ئاقھاجى,,A male given name,
ئالاقاغا,,"Alakaga, Alahage, Alaqagha (a town in Kuqa, Aksu prefecture, Xinjiang, China)",
ئالاقىلىك,,"related, inter-related, connected",
ئالاقىچى,,contact person,
ئالاقە,,"connection, tie, relationship, ‏ئۇلار كىشىلەر بىلەن",
ئالبانىيە,,Albania (a country in southeastern Europe),
ئالتىنچى,/ɑltintʃi/,sixth,
ئالتۇن,,gold,
ئالتە,/ɑltɛ/,six,
ئالجىرىيە,,Algeria (a country in northern Africa),
ئالد,,"front, fore, face, surface",
ئالدىراش,,"busy, rushed
‏مەن  ئالدىراش ئەمەس‎men  aldirash emesI am not busy",
ئالدىرىماق,,"to rush, to hurry",
ئاللاھ,,(Islam) Allah,
ئالما,,"apple tree, apple (fruit)",
ئالما,,second-person singular negative imperative of ئالماق‎,
ئالما,,second-person singular negative imperative of ئالماق‎,
ئالماش,,(grammar) pronoun,
ئالىيجاناب,,"great, lofty, noble-hearted, magnanimous",
ئالىيە,,A female given name,
ئالەم,,"world, universe, state, condition, a long time, an",
ئامبۇلاتورىيە,,outpatient,
ئامراق,,"affectionate, loving",
ئاممىۋى,,"public, common",
ئامېرىكا,,"America (the continents of North, Central and South America)",
ئانا,/ɑnɑ/,mother,
ئانتاركتىدا,,Antarctica (the southernmost continent),
ئاندوررا,,Andorra (a country in western Europe),
ئانچە,,"not so
‏ئانچە ياخشى ئەمەس‎anche yaxshi emesnot so good
‏ئانچە يىراق ئەمەس‎anche yiraq emesnot so far",
ئاي,,"a moon; the Moon, ‏تولۇن ئاي‎‎ ― tolun 'ay ― a full",
ـئاي,,moon,
ئاياغ,,foot,
ئايال,,woman,
ئايرودروم,,"airport, air field",
ئايرىلىش,,segregation,
ئايرىماق,,"to delineate, to separate, to divide, to differentiate",
ئايلىق,,monthly,
ئاپئاشكارا,,"very obvious, Synonym: ئاپئايان‎ (ap'ayan)",
ئاپئاشكارا,,emphatic degree of ئاشكارا‎ (ashkara),
ئاپئاق,,"brilliant white, pure white, snow white",
ئاپئاق,,emphatic degree of ئاق‎ (aq),
ئاپئايان,,"exceedingly clear, very obvious, Synonym: ئاپئاشكارا‎",
ئاپئايان,,emphatic degree of ئايان‎ (ayan),
ئاپارماق,,"to carry, to take (somewhere)",
ئاپتاپ,,sunlight,
ئاپتاپپەرەس,,sunflower,
ئاپەت,,"disaster, tragedy",
ئاچ,,hungry,
ئاچقۇچ,,key,
ئاچلىق,,hunger,
ئاڭ,,"intellect, awareness, consciousness",
ئاڭلىماق,,"to listen, to hear",
ئاگاھ,,"aware, informed, wary, vigilant",
ئاۋات,,"Prosperous, bustling with people., Added to the end",
ئاۋاز,,"sound, noise, voice, ‏پەس  ئاۋاز بىلەن سۆزلە.‎‎pes",
ئاۋسترالىيە,,Australia (a country in Oceania),
ئاۋستىرىيە,,Austria (a country in central Europe),
ئاۋىئاتسىيە,,"aviation, air fleet, airline",
ئاۋۇ,,(demonstrative) that (referring to a specific object),
ئاۋۋال,,first of all; first; firstly,
ئو,/o/,The twenty fifth letter of the Uyghur alphabet.,
ئوبلاست,,"oblast, region",
ئوتتۇرا,,"middle, central",
ئوتتۇز,/ottuz/,thirty,
ئوتخور,,"grass-eating, herbivorous",
ئوتلام,,"a mouthful, a sip",
ئوتلام,,"mouthful
‏بىر ئوتلام سۇ‎ ― bir 'otlam su ― a sip of water",
ئوخشاش,,"same, similar",
ئوخشىتىش,,"simile, comparison",
ئوخشىماق,,"to be similar, to look alike",
ئورنىغا,,instead,
ئورۇن,,"place, position",
ئوزۇق,,"food, nourishment, sustenance",
ئوزۇق-تۈلۈك,,"food, food supplies, foodstuffs",
ئوغۇل,/oʁul/,boy,
ئوقۇبەت,,"torment, pain, suffering",
ئوقۇتقۇچى,,"teacher
‏ئايگۈل، سىز ئوقۇتقۇچىمۇ؟‎‎ ― aygül, siz oqutquchimu? ― Aygül, are you a teacher?
Synonyms: مۇئەللىم‎ (mu'ellim), مۇئەللىمە‎ (mu'ellime)",
ئوقۇتقۇچى,,مۇئەللىم‎ (mu'ellim) can be used for both male and female teachers. This can be used both indirectly and directly.,
ئوقۇغۇچى,,student,
ئوقۇماق,,"to read, to learn",
ئوكيانىيە,,Oceania (a continent consisting of the islands in the South Pacific Ocean),
ئولتۇراق,,residential,
ئولتۇرۇش,,"get together, party, gathering",
ئوماق,,"lovely, cute
‏بولكىخانىدا ئىشلەيدىغان قىز ئوماق.‎‎bolkixanida ishleydighan qiz omaq.The girl who works at the bakery is cute.
‏مېنى بىر ئوماق قىزغا تونۇشتۇرساڭ‎mëni bir omaq qizgha tonushtursangPlease introduce me to a cute girl.",
ئومۇمىي,,"common, public, general, overall, ‏ئۈچىنچى،  ئومۇمىي",
ئون,/on/,ten,
ئونىنچى,/onintʃi/,tenth,
ئويلىماق,,"to think
‏كېيىنلىكنى  ئويلىماق‎‎këyinlikni  oylimaqto think of the consequences",
ئويناش,,"having fun, dancing
‏قارتا ئويناش بەك كۆڭۈللۈك.‎‎qarta oynash bek köngüllük.It is fun to play cards.
‏ئويناش ئۈچۈن مەيدانغا مېڭىڭ، مەر ھەمەت.‎‎oynash üchün meydangha mënging, mer hemet.Please go to the playground to play",
ئوينىماق,,to play,
ئوچۇق,,clear(weather),
ئوڭاي,,"easy, simple",
ئوڭۇشلۇق,,"successful, unhindered",
ئى,/i/,The thirty-first letter of the Uyghur alphabet.,
ئىت,/it/,dog,
ئىتتىپاق,,"unity, solidarity, union, alliance, league",
ئىتتىپاق,,united (of people),
ئىجابىي,,"positive, commendatory",
ئىجتىمائىي,,"social, ‏سىلەرنى  ئىجتىمائىي دۇنيارىڭلارنى كېزىدىغان",
ئىجرا,,implementation,
ئىستاكان,,drinking glass,
ئىسسىق,,"hot, warm, ‏ ئىسسىق  ئىچىملىكلەر بارمۇ؟‎‎ issiq  ichimlikler",
ئىسسىق,,heat,
ئىسلام,,(Islam) Islam,
ئىسىم,,"name, title, (grammar) noun",
ئىسپانىيە,,Spain (a country in southwestern Europe),
ئىش,/iʃ/,"work, business, enterprise",
ئىشخانا,,office,
ئىشسىز,,"idle, unemployed",
ئىشقىلىپ,,"anyway, in any case",
ئىشقۋاز,,"deeply in love, infatuated, loving, very fond of",
ئىشلىمەك,,"to work,",
ئىشلەتكۈچى,,user,
ئىشىك,,door,
ئىشچى,/iʃtʃi/,worker,
ئىشەنچ,,"faith, belief, confidence, trust",
ئىشەنچسىز,,"untrustworthy, unreliable, uncertain",
ئىشەنچلىك,,"trustworthy, reliable, confident",
ئىقتىساد,[ɯ̥χtʰɪ̥ˈsɑt],economy,
ئىقتىسادىي,,economic,
ئىككى,/iˈkːi/,two,
ئىككىنچى,/iˈkːint͡ʃi/,second,
ئىلھام,,a male given name,
ئىملا,,orthography,
ئىنايەت,,"kindness, mercy, benevolence",
ئىناۋەت,,"prestige, reputation, popularity, attention, notice",
ئىناۋەتسىز,,"unpopular, unrecognised, invalid, vain",
ئىنتايىن,,"very, extremely",
ئىنجىل,/ind͡ʒil/,Bible,
ئىنسان,,"man, human being",
ئىنگلىز,,the English language,
ئىنگلىزچە,,the English language,
ئىنەك,/iˈnæk/,milch cow,
ئىپادىلىك,,expressive,
ئۆ,/ø/,The twenty seventh letter of the Uyghur alphabet.,
ئۆزبەكىستان,,Uzbekistan (a country in Central Asia),
ئۆزگەرتىش,,"transformation
‏سوتسىيالىستىج  ئۆزگەرتىش‎‎sotsiyalistij  özgertishsocialist transformation
‏بۇ ئىشنى ئۆزگەرتىش كېرەك‎bu ishni özgertish kërekThis must be changed.",
ئۆسۈملۈك,,(botany) plant,
ئۆسۈملۈكلەر,,"(botany) plant, ‏ئىپتىدائىي ئۆسۈملۈكلەر‎‎ ― iptida'iy",
ئۆلمەك,,to die,
ئۆي,/øj/,"house, room, home",
ئۆيمۇئۆي,,"from door to door, from room to room, room by room",
ئۆپكە,,(anatomy) lung,
ئۆگەنمەك,,to study,
ئۇ,/u/,The twenty sixth letter of the Uyghur alphabet.,
ئۇ,/u/,"(personal) he, she, it, (demonstrative) that",
ئۇخلىماق,,to sleep,
ئۇرۇش,/uruʃ/,war,
ئۇزاق,,"long in time, far",
ئۇزۇن,,"long
‏ئۇ لوندۇندا قانچە  ئۇزۇن تۇرغان؟‎‎u londunda qanche  uzun turghan?How long has he lived in London?
‏ئۇ بىمار دوختۇرخانىدا ياتقىنى   ئۇزۇن بولۇپ كەتتى، لېكىن ھېچلا ساقايغاندەك قىلمايدۇ.‎‎u bimar doxturxanida yatqini   uzun bolup ketti, lëkin hëchla saqayghandek qilmaydu.That patient has been in the hospital for a while now, but doesn't seem to have gotten the least bit better.",
ئۇزۇن,,"Uzun, Wuzun (a town in Kuqa, Aksu prefecture, Xinjiang, China)",
ئۇسسۇز,,thirsty,
ئۇسسۇل,,dance,
ئۇسۇل,,"way, method, ‏بۇ مەسىلە نورمال  ئۇسۇل بىلەن ھەل بولالمايدۇ.‎‎bu",
ئۇقتۇرۇش,,"notice, notification",
ئۇلار,/uˈlɑr/,(personal) they,
ئۇلغايماق,,to increase,
ئۇنىۋېرسىتېتى,,university,
ئۇيغۇر,/ʔuj.ʁur/,"a Uygur, a Uighur, a Uyghur (person), ‏ئادىل ئۇيغۇرمۇ؟‎‎",
ئۇيغۇرچە,/uj.ʁur.t͡ʃɛ/,"Uyghur, ‏ئۇيغۇرچە تاماق‎‎ ― 'uyghurche tamaq ― Uyghur",
ئۇيغۇرچە,/uj.ʁur.t͡ʃɛ/,"Uyghur (language), Synonym: ئۇيغۇر تىلى‎ (uyghur tili)",
ئۇيقۇتاب,,"sleepy, somnolent",
ئۇچۇر,,"information, data",
ئۇگاندا,,Uganda (a country in East Africa),
ئۈ,/y/,The twenty eighth letter of the Uyghur alphabet.,
ئۈرۈمچى,,"Ürümqi (a prefecture-level city, the capital of Xinjiang,",
ئۈزمەك,,"to break, to cut off, to interrupt",
ئۈزۈم,/y.zym/,grape (fruit),
ئۈستىدە,,"on, top",
