L2_orth,L2_ipa,L2_gloss,L2_etym
aach,,oak,
Abda,,the tenth judge of Israel; Abdon (biblical character),
achuł,,"An acorn, the fruit of an oak tree",
adum,,son-in-law,
adwökāt,,"advocate, lawyer",
agl,,leech,
ah,,oh: expressing of surprise,
ahynder,,backwards,
ajs,,ice,
ajsig,,"cold, frosty",
ajza,,iron,īsarn
ajłaoda,,invite,
ajłyt,,churching (blessing given to new mothers),
ajśłöfa,,to fall asleep,
akademī,,academy,
aker,,"field (wide, open space used to grow crops)",
akta,,"(plural only) document, paper, file, dossier",
akurāt,,accurately,
alf,,eleven,
alfabet,,alphabet,
alfty,,eleventh,
amsa,,to resemble,
amt,,office,
an,,and,
an,,one,
ana,,and,
ander,,"other, different",
anjerig,,annual,
ant,,duck,
aochcao,,eighteen,ahtozehan
aochcyty,,eighteenth,
aochsuł,,(anatomy) shoulder,ahsla
aocht,,eight,ahto
aochty,,eighth,
aodera,,"clay, earthen",
aoj,,"also, too",
aojg,,eye,
aojsbildung,,education,
aojł,,owl,
aokys,,axe,
aon,,harvest,
aondaocht,,"(religion) devotion, devotions, devotional prayer",
aongst,,"fear, awe",
aoraok,,arak,
aorpuł,,potato,
aosa,,to eat,
aosa,,food,
aoscymer,,dining room,
aost,,branch,
aot,,work,
aota,,to work,
aota,,plural of aot,
aowys,,"pea, bean",
aołd,,old,
aołder,,age (latter part of life),
aołdyn,,to age (become old),
aprīl,,April,
aptykier,,"apothecary, pharmacist",
aptȳḱ,,pharmacy (a place where prescription drugs are dispensed),
arcybisku̇p,,archbishop,
astronomi,,astronomy,
ałan,,alone,
bajcht,,confession,
bajsa,,to bite,bīzan
bajśpil,,model,
bakka,,to bake,
bakkūwa,,oven,
baoba,,grandmother,
baoch,,"brook, stream",
baon,,"railway, railroad (transport system)",
barhet,,fustian (coarse cotton fabric),
bawjǡn,,to play,
Bestwa,,Bestwina,
bichła,,Diminutive of büch; little book,
bilet,,ticket,
biyr,,beer,
bjygjer,,"Legally recognized inhabitant of a country or a city; citizen, burgher",
bjēr,,berry,
bjȳd,,burden,
bjȳda,,poverty,
blüz,,"blouse, sweatshirt",
blȧjśtift,,pencil,
bow,/boːf/,woman,
bość,,borscht,
