L2_orth,L2_ipa,L2_gloss,L2_etym
a,,"The first letter of the Votic alphabet, written in",
a,,"ah!, oh!, oops!, ouch!",
a,,but (Following a negative clause or sentence) On the,
a,,"ah!, oh!, oops!, ouch!",
a,,but (Following a negative clause or sentence) On the,
a,,but (Following a negative clause or sentence) On the,
aa,/ɑː/,"yep, yeah, aha, uh-huh",
aabobahka,,Alternative form of aapaobahka.,
aapa,,aspen,
adra,,plow,
ahjo,,"stove, oven",
ahvakko,,perch (fish),
ahvõn,,perch (fish),
aika,,time,
aita,,garden,
ajaa,,to drive,
akkuna,,window,
alkaa,,"to begin, to start",
ammaz,,tooth,
antaa,,to give,
api,,"help, aid",
arina,,hearth,
arja,,brush,
armaz,,"dear, beloved",
assua,,to step,
aukko,,hole,
autši,,pike (fish),
avittaa,,to help,
aźźa,,thing,
baabukaz,,raspberry,
baabuška,,grandmother,
botška,,"barrel, cask",
bruuda,,pond,
dohtari,,doctor,
doro,,acorn,
einä,,hay,
ellä,,"gentle, sensitive",
elmi,,"bead, pearl",
elo,,life,
eloza,,alive,
eläin,,animal,
eläjä,,"inhabitant, human, creature, animal",
elää,,to live,
emintimä,,stepmother,
emä,,mother,
entši,,"soul, individual",
esimein,,first,
esimespäivä,,Monday,
etelä,,southwest,
frovva,,"lady, Mrs.",
gaada,,snake,
guľu,,"(childish) dove, pigeon",
haili,,Baltic herring,
harjokka,,weasel,
haukka,,hawk,
hoonopooli,,devil,
hullu,,"crazy, insane",
iho,,"body, skin",
iili,,"(hot) coal, ember",
iiri,,mouse,
ilma,,"air, weather",
ilozuz,,beauty (quality of pleasing appearance),
ilvez,,lynx,
ime,,miracle,
imeä,,to suck (apply suction),
inehmiin,,human,
inkerilain,,Ingrian person,
isä,,father,
itä,,east,
itšee,,"gum (part of the mouth), (in the plural) gills",
itši,,sweat,
itšä,,age,
ivuz,,"(single) hair, strand of hair",
izintimä,,stepfather,
iľľaa,,"silently, quietly",
jalgaz,,ski,
jalka,,leg,
jarvi,,lake,
javo,,flour,
joomari,,drunkard,
jumala,,god,
jupka,,skirt,
juuri,,root,
juusso,,cheese,
juvva,,to drink,
jämiä,,thick,
jänez,,rabbit,
järvi,,Alternative form of jarvi,
jätaži,,"floor, storey",
jää,,ice,
jäättüä,,"to freeze, to become frozen",
jäävvä,,"to stay, to remain",
jõtši,,river,
jõutu,,strength,
jürü,,thunder,
kaakko,,owl,
kaappi,,"cupboard, cabinet, closet",
kaasi,,This term needs a translation to English. Please help,
kaaska,,"tale, legend",
kaatsad,,pants,
kabja,,hoof,
kagla,,neck,
kagluz,,collar,
kagra,,oat,
kahsi,,two,
kahstõššõmõtta,,twelve,
kahtši,,birch,
kahtšümmettä,,twenty,
kahtšümmettäkahsi,,twenty-two,
kahtšümmettühsi,,twenty-one,
kahõsaa,,eight,
kahõsaatõššõmõtta,,eighteen,
kaittsaa,,to shepherd,
kaivo,,well,
kajaga,,seagull,
kala,,fish,
kalanikka,,fisherman,
kalliz,,"dear, precious, beloved",
kamunista,,communist,
kanava,,"ditch, trench",
kangaz,,"cloth, fabric",
kanta,,heel,
kapussa,,cabbage,
karja,,pasture,
karjušši,,shepherd,
karkõa,,bitter,
karu,,bear,
kassaa,,"to wet, to soak",
kasõ,,dew,
kataga,,juniper,
kattila,,kettle,
katõ,,"cover, coat, cloak, veil, bedspread, blanket, carpet,",
kazvaa,,to grow,
kazvo,,growth,
kaľaska,,carriage,
kańevo,,cannabis,
keräjä,,Alternative form of kerääjä,
kerätä,,to beg,
kerääjä,,beggar,
kirstu,,"chest, coffin",
kittrõõba,,whale,
kiukka,,stove,
klasi,,Alternative form of klazi,
klazi,,glass (material),
koira,,dog,
koivu,,birch (tree),
konna,,frog,
koolla,,to die,
koori,,"bark, skin, peel, rind",
koorma,,"load, burden",
koputtaa,,knock,
kormuna,,pocket,
kotikko,,sack,
koto,,"house, home",
kotti,,"bag, sack",
kramppi,,cramp,
krapu,,crab,
krazguz,,paint,
kreeposti,,fortress,
kreiposti,,Alternative form of kreeposti,
krotta,,mole (animal),
kukko,,rooster,
kukkõ,,rooster,
kukšina,,"mug, jug",
kullaz,,darling,
kumma,,miracle,
kumpa,,"which, what (of two), This term needs a translation",
kunikaz,,king,
kuraz,,knife,
kurtši,,crane (bird),
kurõa,,left,
kusi,,urine,
kuttsua,,"to call, to summon, to invite",
kuu,,"moon, month",
kuulla,,to hear,
kuusi,,six,
kuusi,,spruce,
kuusi,,spruce,
kuustõššõmõtta,,sixteen,
kõlmaispäivä,,Wednesday,
kõlmtõššõmõtta,,thirteen,
kõlmõd,,three,
kõrkõa,,"tall, high",
kõrkõuz,,"height, altitude",
kõrsi,,(botany) stalk,
kõrva,,ear,
kõssõa,,wet,
kõta,,"house, chamber",
kõva,,"hard (not soft), stiff, strong, sturdy, harsh, strict",
laatka,,Alternative form of laatko,
laatko,,bowl,
lahja,,"wedding gift, gift, sacrifice",
lahsi,,child,
lahti,,"bay, gulf",
-lain,,"Forms nouns with the meaning of ""inhabitant"", or agent",
lainõ,,wave,
laiskuz,,laziness,
laiva,,"ship, boat",
lakõa,,flat,
lammaz,,sheep,
lapia,,"shovel, spade",
latši,,ceiling,
laukopäivä,,Saturday,
laulaa,,to sing,
laulaja,,singer,
laulu,,song,
lauta,,"board, plank, table",
lautta,,"shed, stable",
laďďuuz,,width,
leemi,,"soup, broth",
leevvä,,to be going to,
lehmä,,cow,
lehti,,"leaf, newspaper",
lehto,,leaf,
lehtši,,widow,
leipä,,bread,
lentää,,to fly,
lentüz,,airplane,
leppä,,alder,
leütää,,"to find, to discover",
lidna,,"town, city",
liha,,meat,
lintu,,bird,
lukõa,,"to read, to recite",
lumi,,snow,
lupa,,permission,
luu,,bone,
luvva,,"to create, to make, to found, to establish, to throw,",
lähteä,,"to go, to leave, to depart, to exit",
lämmii,,"warm, hot",
lämmittää,,"to warm, to heat",
länsi,,west,
läsia,,be ill,
lõimi,,warp (thread),
löülü,,steam,
lüvvä,,"to hit, to strike, to beat",
maa,,"earth, soil, land, ground, country, countryside",
maailma,,world,
maamuna,,potato,
magata,,"to sleep, to lie down",
mahla,,"sap, juice",
mahsa,,liver,
makõa,,sweet,
meeletoo,,"frenzied, out of one's mind, mad, crazy",
meeli,,mind,
meez,,"man (adult male human being), man, husband",
