L2_orth,L2_ipa,L2_gloss,L2_etym
a,,at,
-a,,"Forming masculine nouns from verbs and nouns, having",
Ååbel,,Aubel (a municipality of Belgium),
abagant,,immigrant,
åbe,,tree,
aberweter,,"to bring, to deliver",
åbricot,,apricot,
actoresse,,female equivalent of acteur (“actor”); actress,
addjectif,,(grammar) adjective,
adjinçna,,layout,
adjondrece,,(grammar) coordinating conjunction,
aduri,,to harden (become hard),
adviebe,,(grammar) adverb,
Afrike,,Africa (a continent),
agnea,,"lamb
Synonym: bedot",
agnon,,onion,
ahavter,,"to tear, to rip",
ahavteure,,"tear, rip",
ahiver,,to create,
aidance,,"help, assistance, aid",
aile,,(anatomy) wing,
aite,,cemetery,
aiwe,,"water, river",
Aiwêye,,Aywaille (a municipality of Belgium),
åjhey,/ɔː.ˈʒɛj/,"easy, Synonym: simpe",
Aldjereye,,Algeria (a country in Africa),
aler,/ale/,to go,
alfabet,,alphabet,
Almagne,,Germany (a country in Europe),
almand,,German (language),
ålouwete,,lark (bird),
ålouwete,,(anatomy) uvula,
ålouwete,,(anatomy) uvula,
aloyrece,,(grammar) subordinating conjunction,
amagnî,,food,
amon,,"(before personal pronouns) to (any specified location),",
ancyin,,"ancient, old",
Anderluwe,,Anderlues (a municipality of Belgium),
Andore,,Andorra (a country in Europe),
anêye,,year,
Anhêye,,Anhée (a municipality of Belgium),
anke,,anchor,
aprinde,,to learn,
arondixhmint,,arrondissement,
årt,,art,
årtisse,,"artist, veterinarian",
aschoûter,,"(intransitive) to listen, (transitive) to listen to,",
aschoûtrece,,stethoscope,
avou,/avu/,with,
Bassindje,,Bassenge (a municipality of Belgium),
Bastogne,,"Bastogne (a city in Luxembourg, Belgium)",
baston,,stick,
bate,,(takes a reflexive pronoun) to fight,
batea,,boat,
bea,,beautiful; handsome; attractive; pretty,
bedot,,"sheep
Synonyms: moton, ovrin",
Beldjike,,Belgium (a country in Europe),
bén,,well,
bénrade,,soon,
berbis,/bɛʀbi/,ewe,
Bernissåt,,Bernissart (a municipality of Belgium),
betchete,,point,
Beurdene,,Burdinne (a municipality of Belgium),
biesse,,animal,
biesse,,stupid,
Bietris,,Bertrix (a municipality of Belgium),
bijhrece,,northern,
bire,,beer,
bladje,/blat͡ʃ/,"pale, pallid",
blame,,"flame
Synonym: flame",
blanc,,white,
blanc,,white,
bodje,,tree trunk,
boere,,to drink,
boke,,(anatomy) mouth,
bon,,good,
bondjoû,,hello,
bontins,,spring (season),
botanike,,botany,
botanike,,botanical,
botaye,,bottle,
bouxhî,,to hit,
bouxhon,,shrub,
boyeas,,guts,
Braezi,,Brazil (a country in South America),
brike,,brick,
brouheur,,"fog
Synonym: brouyård",
broûler,,to burn,
brouyård,,"fog, Synonym: brouheur",
Brudjlete,,Brugelette (a municipality of Belgium),
Bruniau,,Brunehaut (a municipality of Belgium),
Brussele,,Brussels (the capital city of Belgium),
Bucaresse,,Bucharest (the capital city of Romania),
Budapesse,,Budapest (the capital city of Hungary),
Bulgåreye,,Bulgaria (a country in Europe),
bwès,,forest,
cabu,,cabbage,
Californeye,,California (a state of the United States),
caligrafeye,,calligraphy,
calindrî,,calendar,
Cambodje,,Cambodia (a country in Asia),
canada,,potato,
candjî,,"to change, to edit",
candjmint,,"change, edit",
caracole,,snail,
carbone,,carbon (chemical element),
Cargnon,,Quaregnon (a municipality of Belgium),
carote,,"carrot, Synonym: raecene",
carote,,"deception, subterfuge, subtlety",
carote,,"deception, subterfuge, subtlety",
categoreye,,category,
catoize,,fourteen,
cåve,,cellar,
cawe,,tail,
cawete,,cuff,
cåzaedje,,"conversation, discussion",
céncwante,,fifty,
cénk,,five,
ceréjhe,,cherry,
cérudjin,,surgeon,
chal,,here,
chedda,,shadda,
chife,,digit (mathematics),
Chine,,China (a country in Asia),
Chîpe,,Cyprus (a country in Europe),
ci,,"this, Ci rotchThis rock, C' est ç' rotch-ciIt's this",
ci,,"it, this, Ci m' fwait måIt hurts me, C' est on omeIt",
cial,,here,
cinde,,ash,
cindrén,,"apron
Synonym: vantrin",
Cînè,,Ciney (a municipality of Belgium),
cinse,,farm,
cinsî,,farmer,
cint,,hundred,
cintrå,,central,
cir,,sky,
classe,,(taxonomy) class,
Clavir,,Clavier (a municipality of Belgium),
clawson,,clove (spice),
cnoxhe,,Alternative form of kinoxhe,
côde,,code,
codjowa,,(grammar) conjugated form,
coide,,rope,
coine,,horn,
coir,,body,
Colfontinne,,Colfontaine (a municipality of Belgium),
comis,,clerk,
conoxhe,,Alternative form of kinoxhe,
contåve,,countable,
conter,,to count,
contrêye,,(geography) area,
côp,,time (instance of an event),
côpant,,present participle of côper,
côpant,,sharp,
copene,,discussion,
Copenhågue,,Copenhagen (the capital city of Denmark),
copete,/kɔpɛt/,"top, summit, peak, small cup",
copiutrece,,computer,
copixhe,,"ant
Synonym: frumijhe",
coplemint,,(grammar) object,
copyî,,to copy,
Corêye,,Korea (a country in Asia),
côrî,,hazelnut tree (Corylus avellana),
cossoune,,(linguistics) consonant,
coujhene,/kuːʒɛn/,"kitchen, cuisine",
coûkî,,"to lie (in a bed, etc.)",
couler,,to flow,
cour,,(anatomy) heart,
court,,short,
cråxhe,,fat,
cråxhî,,butcher,
creyance,,belief,
crinme,,cream,
croejhete,,grammar,
crole,/kʀɔl/,"(of hair) curl, loop, (in card games) in ""couyon"",",
crolé,,past participle of croler,
crolé,,"(of hair) curly., (of a person) curly-haired.",
crolé,,"curly-haired boy, man., (pleasantly) darling., (vocative",
cronzoxh,,vertebra,
crosse,/kʀɔs/,crust (outer layer of bread and pastry).,
crosse,/kʀɔs/,"crook, crosier., crutch., butt.",
crosse,/kʀɔs/,"crook, crosier., crutch., butt.",
Crowaceye,,Croatia (a country in Europe),
Crowåceye,,Alternative form of Crowaceye,
Crusnêye,,Crisnée (a municipality of Belgium),
cû,,cooked,
cwand,,when,
cwarante,,forty,
cwate,,four,
cwè,,what,
cwénze,,fifteen,
cweri,,"to seek, to search",
daegn,,earth,
daegnotele,,internet,
Daenmåtche,,Denmark (a country in Europe),
daenwès,,Danish (language),
Dålem,,Dalhem (a municipality of Belgium),
Danube,,Danube (a river in Europe),
dater,,"to date, to add a date to something",
Dåvdisse,,Daverdisse (a municipality of Belgium),
decimbe,,December,
deus,,two,
di-set,,seventeen,
diale,,devil,
diâle,,Alternative form of diale,
Diè,,God,
dijh,/diʒ/,ten,
dijh-nouv,,nineteen,
dijhêye,,"(language) saying, phrase, idiom",
dimegne,,Sunday,
diner,,Alternative form of dner,
dinrêye,,cereal (plant),
dins,,"in, inside, among, within (a definite group)",
dint,,(anatomy) tooth,
dire,,to say,
discovraedje,,discovery,
discovri,,to discover,
discrire,,to describe,
disfacer,,to delete,
diski,/diski/,"(time) until, till, (space) to, up to",
dislaxhaedje,,"(politics) independence, sovereignty",
dislaxhî,,sovereign,
dispierter,,"to awake (to gain consciousness), to awaken someone",
dissu,,on top of,
diswijhî,,dull (as a knife),
divancete,,(grammar) preposition,
divant,,before,
divant,,front,
divoirçaedje,,divorce,
djaene,,yellow,
djaene,,yellow,
djaeni,,to become yellow,
djaler,,to freeze,
Djalhé,,Jalhay (a municipality of Belgium),
Djamayike,,Jamaica (a country in North America),
djambe,,(anatomy) leg,
djanvî,,January,
Djapon,,Japan (a country in Asia),
djaponès,,Japanese (language),
djåzer,,"to speak, talk",
Djedene,,Gedinne (a municipality of Belgium),
djermale,,twin,
Djerpene,,Gerpinnes (a municipality of Belgium),
djeu,,game,
djeu,,yoke,
djeu,,yoke,
Djeve,,Gesves (a municipality of Belgium),
djeyografe,,geographer,
djeyografeye,,geography,
Djeyordjeye,,Georgia (a country in Europe and Asia),
dji,,I,
Djiblou,,Gembloux (a municipality of Belgium),
djin,,human being,
djino,,Alternative form of djno,
djinre,,(grammar) gender,
Djivet,,Givet (a city in France),
djivêye,,row (line of objects),
djno,,(anatomy) knee,
djonne,,young,
djonne,,"youth, a young person, chick (young bird)",
Djordaneye,,Jordan (a country in Asia),
djote,,cabbage,
djoû,,day,
Djouprele,,Juprelle (a municipality of Belgium),
djouwer,,to play,
djudi,,Thursday,
djulete,,July,
djun,,June,
Djurbize,,Jurbise (a municipality of Belgium),
djusse,,correct,
dner,,to give,
doirmi,,to sleep,
Doncél,,Donceel (a municipality of Belgium),
dos,,(anatomy) back,
doûs,,smooth,
doze,,twelve,
drapea,,flag,
dringuele,,tip,
droci,,here,
droet,,straight,
droete,,right (direction),
Dweche,,Doische (a municipality of Belgium),
Dwero,,Douro (a river in Europe),
eberweter,,(computing) to upload,
eciclopedeye,,encyclopedia,
ecoxhmint,,(taxonomy) phylum,
ecwårlaedje,,"financing, funding",
Ecwåteur,,Ecuador (a country in South America),
Edjipe,,Egypt (a country in Africa and Asia),
edvincion,,invention,
efant,,child,
eglijhe,,church,
egzimpe,,example,
elodjaedje,,(computing) username,
éndjole,,device,
epweznant,,toxic,
Erezêye,,Érezée (a municipality of Belgium),
eriråcion,,"retardation, backwardness, alienation",
erirece,,posterior,
erirece,,past tense,
Eritrêye,,Eritrea (a country in Africa),
Erkelene,,Erquelinnes (a municipality of Belgium),
esbåtche,,draft (preliminary work),
Escô,,Scheldt (a river in Europe),
Eslovakeye,,Slovakia (a country in Europe),
Esloveneye,,Slovenia (a country in Europe),
Esneu,,Esneux (a municipality of Belgium),
espagnol,,Spanish (language),
esse,/ɛs/,to be,
esté,,summer,
Estoneye,,Estonia (a country in Europe),
estonyin,,Estonian (language),
et,,and,
Etåle,,Étalle (a municipality of Belgium),
eterlingwa,,Interlingua (language),
eternåcionå,,international,
Etiopeye,,Ethiopia (a country in Africa),
etrevén,,"occasion, event",
-eure,,Used to form verbal nouns.,
eure,,hour,
ewaera,,scarecrow,
ewaerer,,"to scare, to frighten",
ewalper,,"to cover, to envelop",
eyet,,and,
f.,,Abbreviation of femrin.,
faeroyès,,Faroese (language),
Faime,,Faimes (a municipality of Belgium),
Faiviè,,Fauvillers (a municipality of Belgium),
fameus,,famous,
famile,,family,
Fårcene,,Farciennes (a municipality of Belgium),
fé,,"to do, to make",
feme,,"woman, wife",
femrin,,female,
feu,,fire,
fevrî,,February,
feye,,daughter,
Fidji,,Fiji (a country in Oceania),
fier,/fjɛːʀ/,iron,
fiesse,,feast,
fiestixheu,,partygoer,
fijhaedje,,manufacturing,
fijheu,,"maker, manufacturer",
filozofe,,philosopher,
fime,,film,
finiesse,,window,
Finlande,,Finland (a country in Europe),
finwès,,Finnish (language),
five,/fiːf/,"fever, delirium",
fiyåsse,,stepson,
flame,,"flame
Synonym: blame",
flamter,,"to mumble, to jabber, to garble",
Flande,,Wallonia,
flåwe,,weak,
Flémåle,,Flémalle (a municipality of Belgium),
fleur,,(botany) flower,
Fleuru,,Fleurus (a municipality of Belgium),
fleuve,,river,
Florefe,,Floreffe (a municipality of Belgium),
flotche,,loop,
floter,,to float (rest upon liquid without sinking),floter
fluworôze,,(medicine) fluorosis,
foete,,(anatomy) liver,
foice,,"strength, force",
fonetike,,phonetic,
for,,oven,
foumire,,smoke,
foye,,(botany) leaf,
Framriye,,Frameries (a municipality of Belgium),
francès,,French (language),
fråze,,(linguistics) sentence,
frexh,/fʀɛç/,"wet, (meat, cream) fresh",
froed,,cold,
froumadje,,cheese,
froyî,,to rub,
frumele,,female,
frumele,,"(zoology, botany) female",
frumijhe,,"ant
Synonym: copixhe",
frut,,fruit,
gade,,"goat (species), goat (female animal), female of roebuck,",*gaits
galicyin,,Galician (language),
gazete,,newspaper,
glaece,,ice,
Gouvi,,Gouvy (a municipality of Belgium),
gozî,,(anatomy) neck,
grand,,"large, big",
grandeur,,size,
Grece,,Greece (a country in Europe),
gregne,,barn (building),
Grenåde,,Grenada (a country in North America),
greter,,to scratch,grater
grinne,,seed,
guere,,war,
gueuye,,"(anatomy, of an animal) snout, face; mouth",
Guinêye,,Guinea (a country in Africa),
Habâ,,Habay (a municipality of Belgium),
hagnî,,"to bite, to sting",
halene,,worm,
hamea,,hamlet,
Hamwè,,Hamois (a municipality of Belgium),
Hamwer,,Hamoir (a municipality of Belgium),
Hardenne,,Ardennes,
hårdêye,,"cord, rope",
hatrea,,(anatomy) neck,
hawayin,,Hawaiian (language),
hay,/haj/,"go, let us go",
Hinnot,,Hainaut (a province of Belgium),
hintche,,left (direction),
Hongreye,,Hungary (a country in Europe),
hongrwès,,Hungarian (language),
Houyet,,Houyet (a municipality of Belgium),
hoye,,coal,
-î,,Indicates a person who does (as a profession) the action described by the root word. Roughly equivalent to English -er.,
idrodjinne,,hydrogen (chemical element),
indje,,(taxonomy) species,
Indji,,Engis (a municipality of Belgium),
indonesyin,,Indonesian (language),
industreye,,industry,
inglès,,English (language),
inmer,,"to love
Synonym: vey voltî",
Irlande,,Ireland (a country in Europe),
Israyel,,Israel (a country in Asia),
itålyin,,Italian (language),
ivier,,winter (season),
iye,,island,
jate,,cup,
Kebek,,Quebec (a province of Canada),
kenler,,waiter,
keuze,,to sew,
kî,,"who (interrogative pronoun, subject, possibly being",
Kievrin,,Quiévrain (a municipality of Belgium),
kinoxhe,,"to know, to be familiar with",
Kirgiztan,,Kyrgyzstan (a country in Asia),
Kuweyt,,Kuwait (a country in Asia),
la,,there,
lådje,,wide,
lak,,"lake, Synonym: laetche",
latén,,Latin (language),
låvå,,there,
Lawosse,,Laos (a country in Asia),
lére,,to read,
li,,"the
Li mwaisse ― The master
Li maistrece ― The mistress
L' ome ― The man
C' est li l' mwaisse ― He is the master
Les måjhons ― The houses
Les omes ― The men
Çou sont ls åtes tchesteas ― These are the other castles",
li,,"him, her, it (direct object, before verb)
C' est li l' mwaisse ― It's him who's the master",
libe,,"free, liberated",
Lîchtensteyn,,Liechtenstein (a country in Europe),
licince,,license,
Lidje,,Liege (a province of Belgium),
Lierneu,,Lierneux (a municipality of Belgium),
Limbôr,,Limbourg (a city in Belgium),
lingaedje,,language,
linwe,,(anatomy) tongue,
linwince,,linguistics,
linwincieus,,linguist,
linwincieuse,,linguist (female),
lisse,,"smooth, Synonym: doûs",
lisse,,"list, Synonym: djivêye",
lisse,,"list, Synonym: djivêye",
Lissene,,Lessines (a municipality of Belgium),
Lîssin,,Lincent (a municipality of Belgium),
litaneye,,litany,
Litwaneye,,Lithuania (a country in Europe),
litwanyin,,Lithuanian (language),
Lompré,/lɔ̃pʀe/,"Name of two villages and one hamlet in Wallonia., village",
lon,,far,
lon-parint,,distant relative,
Londe,,London (the capital city of the United Kingdom),
londi,,Monday,
lotchet,/lɔt͡ʃɛ/,"lock (tuft of hair)., goatee.",
loumire,,light,
loyî,,to tie,
lussimbordjwès,,Luxembourgish (language),
lyi,/lji/,"him (indirect object), Djan ? Oyi, dji lyi a dit l'",
må,,"badly, poorly",
magnî,,to eat,
måjhon,,house,
maladeye,,"disease, illness",
Malaizeye,,Malaysia (a country in Asia),
malayalam,,Malayalam,
mannet,,"dirty, Synonym: måssî",
manni,,"(transitive) to soil, to make dirty",
mannixhaedje,,"stain, soiling, defilement, pollution
Synonym: anichtaedje",
manoye,,currency,
Mårcin,,Marchin (a municipality of Belgium),
mårdi,,Tuesday,
mariaedje,,marriage (wedding),
Marok,,Morocco (a country in Africa),
mårtcheu,,"walker, hiker",
mårtea,,hammer,
mascaråde,,"masquerade, carnival",
måss,,March,
måssî,,"dirty, Synonym: mannet",
matante,,aunt,
måtche,,march (border region),
måtche,,march (dignified way of walking),
måtche,,march (dignified way of walking),
måva,,bad,
may,,May (month),
måye,,male,
måye,,"(zoology, botany) male",
Mecsike,,Mexico (a country in North America),
medcén,,physician,
mer,,sea,
mestî,,"job, profession",
mete,,to put,
Metet,,Mettet (a municipality of Belgium),
meteyo,,weather,
meur,,wall,
mexhner,,to gather,
mierkidi,,Wednesday,
milet,,millet,
-mint,,Added to adjectives to form adverbs.,
minte,,"lie, joke, Synonym: fåve",
minte,,(botany) mint,
minte,,(botany) mint,
Modåve,,Modave (a municipality of Belgium),
modele,,"template, model",
moes,,month,
mofe,,mitten,
moirt,,dead,
Momgniye,,Momignies (a municipality of Belgium),
monde,,world,
Mongoleye,,Mongolia (a country in Asia),
mononke,,uncle,
Mont,,Mons (a city in Belgium),
montinne,,mountain,
mori,,to die,
Moritanreye,,Mauritania (a country in Africa),
motî,,dictionary,
mousseure,,"garment, item of clothing",
mouze,,river,
Mouze,,Meuse (a river in Europe),
moxhe,,"fly (insect), bee",
moxhon,,bird,
moyén,,means,
munujhî,,carpenter,
muroe,,mirror,
mwais,,bad,
mwaisse,,master,
mwaisse,,"main, primary",
