L2_orth,L2_ipa,L2_gloss,L2_etym
あがり,,"東: east, eastern, eastward, in the east",
東,/ʔaɡaɾi/,east,
あみ,,雨: rain,
雨,,rain,
瓜,,"cucumber, gourd",
蟹,,crab,
かんだん,,甘藍: cabbage,
甘藍,,cabbage,
がん,,蟹: crab,
黒さん,,black,
しだび,/ɕidabi/,"older brother, older sister, senior",
しな,,砂: sand,
砂,,sand,
ちぶる,,頭: head; an intelligent person,
頭,,"head, an intelligent person",
っゆー,,魚: fish,
魚,,fish,
天道,,(astronomy) the sun,
長雨,/naɡami/,rainy season,
霖,,Alternative form of 長雨 (“rainy season”),
葫,,Alternative form of 蒜,
蒜,,garlic,
ぴる,,"蒜, 葫: garlic",
ふなぐ,,女子: woman,
女子,[ɸunaɡu],"girl, woman",
みじ,,水: water,
水,,water,
みゃんか,,猫: cat,
猫,,cat,
山,,mountain,
我達,,"we, us, ourselves",
をぅいが,,男: man,
男,,man,
をぅなぐ,,女子: woman,
