L2_orth,L2_ipa,L2_gloss,L2_etym
aago,,Alternative form of agogo,
aarọ,,morning,
aarun-un,/āá.ɾũ̀ṹ/,five (used when counting),
aayan,,cockroach,
aayan,,"effort, perseverance",
aayan,,"A type of Yoruba tree that is sacred, it is known for",
aayan,,"effort, perseverance",
aayan,,"A type of Yoruba tree that is sacred, it is known for",
aayan,,"A type of Yoruba tree that is sacred, it is known for",
Abẹokuta,,Abeokuta (a city in Nigeria),
abi,,or,
abilekọ,,"married woman living with her husband; wife[1], Synonym:",
Abuja,/à.bú.d͡ʒá/,Abuja (the capital city of Nigeria),Abuja
aburo,,younger sibling,
adaba,,dove; (in particular) red-eyed dove,
Adebayọ,,"A male given name., A  surname​.",
adiẹ,/ā.dì.ɛ̄/,chicken,
aditi,,deaf person,
Ado,,Benin City (a city in Nigeria),
adura,,prayer,
afara,,"afara, limba (Terminalia superba)",
afara,,bridge,
afara,,bridge,
Afirika,,Africa (continent),Africa
afojusun,,"fixed gaze, target, goal, objective, aim",
Afrika,,Alternative form of Afíríkà,
agogo,,"bell, clock, timepiece",
agunfọn,/à.ɡũ̀.fɔ̃̀/,giraffe,
aguntan,,Alternative form of àgùtàn,
agutan,,sheep,
agbada,,agbada (robe worn by men in West Africa),
agbada,,"pan, frying pan",
agbada,,"pan, frying pan",
agbado,/à.ɡ͡bà.dō/,"maize, corn
Synonym: ọkà",
agbako,/à.ɡ͡bá.kò/,"accident, misfortune, mishap
Synonym: mùsííbà
Synonym: àjálù",
agbanrere,/à.ɡ͡bá.ŋ̀.ɾé.ɾé/,"rhinoceros, also the nickname for a mythical one-horned antelope similar to a unicorn",
agbayun,,miracle berry,
agbo,,ram,
agbo,,"crowd, herd",
agbo,,herbal remedy,
agbọn,,"wasp, petulant person",
agbọn,,one who is wise or intelligent,
agbọn,,basket,
agbọn,,"one that shakes, shivers, or trembles",
agbọn,,coconut,
agbọn,,chin,
agbọn,,one who is wise or intelligent,
agbọn,,basket,
agbọn,,"one that shakes, shivers, or trembles",
agbọn,,coconut,
agbọn,,chin,
agbọn,,basket,
agbọn,,"one that shakes, shivers, or trembles",
agbọn,,coconut,
agbọn,,chin,
agbọn,,"one that shakes, shivers, or trembles",
agbọn,,coconut,
agbọn,,chin,
agbọn,,coconut,
agbọn,,chin,
agbọn,,chin,
agbọnrin,,gazelle; (in particular) red-fronted gazelle (Eudorcas rufifrons),
agbọrin,,Alternative form of àgbọ̀nrín,
ahun,,"itching, something or someone that itches",
