L2_orth,L2_ipa,L2_gloss,L2_etym
aati,,"person, human being, American Indian",
aatiibi,,murderer,
aatikànko,,enemy,
aissi,,medicine (treatment which promotes healing),
akaaka,,chicken,
ana,,me,
ano,,I,
assikchìlpa,,turnip greens,
ayokpa,,"to be happy, glad",
ayokpa,,happy,
biya,,beer,beer
chahta,,Choctaw,
chassi,,corn,
chisnooli,,(possessive) yours,
chokfi,,rabbit,
choksi,,pumpkin,
chola,,fox,
chonoska,,heart,
chooskani,,duck,
finika,,vinegar,vinegar
foho,,honey bee,
haalo,,to hear,
hanakbootoklo,,rainbow,
hasi,,"sun, daylight, month, day",
hinakahli,,to wait,
hipli,,snow,
holba,,"art, any image",
holba,,to create an image,
how,,yes,
hòmma,,red,
ibi,,to kill,
ilbi,,hand,
ilbipakófka,,"the underside of the wrist, by extension, wrist",
ilbistalsiha,,handcuffs,
ilokfa,,"clothing, shirt",
ilpa,,food,
ilpa,,"to eat, Synonym: ipa",
innaani,,husband,
ipa,,"to eat, Synonym: ilpa",
isbakko,,forehead,
iskanpatha,,cockroach,
istila,,to bring,
istimila,,"to bring to, to carry to",
istimilhaalo,,ear,
ittilbachoba,,war,
itto,,"tree, wood",
kaskaha,,"tart, sour",
kasooma,,onion,
kowi,,"big, wild/undomesticated cat (panther, etc)",
kowi,,mile (modern unit of measurement),
kowi,,mile (modern unit of measurement),
laana,,brown,
mobìlka,,car,automobile
naani,,man,
nihtahollosi,,Saturday,
okchakko,,"blue, green, purple",
okchi,,"soup, juice",
oki,,water,
okiimi,,whiskey,
oofa,,to sew,
ootoba,,to dream,
-osi,,"a diminutive suffix, ‎satani + ‎-osi → ‎satanosi",
satani,,tick (arachnid),
satanosi,,seed tick,
takkola,,peach (fruit),
talkoosa,,knife,
tasihmo,,"funny, amusing",
tayyi,,woman,
wancholaski,,chiggers,
yalàaha,,orange (fruit and color),
yamá,,yes,
ɬaki,,lead,
ɬikònɬa,,hummingbird,
