L2_orth,L2_ipa,L2_gloss,L2_etym
bedǔstar,,"beaver (Castor fiber), 1505,  Pedro de Alcalá,  Vocabulista",
chǐrba,,"doe (female deer), 1505,  Pedro de Alcalá,  Vocabulista",
portocǎli,,"Portuguese, 1505,  Pedro de Alcalá,  Vocabulista arauigo",
ubriquǐn,,"a kind of small-caliber hand culverin, 1505,  Pedro",
çǔmri,,"azumbre (an obsolete unit of measure), 1505,  Pedro",
ارصبشب,,"archbishop, 1505,  Pedro de Alcalá,  Vocabulista arauigo",
اشفقلاطور,,"observer, eyewitness",
ديسوس,,"spy, stooge",
روز,,rice,
شهنشاه,,"shahanshah, king of kings",
قرة,/qura/,"graft, scion that is transplanted",
قطن,,cotton,
ما,,water,
