L2_orth,L2_ipa,L2_gloss,L2_etym
a,,"the, a luenga aragonesa ― the Aragonese language",
ababol,,a flower of the red poppy (Papaver rhoeas),
abadexo,,codfish,
abaratar,,to cheapen,
abarca,,sandal,
abarcar,,to dodge,
abarnizar,,to varnish,
abella,,bee,
abentar,,(transitive) to throw,
aber,,to have,
abet,,fir-tree,
abetullo,,"the birch, a tree in the genus Betula",
abiento,,December,
Abkhasia,,Abkhazia (a country in Europe),
abril,,April,
absolver,,(transitive) to absolve,
abstracto,,abstract,
acaballar,,(transitive) to superimpose,
accentuar,,to accent (to mark with written accents),
achiperres,/a.t͡ʃi.ˈpe.res/,"tools and equipment used for a particular activity,",
achuda,,help,
achudar,,to help,
acobaltar,,(transitive) to exalt,
acobardir,,(transitive) to frighten,
acochillar,,(transitive) to cut,
acompañar,,(transitive) to accompany,
aconseguir,,(transitive) to succeed in,
acordión,,accordion,
adchectivo,,adjective,
adiar,,"(transitive) to put off, postpone",
adibir,,"(transitive) to add (more), (transitive) to add to,",
adiós,,goodbye,ad Deum
adomar,,(transitive) to tame,
adormir,,"(transitive) to make fall asleep, (reflexive) to fall",
adubir,,to cope,
aduyar,,to help,
agora,,now,
agosto,,August,
agro,,sour,
agulla,,needle,
ahier,,yesterday,
albaca,,basil,
Albania,,Albania (a country in Europe),
alberchena,,eggplant,
albero,,"esophagus, trachea",
alcol,,alcohol,
alegría,,joy,
Alemanya,,Germany,
algorismo,,algorithm,
allo,,garlic,
altaria,,altitude,
amallatar,/a.ma.ʎa.ˈta(ɾ)/,"(of cattle) to rest in the shade when it is too hot
2009, José Maria Satué Sanromán, Zien semanas de carasol aragonés, EDACAR, page 14:
En os caxicars d’os solanos se feban as buerdas, p’amallatar os casalizos (rabaño chicote de reses que no baxa enta Tierra Baxa), en parte de l’ibierno.
In the oak woods in the sunny sides of mountains, barns were built so that the casalizos (small herds of cattle that don’t descend to the Lowland) could rest, during part of winter.",
amillorar,,to improve,
anatomía,,anatomy,
anca,,hip,
Andorra,,"Andorra (a country in Europe)
November-December 2010, Fuellas d’informazión d’o Consello d’a Fabla Aragonesa, 200th edition, page 4:
A Comunidá de Treballo d’os Perinés (CTP, que arrocla á os gubiernos d’Andorra, Aquitania, Aragón, Cataluña, Luengadoc-Rosellón, Meyodía-Perinés, Nabarra e País Basco) treballa en zinco luengas pirinencas: franzés, español, catalán, basco e oczitano (que ni sisquiera ye reconoxito por o Estau franzés).
The Pyrenean Work Community (PWC, which consists of the governments of Andorra, Aquitaine, Aragón, Catalonia, Languedoc-Roussillon, Midi-Pyrénées, Navarre and the Basque Country) works in five Pyrenean languages: French, Spanish, Catalan, Basque and Occitan (which isn’t even recognised by the French state).",
anglo,,angle,
anglés,,English (language),
