L2_orth,L2_ipa,L2_gloss,L2_etym
aiŋ,,we (first-person plural subjective),
aj,,"I (first-person singular subjective), Synonym: ä",
aja,,a pine tree,
ajame,,mother,
amä,,mother,
an,,haunch,
anči-gɨtpuju,,forget (first-person singular simple present tense),
anɨpänun,,think (first-person present tense),
atɨ,,soon,
au,,you (second-person singular subjective),
bar-oje,,rotten,
biqam-álte,,Alternative form of bɨqam-álte (“wife”),
bɨqam-álte,,"wife, Synonym: kekm-elte",
b́aḿa,,mother,
ege,,six,
ejtol,,door,
ejt́ol,,door,
elep,,tongue,
eol,,field,
es,,"God, sky",
eš,,"God, sky",
itel,,door,
iŋni,,today,
kekm-elte,,wife,
kul,,water,
pentu,,hotness,
áqodoŋ,,sleep (first-person present tense),
áĺap,,tongue,
ä,,I (first-person singular subjective),
éjtōl,,door,
éjt́ōl,,door,
ög-thūŋ,,sixty,
ögga,,six,
ɨga,,"six, Synonyms: ege, ögga",
