L2_orth,L2_ipa,L2_gloss,L2_etym
abu,,ash (solid remains of a fire),
acuʼ,,dog (animal),
anak,,"child (a female or male child, a daughter or son)",
apuy,,fire (oxidation reaction),
atai,,liver (organ of the body),
ba,,water (clear liquid H₂O),
belacek,,door (portal of entry into a building or room),
bulan,,"moon (largest natural satellite of planet Earth), moon",
celevut,,wind (movement of air),
cungai,,river (large stream which drains a landmass),
ima',,rain (condensed water from a cloud),
kepo,,wind (movement of air),
lakat,,root (of plant),
pat,,four,
pu'an,,squirrel (rodent),
sungi,,river (large stream which drains a landmass),
suŋay,,water,
talibicen,,television (medium),television
tangup,,roof (that which covers the top of a building),
uvi',,yam (any Dioscorea vine),
