L2_orth,L2_ipa,L2_gloss,L2_etym
cipsx,,a fisher,
cq̓,[t͡sʰqʼ],to tear (to rend),
c̓ktc,[t͡sʼcʰtʰt͡sʰ],to get there,
c̓s,[t͡sʼs],loud,
c̓x̣ʷ,[t͡sʼχʷ],white,
c̓x̣ʷł,[t͡sʼχʷɬ],true,
kłx,,to be or remain awake,
kʷs,[kʷʰs],rough,
k̓p,,to cut with scissors,
k̓x,[kʼxʲ],to see,
mackin,,a fish heart; the heart of a fish,
mux̣ʷłt,,to cry out huyp (a cry cried out at dances),
płt,[pʰɬtʰ],thick,
p̓x,[pʼxʲ],crabapple,
p̓x̣ʷłt,[pʼχʷɬt(ʰ)],bunchberry,
p̓x̣ʷłtłp,[pʼχʷɬtʰɬp(ʰ)],bunchberry plant,
qs,[qʰs],to pull,
qʷt,[qʷʰtʰ],crooked,
q̓pst,[qʼpʰstʰ],to taste,
q̓s,[qʼs],tight,
sc̓q,[st͡sʼqʰ],animal fat,
sps,[spʰs],northeast wind,
sqc̓,[sqʰt͡sʼ],sand,
sq̓,[sqʼ],wound,
sq̓ʷ,[sqʼʷ],to jump,
stp,[stʰpʰ],birthmark,
st̓s,[stʼs],salt,
sutk,,winter,
sx,[sʲxʲ],bad,
sxs,[sxʲs],seal fat,
Sx̣ints,,"A hermaphroditic figure in Nuxálk mythology who resides in the land above, guards the daughters of various supernatural beings, and is the prototype of Nuxálk ""two-spirits"".",
tixca,,tongue,
tq̓,[tʰqʼ],to go to the shore,
tł,[tʰɬ],strong,
t̓x̣t,[tʼχtʰ],stone,
xłp̓x̣ʷłtłpłłs,[xɬpʼχʷɬtʰɬpʰɬːs],he had had in his possession a bunchberry plant,
xłp̓x̣ʷłtłpłłskʷc̓,[xɬpʼχʷɬtʰɬpʰɬːskʷʰt͡sʼ],he had had in his possession a bunchberry plant,
x̣s,[χs],fat,
čk̓łp,[t͡sʲcʼɬpʰ],(anatomy) rib,
łk̓ʷ,[ɬkʼʷ],big,
łq,[ɬqʰ],wet,
-łł,,indicates the pluperfect,
łʼp,[ɬʼpʰ],to cut with scissors,
łʼł,[ɬʼɬ],dry,
šk̓x,[sʲcʼxʲ],black,
šk̓ʷ,[sʲkʼʷ],to undo,
ʔasqa,,be outside,
