L2_orth,L2_ipa,L2_gloss,L2_etym
aw,,"Latin spelling of ئاو‎ (aw, “water”)",
awî,,"Latin spelling of ئاوی‎ (awî, “blue”)",
binewşe,,"Latin spelling of بنەوشە‎ (binewşe, “violet (plant)”)",
ferensawî,,French,
ferensawî,,French language,
kat,,time,
kewe,,blue,
key,,when,
sard,,cold,
sew,,apple,
zerd,,"(Hewrami, Laki, Sorani, Zazaki) yellow",
řeş,,black,
؟,,"the Central Kurdish question mark
‏چۆنیت؟‎‎ ― çonît? ― How are you?",
ئا,,(informal) yes,
ئادەم,,Adam (first man in the Bible and Qur’an),
ئارام,,"calm, patient",
ئارد,,flour,
ئازاد,,"free, independent",
ئازادی,,freedom (the lack of a specific constraint),
ئازار,,"annoyance, bother",
ئاشتی,,peace,
ئافرەت,,woman,
ئال,[al],middle finger,
ئاو,,water,
ئاور,,fire,
ئاوی,,blue,
ئاپارتمان,,"apartment, flat",
ئاگر,,fire,
ئاگردان,,fireplace,
ئایا,,initial interrogative particle,
ئۆھایۆ,,Ohio,
ئێران,,Iran (a country in Western Asia),
ئێرانی,,Iranian,
ئێرانی,,Iranian,
ئێرە,,here,
ئێمە,,we,
ئێوە,,you (plural),
ئەجزاخانە,,pharmacy (a place where prescription drugs are dispensed),
ئەحمەد,/aħmad/,"A male given name from Arabic, equivalent to English",
ئەرخەوانی,,purple,
ئەرمەن,,Armenian (people),
ئەرمەنی,,Armenian (people),
ئەستێرە,,star,
ئەمریکا,,America,
ئەو,/aw/,"he, she, that",
ئەوان,[aˈwaːn],they,
ئەوین,,love,
ب,,The second letter of the Kurdo-Arabic alphabet. Its name is با‎ (ba) and it has the sound of English b. It is preceded by ا‎ (a) and followed by پ‎ (pi). Equivalent to b in the Kurdo-Latin alphabet.,
باخچە,,garden (gardens with public access),
بادەم,,almond (nut),
بۆن,,"smell, odor, fragrance",
بیرە,,beer,
بە,,"to, ‏ئەرزی بە پاشا کرد لە شتێک‎‎Erzî be paşa kird le",
بەردەستێ,,flint,
بەرز,,high (elevated),
بەش,,part (fraction of a whole),
بەفر,/bæfɾ/,snow,
بەڕوو,,"acorn, oak tree",
تاوستان,,summer,
تر,/tɪɾ/,A suffix forming the comparative degree of an adjective.,
ترێ,,"grape, Synonym: ھەنگوور‎ (hengûr)",
تۆ,,you,
جووتێر,,Alternative form of جووتیار‎ (cûtyar),
خاچ,,cross,
خوێ,,salt,
خۆڵەمێشی,/xoːɫameːʃiː/,grey/gray,
خەست,,"thick, viscous, syrupy (of liquid), strong (of tea,",
خەو,,sleep,
دا,,an element of several circumpositions,
دا,,"combines with several verbs, usually as “off” or “down”",
داد,,justice (state of being just or fair),
دار,,"tree, wood (substance, timber), stick, staff, rod",
دارچین,,cinnamon,
دان,,to give,
دانشگا,,"(regional, Iran) university",
دنیا,,"world, Synonym: جیھان‎ (cîhan)",
دوانزە,/d(ə)waːnza/,twelve; 12,
دوو,/duː/,two; 2,
دووشەممە,,Monday,
دۆ,,"doogh, airan",
دۆست,,friend,
دیسان,,"again, once more",
دێ,,village,
دە,/da/,ten; 10,
دەرد,,pain,
دەرزی,,needle (implement for sewing etc.),
دەرمانخانە,,pharmacy (a place where prescription drugs are dispensed),
دەرگا,/darɡaː/,door,
دەست,,(anatomy) hand,
دەفتەر,,notebook,
دەنگ,,sound,
دەور,,"era, time, role (character or part)",
رووداو,,Alternative spelling of ڕووداو‎ (rûdaw),
رێوی,,Alternative spelling of ڕێوی‎ (rêwî),
زانستگا,,university,
زانستگە,/zaːnəstɡa/,university,
زانکۆ,,college,
زانین,,to know (be certain or sure about (something)),
زاوە,,Mercury (planet),
زستان,,winter,
