L2_orth,L2_ipa,L2_gloss,L2_etym
aca,,"someone, somebody.",
acachatl,,locust.,
acah,,"someone, somebody.",
acahuilli,,shadow.,
acalaxtlahuilli,,freight.,
acalli,/aːˈka.lːi/,"(Amecameca, Cholula and Milpa Alta) ship, canoe., stilt",
acalpainaliztli,,(Amecameca) boating.,
acaltetepontli,,Mexican beaded lizard.,
acapahtli,,laurel.,
acatl,[aːkatɬ],"(Amecameca, Cholula and Milpa Alta): reed, cane",
acatzahuitli,,orchid.,
acatzanatl,,acazanate.,
acayotl,/aːkajoːtɬ/,piping.,
acelana,,to delouse,
acelli,,nit.,
achapantli,,leak,
achic,,(Amecameca) shortly,
achichil,,(Tlaxcala): reddish water.,
achilkostik,,(Tlaxcala): mamey color.,
achitonca,,(Amecameca) one moment,
achitsi,,a little bit.,
achitzin,,a little bit.,
acholotl,,(Texcoco and Tlaxcala) axolotl.,
achto,,"(Amecameca, Cholula, Milpa Alta and Texcoco): first.",
achtontecatl,,(Amecameca) commander,
achtontli,,great-grandfather.,
achtopa,,firstly.,
acintli,,rice,
acoatl,[aːˈkoː.aːtɬ],aquatic snake,
acocotl,,throat,
acoyohtli,,well.,
acuetzpalin,,alligator,
acueyotl,,(Amecameca) wave,
acxoyatl,[akˈʃoːjatɬ],sacred fir.,
Afganistan,,Afghanistan (a country in Asia),
ahahuilli,,toy.,
ahcan,,nowhere.,
ahci,,(intransitive) to arrive,
ahcicama,,To understand.,
ahcohuetzi,,to tranquilise.,
ahcolchimalli,,scapula.,
ahcolli,/aʔkolːi/,shoulder.,
ahcopechtli,,table.,
ahcoqui,,light.,
ahcualli,,bad.,
ahmolli,,soap,
ahtlacatl,,inhuman person.,
ahtlacayotl,,(Amecameca) cruelty,
ahuacacuahuitl,,avocado tree.,
ahuacamolli,/aːwakatɬ/,(Amecameca) avocado,
ahuacatl,/aːwakatɬ/,"(Amecameca and Milpa Alta) avocado, (Milpa Alta) testicle",
ahuacatli,/aːwakatɬi/,(Cholula) avocado,
ahuatl,,oak tree.,
ahuatomatl,,acorn.,
ahuechquiahuitl,,drizzle.,
ahuitzotl,/aːwitsoːtɬ/,otter,
aic,,never.,
aimaratlahtolli,,Aymara language.,
ajkol,,shoulder.,
akatl,/aːkatɬ/,(Texcoco and Tlaxcala): reed,
altepetl,[aːɬˈte.peːt͡ɬ],"(Amecameca, Cholula, Milpa Alta, Texcoco and Tlaxcala): City.",
altepetlacatl,,citizen.,
amatl,/aːmatɬ/,paper,
amatomin,,bill.,
ameyal,,water spring,
ameyalli,[aː.meːˈja.lːi],water spring,
amilotl,,"(Amecameca, Cholula, Milpa Alta and Texcoco): white fish.",
amiztli,[ˈaː.mis.tɬi],Sea lion,
amoxtli,/ˈaːmoʃtɬi/,"(Amecameca, Cholula, Milpa Alta and Texcoco): book,",
Andorra,,Andorra (a country in Europe),
apaztetl,,stewpot.,
apitzalli,,diarrhea.,
apitzotl,/ˈaːpitsot͡ɬ/,hippopotamus.,
Arizona,,Arizona (a state of the United States),
Armenia,,Armenia (a country in Europe),
askatl,,ant.,
astatl,,heron,
atecochtzacualli,,"Lake, dam.",
atecocolli,,shell.,
atepocatl,,tadpole.,
atetl,[ˈaːtetɬ],testicle.,
atezcatl,,lake.,
atl,,"(Amecameca, Cholula, Milpa Alta, Texcoco, Tlaxcala)",
atlacuihuayan,,hole.,
atlahtli,,ravine,
atlamatiliztli,,pride.,
atlauhtli,,ravine,
atli,,"(Amecameca) To drink water, to give water.",
atoctli,,"damp land, sow land.",
atolli,/ˈaːtoːlːi/,atole.,
atotonilli,,"hot water, thermal water.",
atoyatl,,river.,
atzacualco,,Sea,
atzapotl,,yellow sapote.,
atzintli,,(Amecameca) water,
auakatl,/aːwakatɬ/,(Tlaxcala): avocado,
Australia,,Australia (a country in Oceania),
Austria,,Austria (a country in Europe),
axallo,,mug.,
axan,[ˈáːʃ.aːn̥],now; presently; today,
axcan,,"(Cholula and Milpa Alta) now, today.",
axixcalli,,toilet.,
axixtli,,(Milpa Alta) urine,
axolotl,/aːʃoːloːtɬ/,"(Amecameca, Cholula and Milpa Alta): axolotl",
ayacachtli,,(Amecameca) rattle,
ayacatl,,(Amecameca) ayacate,
ayakachtl,,(Tlaxcala) rattle,
ayauitl,,fog.,
ayehualiztli,,unbearable.,
ayocoxquetl,,(Amecameca) rude,
ayohtli,[aˈjoʔ.tɬi],"(Amecameca): gourd, squash, pumpkin",
ayohualtlalli,,(Amecameca) island,
ayohxochitl,,(Amecameca) pumpkin flower.,
ayojtl,,(Tlaxcala): pumpkin (fruit),
ayojxochitl,,squash flower.,
ayotochi,/a.jo.ˈtot͡ʃ.ti/,(Tlaxcala) armadillo.,
azcacoyotl,/ aːskaˈkojoːt͡ɬ /,"(Amecameca, Cholula and Milpa Alta) Anteater, tamandua.",
azcahuaztli,,(Amecameca) stairs,
azcatl,/aːskatɬ/,ant,
azezenca,,River,
azintli,,rice,
Bahamas,,Bahamas (a country in North America),
Bahrein,,Bahrein (a country in Asia),
Bangladesh,,Bangladesh (a country in Asia),
Barbados,,Barbados (a country in North America),
Belgica,,Belgium (a country in Europe),
Belice,,Belize (a country in Central America),
Benin,,Benin (a country in Africa),
Bielorrusia,,Belarus (a country in Europe),
Bogotá,/boɡoˈtaː/,Bogotá (the capital and largest city of the modern Colombia).,
Bolivia,,Bolivia (a country in South America),
Botshuana,,Botswana (a country in Africa),
Brasil,,Brazil (a country in South America),
Brunei,,Brunei (a country in Asia),
Bulgaria,,Bulgaria,
Burundi,,Burundi (a country in Africa),
Butan,,Buthan (a country in Asia),
cacahuatl,,cacao.,
cacalach,,slim.,
cacalotl,/ ˈkakaloːtɬ /,crow ,
cahtli,,shoe.,
cahuayoh,,horse,
cahuayohyacanaliztli,,(Amecameca) horseback riding.,
cahuitl,,time.,
calaquiyan,,door.,
California,,California (a state of the United States),
calixtlahuatl,,"Ranch, hacienda",
calli,[ˈká.lːi],house.,
calmanaliztli,,architecture.,
calnahuac,,neighbour.,
caltzacualco,,"Carcel, prision.",
caltzomitl,,"briefs, underpants.",
calzomitl,,underwear.,
camactli,[ˈkamaːk.tɬi],Month.,
camahtli,[ˈkamaːʔ.t͡ɬi],Month.,
Camboya,,Cambodia (a country in Asia),
Camerun,,Cameroon (a country in Africa),
camohtli,,sweet potato.,
Canada,,Canada (a country in North America),
cantli,,cheek.,
capolin,,"capulin, cherry.",
capulin,,capulin,
Castillan,,Spain.,
castillantlahtolli,,Spanish language.,
catalantlahtolli,,Catalan language.,
Catar,,Qatar (a country in Asia),
catzotl,,jicama.,
caxtillantlahtolli,,Spanish language.,
caxtillanxochitl,,rose.,
caxtiltecatl,,"Spaniard, Spanish people.",
ce,,one.,
cececatl,,snow.,
cecic,,cold.,
chacalin,/tʃaˈkalin/,bug.,
Chad,,Chad (a country in Africa),
chapolin,,grasshopper.,
chapulin,,grasshopper,
chayotl,,chayote.,
chiatletl,,diesel,
chichihual,,papaya,
chichihualatl,,(Amecameca) Milk,
chichihualayotl,[t͡ʃiː.t͡ʃiː.waˈlaː.joːtɬ],(Amecameca) Butter,
chichihualtzapotl,,papaya,
chichilistak,,rose.,
chichilkostik,,orange.,
chichiltic,,red.,
chichiltik,,red.,
chicnahui,,nine.,
chicome,,seven.,
chiconahui,,nine.,
chicotzapotl,,sapotilla,
chilacatl,,chilacatl chili pepper.,
chilaquilitl,,chilaquiles,
Chile,,Chile (a country in South America),
Chipre,,Cyprus (a country in Europe),
choca,,To cry.,
chocolatl,,chocolate,
cihuacactli,,famale shoe.,
cihuaconetl,,girl.,
cihuamiztli,,(Amecameca and Milpa Alta): A female puma.,
cihuapilli,,lady.,
cihuatl,[ˈsiwaːtɬ],woman,
cihuayulcacuacuanyo,,cow,
cintli,,corncob,
cipacmichin,,shark,
cipactli,[siˈpák.tɬi],alligator,
citlalli,[siːˈtɬalːi],Star.,
citlalmichin,,Starfish.,
citlaltepozacalli,,"(Amecameca) spaceship, spacecraft.",
coamichin,,eel,
coatl,[ˈko.aːtɬ],"(Amecameca, Cholula and Milpa Alta): A snake.",
coatlantli,,fang,
coatlanxocotl,,mulberry,
cochi,,(intransitive) to sleep,
cochitzapotl,,white sapote,
cochiztli,,sleepness,
cochotl,[ˈkot͡ʃotɬ],(Milpa Alta) parrot.,
cocoloyotl,,debility.,
cocotl,,neck.,
cocoxquetl,,a sick person.,
cocoxqui,,"ill, sick.",
Colombia,,Colombia (a country in South America),
Comoras,,Comores (a country in Africa),
copalli,,"incense, copal",
copinatlanextiloyan,,"cinema, theater.",
cotomitl,,poncho.,
coyametl,,peccary.,
coyotl,,"(Amecameca, Cholula and Milpa Alta) coyote., (Texcoco)",
cozamatl,,weasel.,
Cozcatlan,,El Salvador (a country in Central America),
coztic,,yellow.,
cuacuahueh,,cow,
cuacuahuitl,,"horn, antler.",
cuacuauhmazatl,,"elk, moose.",
cuacuauhxolotl,,"bison, bufalo.",
cuatl,,fontanelle.,
cuauhcuetzpalin,,iguana,
cuauhmiztli,,jaguarundi.,
Cuauhnahuac,/kʷaɸ.ˈnaː.wak/,Cuernavaca (the capital city of the modern state of,
Cuauhtemallan,,Guatemala (a country in Central America),
Cuba,,Cuba (a country in North America),
cuetlachtli,,Bear.,
Cuetlaxcoapan,,Puebla City (the capital and largest city of the modern,
cuetzpalin,,lizard,
Cuextecapan,,Huasteca,
cueyeh,,people with skirt.,
cuezalli,,flame.,
Cuhuait,,Kuwait (a country in Asia),
cuica,,(intransitive) To sing,
cuicatl,,song.,
cuitlacochin,[kʷi.t͡ɬaˈko.t͡ʃin],(Amecameca) corn smut.,
cuitlatl,/kʷitɬatɬ/,(Milpa Alta) excrement,
cuitlaxcolli,,intestines,
Dinamarca,,Denmark (a country in Europe),
Dominica,,Dominica (a country in North America),
Ecuador,,Ecuador (a country in South America),
Egipto,,Egypt (a country in Africa),
ehcatl,/ehkatɬ/,(Cholula) Wind.,
ehecatl,/eʔˈeːkatɬ/,(Amecameca) Wind.,
ehuatl,/ˈeːwat͡ɬ/,"skin (of humans, animals, fruit)",
ejekatl,,Wind.,
elli,,liver,
Eritrea,,Eritrea (a country in Africa),
Escocia,,Escocia (a country in Europe),
Eslovaquia,,Slovakia (a country in Europe),
Eslovenia,,Slovenia (a country in Europe),
Estonia,,Estonia (a country in Europe),
etamalli,,bean tamale.,
Etiopia,,Ethiopia (a country in Africa),
etzapotl,,guanabana.,
euatl,/ˈeːwat͡ɬ/,"(Tlaxcala): skin (of humans, animals, fruit)",
eyi,,three.,
eztli,[ˈes.tɬi],blood,
ezxococuahuitl,,pomegranate tree.,
ezxocotl,/ˈɛsʃoːkotɬ/,(Amecameca and Milpa Alta) Pomegranate,
Filipinas,,Philippines (a country in Asia),
Finlandia,,Finland (a country in Europe),
Fiyi,,Fiji (a country in Oceania),
Francia,,France (a country in Europe),
Georgia,,Georgia (a country in Asia),
Ghana,,Ghana (a country in Africa),
Granada,,Grenada (a country in North America),
Grecia,,Greece (a country in Europe),
guaranitlahtolli,,Guarani language.,
Guinea-Bissau,,Guinea-Bissau (a country in Africa),
Guyana,,Guyana (a country in South America),
Haiti,,Haiti (a country in North America),
Hidalgo,,Hidalgo (a state of Mexico),
Honduras,,Honduras (a country in Central America),
huehue,,old,
huehueh,,old,
huehueocelotl,,tiger.,
