L2_orth,L2_ipa,L2_gloss,L2_etym
ёкваё,/jokβajo/,any member of the Gavia family. A diver or loon.,
А,,"The first letter of the Chukchi alphabet, written in the Cyrillic script.",
алфавит,,alphabet,
амӈырооткэн,,eight,
атэ,/ate/,"daddy, dad
Атэй, ивкэ ӄыниԓьэтытку.Daddy, sing a song for us.",
аӈӄы,/aŋqə/,"sea, Ӄораӈы гатвыԓен аӈӄагты.The reindeer had been",
валы,/walə/,knife,
выквын,,"stone, rock",
гым,/ɣəm/,"I (first-person singular, absolutive case)",
гытгын,,lake,
ейвэл,,orphan,
кукэӈы,/kukeŋə/,"pot, pan",
кэйӈын,,brown bear,
кэмэтъыран,,barn,
линлиӈ,,heart,
мачо,/mat͡ɕo/,"chest, breast",
мимыл,,Alternate spelling of мимыԓ.,
мычыквын,,shirt,
мэлоталгын,,hare,
нанӄын,,stomach,
нымытвак,[nəmətwak],"to live, to dwell
Ӈаԓгыԓегты ръачо нынымытваӄэнат.They lived separately on both sides (of the inner tent).",
нымытван,,address,
плакылгын,,boot (made of reindeer skin),
ройыръын,/rojərʔən/,"family
Ынӈин ытԓён мэйӈэтгъи ройыръык аԓвавкыԓьо.Thus she grew able to do everything in her family.",
ръэв,,whale,
рылгылгын,/rəlɣəlɣən/,"finger, toe",
тиркытир,[tirkətir],"sun, Ынан вытку ԓьунин тиркытир, ӈаргынэн.For the first",
тумгытум,/tumɣətum/,"friend, comrade, fellow, companion
Тумгэ ы'ԓгу ныԓгыӄин Володя.The friends liked Volodya.
Ӄаата тумгытум рэԓьугнин, ӄымэԓ-ым ӈирэргэри тырэнуӈынэт.The reindeer will find a fellow and so I will eat both of them.",
умӄы,,polar bear,
уттуут,,tree,
чьачаӈԓьоргын,,January,
ы'ԓьыԓ,[ʔəɬʔəɬ],"snow
Яӈаӄай ы’ԓьыԓе гэйыръэтԓин.The small store-room was filled with snow.",
ыммэмы,/əmmemə/,"mom, mummy
Эӄуԓикэ! Ӄэйӈун ыммэмэнэ рытра наръуваԓтаԓямык!Keep silent ! Or mom will spank us with a tendon.",
ыттʼын,/ʔəttʔən/,dog,
ытԓыгын,/ətɬəɣən/,"father, Ӈээккэӄэй ытԓыгэ нинимтиӄин.The father carried",
ытԓьа,/ətɬʔa/,"mother, Гэвъиԓинэт ытԓьа ынкъам ытԓыгын.Her mother",
эвэч,,a kind of fish (a salmon or a trout),
экык,/ekək/,son,
эргылъын,,bright,
эӈэр,[eŋer],"star
Ныпинтыӄэтӄинэт эӈэрти, виврэтыԓьыт.Stars appeared and sparkled.",
эӈэӈыԓьын,/eŋeŋəɬʔən/,"shaman
Ынин-ым ытԓыгын эӈэӈыԓьын.His father, however, is a shaman.",
яраӈы,/jaraŋə/,"house, yaranga",
ӄаӄытъэӄ,,albatross,
ӄипуӄ,,humpback whale (Megaptera novaeangliae),
ӄонагтэ,,"pants, trousers",
ӄонъачгынкэн,,nine,
ӄораӈы,/qoraŋə/,"(domesticated) reindeer, Ӄораӈы гатвыԓен аӈӄагты.The",
ӄэтаӄэт,,Siberian salmon,
ӈирэӄ,,two,
ӈыраӄ,,four,
ӈыроӄ,,three,
ӈэръамытлыӈэн,,seven,
ӈээкык,/ŋeːkək/,daughter,
ԓыгъоравэтԓьан,[ɬəɣʔorawetɬʔan],"Chukchi, Chukchi people, Ы’твэ пыкиргъэт Ӄончьайпы",
