L2_orth,L2_ipa,L2_gloss,L2_etym
a,/ɑ/,he,
a,/ɑ/,he is,
-ach,,(added to possessive nouns) our (inclusive),
ach,,First-person plural inclusive general possessive; our (inclusive),
achasefan,,atonement,
achengicheng,,beloved,
achi,,"bee, Synonyms: chunen, sisata",
achocho,,to try hard,
aea,,to use,
aewin,,first,
afanafan,,teaching,
afanafana,,(intransitive) to teach,
afar,,shoulder (of humans and animals),
ai,,First person singular general possessive; my (used with general-class objects),
aier,,to repent,
ainipwoch,,cooking pot,
aiti,,(transitive) to teach,
akkar,,sun,
akkom,,"first, firstly",
akkom,,to be first,
allim,,good,
am,,First-person plural exclusive pronoun; us (exclusive),
amam,,to deny,
amanau,,salvation,
amanau,,"to save, offer salvation",
amen,/aˈmɛn/,amen,amen
ami,,Second-person plural pronoun; you (plural),
Ammon,,Saturday,
amo,,may,
-an,,"(added to possessive nouns) his, hers, its",
an,,"third person singular possessive; his, hers, its (used with general-class objects)",
an,,"path, road",
angang,,to work,
angko,,anchor,anchor
animuen,,fifth,
anini,,to contend,
aninnis,,"help, assistance",
anisi,,(transitive) to help,
anneani,,(transitive) to read,
annuk,,rule,
annuku,,to command,
annut,,"to sleep
2010,  Ewe Kapasen God, United Bible Societies, →ISBN, 1 Thessalonica 5:7, page 356:
Iwe, nepwin atun an aramas annut, pwan nepwin atun an aramas sakaweno.
So, during the night people slept, also during the night the people were drunk.",
annë,,delicious,
antare,,altar,
anuön,,young man,
ap,,Alternative spelling of apw (“no”),
apw,,no,
apwangapwang,,weak,
apwonueta,,to fulfill,
ar,,third person plural general possessive; their,
aramas,,person,
arap,,"close, near",
arap,,to move close to,
araw,,blue,
aruanun,,fourth,
arus,,horse,
asepwan,,wind,
asor,,sacrifice,
assefich,,arrow,
asösö,,to rest,
at,,boy,
atai,,to destroy,
atake,,garden,
atasi,,barefoot,
atewe,,that boy (subject previously mentioned),
attapa,,"to touch, to feel with the hand",
au-,,First-person plural exclusive subject marker for tense modifying adverbs.,
aua,,we (exclusive),
aua,,we are (exclusive),
auchea,,important,
aueta,,to build,
aunungatin,,third,
aupwap,,we (exclusive) will (later),
aupwe,,we (exclusive) will,
aurek,,to worry,
ausap,,we (exclusive) will not,
ause,,we (exclusive) do not,
ause,,"we (exclusive) are not, we (exclusive) were not",
ausening,,to listen,
aute,,"we (exclusive) will never, so we (exclusive) do not",
aw,,mouth,
awa,,hour,hour
awewe,,to explain,
awewe,,explanation,
awonuen,,sixth,
awora,,(transitive) to make (something) exist,
chaan,,water,
chapur,,"(archaic) greatly, very much",
chech,,to shake,
chechemeni,,to remember,
chen,,grace,
chepen,,table,table
chinnap,,old,
chinnap,,"an old person, elder",
chok,,just,
chommong,,"many, a lot",
chon,,"person of
chon Chuuk
Chuukese people",
chon,,black,
chuen,,still,
chunga,,"painting
2013 October 5,  Timothy J. Dyches,  “Ka Mochen Pwe Kopwe Unus?”, in  LDS.org‎[1], retrieved 2015-07-14:
Atun an ewe Samon a tonong non ei neni mi pwa non eu chunga seni Carl Bloch a iteni Kraist mi Apochokunata ekkewe mi Semwen non ewe Nenien Konik itan Bethesda. Bloch a chungani Jises a ekieta kinikinin mangaken eu imwan mangaku me a pwari emon ""mwan mi semwen"" a nom non (John 5:7) mi kokkon unukun ewe nenien konik, nge mi chok witiwit.
The time the Lord enters in this place appears in a painting from Carl Bloch called Christ Healing the Sick in the Pool named Bethesda. Bloch painted Jesus lifting a portion of a cloth of a cloth house and he shows himself to a ""sick man"" in John 5:7 who is lying next to a pool, just waiting.",
chungani,,(transitive) to paint,
churi,,(transitive) to visit,
chönupupu,,"river, stream",
echik,,hungry,
echö,,"one (flat, paper-like objects), 2010,  Ewe Kapasen",
efisuen,,seventh,
efoch,,one (stick-like objects),
efou,,"one (round, globular object)",
-ei,,(added to possessive nouns) my,
ekiek,,thought,
ekieki,,to think,
ekipwichi,,to ponder,
ekkan,,plural of en; these,
ekkana,,plural of ena; those,
ekkei,,fire,
ekkewe,,plural of ewe,
ekkis,,"little, few",
ekkoch,,some,
-em,,(added to possessive nouns) our (exclusive),
