L2_orth,L2_ipa,L2_gloss,L2_etym
ހ,[h],"The first letter of the Thaana alphabet, named haa.",
ހަ,/hə/,six,
ހަނދު,,moon,
ހަރިޔާނާ,/hərijəːnəː/,Haryana (a state of India),
ހަރުފަ,,snake,
ހަކުރު,,"jaggery, palm syrup, sugar",
ހަތަރު,/hətəru/,four,
ހަތާވީސް,/hət̪əːʋiːs̺/,twenty-seven,
ހަތިޔާރު,,"weapon, instrument, tool",
ހަތް,/hət/,seven,
ހާސް,/həːs̺/,thousand,
ހިނި,,ant,
ހިނި,,laughter,
ހިނި,,laughter,
ހިންދޫދީން,/hind̪uːd̪iːn/,Hinduism,
ހިބަރު,,swordfish,
ހިލަ,,rock,
ހުކުރު,,Friday,
ހެކި,,witness,
ހެކިވެރިޔާ,,witness,
ހޮނިހިރު,,Saturday,
ހޯމަ,,Monday,
ށ,/ʂ/,Letter shaviyani; second character of the Thaana alphabet,
ނ,/n/,Letter noonu; third character of the Thaana alphabet,
ނަން,,name,
ނަވާރަ,/n̪əʋəːrə/,nineteen,
ނަވާވީސް,/nəʋəːʋiːs̺/,twenty-nine,
ނުވަ,/nuʋə/,nine,
ނޫ,,blue,
ނޭފަތް,,nose,
ނޮވެމްބަރު,/noʋembəru/,November,November
ރ,/r/,letter raa,
ރަހިމު,,womb,
ރަތ,,red,
ރާއްޖެ,/rəːdʒːe/,"country, realm",
ރުޅި,,anger,
ރުފިޔާ,/rufijəː/,rufiyaa,
ބ,/b/,"The fifth letter of the Thaana alphabet, named baa",
ބަޅު,,dog,
ބަސް,,"language, word",
ބާރަ,/bəːrə/,twelve,
ބާވީސް,/bəːʋiːs̺/,twenty-two,
ބިހާރު,/bihəːru/,Bihar (a state of India),
ބިން,,(planet) Earth,
ބިބީ,/bibiː/,"(card games) queen, butterfly fish",
ބިސް,,"egg, roe",
ބިސްރަވަ,,ovary,
ބުރާސްފަތި,,Thursday,
ބުޅާ,,cat,
ބުޅި,,hook,
ބުދަ,,Wednesday,
ބޮޑު,,big,
ޅ,/ɭ/,"The sixth letter of the Thaana alphabet, named lhaviyani",
ކ,/k/,"The seventh letter in Dhivehi, named kaafu",
ކަށިވާލި,,doublespotted queenfish,
ކަރުނަ,,tear (drop of liquid from the eye),
ކަރުދާސް,,paper (material for writing on),
ކަރްނާޓަކާ,/kərn̪əːʈəkəː/,Karnataka (a state of India),Karnataka
ކަޅު,,black,
ކަތުރު,,"scissors, shears",
ކަލޭ,,"thou, you (informal)",
ކާނާ,,"food, usually for animals",
ކިރުޅިޔަ,,fish of the genus Pinjalo,
ކުރު,,short (of length or height),
ކުރޮއޭޝިއާ,,Croatia,
ކުޅަނދިލި,,clitoris,
ކުއްތާ,,dog,
ކެނެޑާ,/ken̪eɖəː/,Canada (a country in North America),Canada
އަޅުގަންޑު,,I (deferential),
އައްލާހު,/əlːəːhu/,Allah,
އައްޑޫ,/əɖːuː/,Addu (a city in the Maldives),
އަދި,,and,
އަތޮޅު,[ət̪oɭu],atoll,
އަލިފާން,,fire,
އާއިލާ,,family,
އާފަލު,,apple,apple
އާސާމު,/əːs̺əːmu/,Assam (a state of India),
އިންސާނުން,,"human, human being",
އިންޑިއާ,/in̪ɖiəː/,"India, Synonym: ހިންދުސްތާނު‎ (hin̊dustānu)",India
އިރު,,"sun, time, moment",
އިސްލާމް,/isləm/,Islam,
އޫ,,fork,
އެކާވީސް,/ekəːʋiːs̺/,twenty-one,
