L2_orth,L2_ipa,L2_gloss,L2_etym
A,,"The first letter of the Dinka alphabet, written in the Latin script.",
adiircök,,soccer (sport),
agɛmkɔckedhiɛ,,democracy (rule by the people),
akoon,,"elephant (land mammal), plural akön",
akuënkäŋ,,mathematics (study of numbers),
Aköljonbɛ̈nyrɔt,,Easter (Christian holiday),
amatdït,,conference (a gathering of persons),
anyuɔl,,maize (plant),
Apirïka,,Africa (continent),
Arekwël,,Internet (worldwide communications network),
Athiɛ,,Asia (continent),
Athörcïgɔ̈ɔ̈r,,Ketuvim (component of the Bible),
Athörtït,,Nevi'im (component of the Bible),
Aweil,,Aweil (South Sudanese city),
biöök,,herding (animal control means),
Burundi,,Burundi,
Cad,,Chad (North African state),
Ethiopia,,Ethiopia,
Indiɛn,,India (a republic of South Asia),
Juba,,Juba (the capital city of South Sudan),
Kenya,,Kenya,
kïndegɔ̈t,,alphabet (order sequence of letters),
kɔc,,person (human beings),
Lööŋwëët,,Torah (component of the Bible),
Muɔnyjiëëŋ,,Dinka (Nuer people group),
nyiëël,,(Rek) python,
Peithbuk,,Facebook (social networking ad service),
piu,,water,
piöcëpïr,,biology (science of life),
piööckätöupiny,,(geology),
Ruanda,,Rwanda (a country in Africa),
Tanzania,,Tanzania,
thiɔrëɣɔ̈c,,inflation (an increase in prices),
Thomalia,,Somalia (African state),
Thudän,,Sudan (North African state),
wɛ̈tmääc,,constitution (supreme legal document),
Yuganda,,Uganda (a country in Africa),
ŋiɛ̈ckanhial,,astronomy (science of celestial objects),
ɣipɣop,,hip-hop (urban subculture),
ɣo,[ɣo],us,
ɣɔɔc,,marketplace (venue for buying and selling),
ɣɔ̈k,,cattle (bovines),
ɣɛn,,"I, me",
