L2_orth,L2_ipa,L2_gloss,L2_etym
А,,"The first letter of the Eastern Mari alphabet, written in the Cyrillic script.",
ава,,"mother, mother-in-law, husband's mother, (agriculture)",
авагашта,,(construction) ceiling beam,
авалташ,,grab (in a handful),
авалык,,"(anatomy) uterus, womb",
аванвопш,,seine,
авапун,,down (feathers),
аварок,,"(geology) ground, undersoil",
авызлаш,,(obsolete) taste food (while public praying before eating),
ака,,elder sister,
арня,[arˈɲa],week,
ача,,father,
аяр,,"poison, venom",
вашкаш,,hurry,
вашмут,[βaʃˈmut],answer,
ваштар,,maple,
ведра,,bucket,
вем,,marrow,
вич,,five,
виян,,strong,
вож,,root,
вуй,,head,
вырляҥге,,wagtail,
вӱд,,water (transparent liquid substance formed by hydrogen,
да,,and,
ече,,ski,
жап,,"time (inevitable progression into the future; duration of that progression)
жап эрта — time is passing
мыйын яра жапем уке — I don't have any free time
жап - окса — time (is) money
жап гыч жапышке — from time to time
жапын' шуйнымыжо — duration (lit. length of time)",
иза,,brother,
ий,,year,
ик,,one,
илаш,,to live,
имне,,horse,
индеш,,nine,
йоча,,"child (boy or girl up to approximately 14 years)
изи йоча — small, little child
мотор йоча — beautiful child
йочам пушкаш — to feed a child
йоча жап — childhood (lit. child time)
йоча модыш — children's toys
йоча муро — nursery rhyme (lit. children's song)",
йошкар,,red,
йылме,,(body) tongue (organ in the mouth used for moving food,
йӱаш,,to drink,
йӱксӧ,,swan,
йӱштӧ,,cold,
кава,,sky,
кайык,,bird,
кандаш,,eight,
карме,,fly (insect),
кид,,"(anatomy) hand, arm",
кишке,,snake,
кож,,spruce,
кок,,two,
кол,,fish,
колаш,,to die,
колко,,fishing float,
коля,,mouse,
комбо,,goose,
копа,,palm (of hand),
куд,,six,
кум,,three,
курныж,,kite (Milvus),
курык,,"hill, mountain",
куэ,,birch,
кӧ,,(interrogative) who,
кӱдырчӧ,,thunder,
кӱтӱ,,herd,
ломбо,,bird cherry,
лу,,ten,
лум,,snow (noun or phrase used to refer to a particular,
лыве,,butterfly,
лӱм,,"name (noun or phrase used to refer to a particular person, place, class, or thing)
вершӧр лӱм — place name
еҥ лӱм — a person's name
лӱмым вашталташ — to change one's name
лӱмым пуаш — to give a name, to name
мыскылтыш лӱм — nickname
лӱмет кузе? — what is your name?
пийын лӱмжӧ - Ошеч — the dog's name (is) Ošeč",
манаш,,to say,
мардеж,,wind,
ме,,(personal) we,
мераҥ,,hare,
мо,,(interrogative) what,
мондаш,,to forget,
мый,,(personal) I,
мӱкш,,bee,
нер,,(anatomy) nose,
ний,,bast,
ноль,,zero,
нулго,,fir,
нуно,,(personal) they,
ныл,,four,
нӧлпӧ,,alder,
ола,,colored,
ола,,city,
ола,,city,
олма,,apple,
омо,,dream,
опташ,,to place,
ото,,grove,
ошко,,poplar,
ошкыл,,step,
ошма,,sand,
пий,,dog,
пикш,,arrow,
пире,,wolf,
писте,,linden,
поро,,good,
поҥго,,mushroom,
пу,,"tree, wood",
пыжар,,plane (woodworking tool),
пызле,,rowan,
пылыш,[ˈpɤlɤʃ],(anatomy) ear,
пырдыж,,wall,
пырыс,,cat,
пӧрт,,"house, dwelling
еш пӧрт ― ješ pört ― family house
кӱ пӧрт ― kü pört ― stone house
пу пӧрт ― pu pört ― wooden house
изи пӧрт ― izi pört ― small house
пӧртым чоҥаш ― pörtym čoṅaš ― to build a house
пӧрт ӧрт ― pört ört ― house spirit",
пӱкш,/pykʃ/,nut,
пӱнчӧ,,pine,
пӱртӱс,,nature,
Россий,,Russia,
рывыж,,fox,
совла,,spoon,
сӧрвалаш,,"to beg, plead",
сӧсна,,pig,
таган,,heel,
таҥ,,"friend, lover",
те,,(personal) you (plural),
теҥгече,,yesterday,
тиште,,"sign, letter",
той,,"brass, bronze",
толаш,,to come,
тудо,,"(personal) he, she",
тумна,,owl,
тумо,,oak,
тый,,(personal) you (singular),
тылзе,,moon,
тӱкаш,,to touch,
тӱкӧ,,"horn, antler",
тӱрвӧ,,lip,
у,,new,
увер,,news,
уда,,bad,
ужга,,fur,
умша,,mouth,
ур,,squirrel,
ургаш,,to sew,
ушкал,,cow,
чаҥа,,jackdaw,
чодыра,,forest,
чыве,,chicken,
чывызык,,wagtail,
чӱгындыр,,beetroot,
шинча,,eye,
шоло,,elm,
шопке,,aspen,
шопо,,sour,
шоҥшо,,hedgehog,
шыже,,"fall, autumn",
шым,,seven,
шыҥа,,mosquito,
шӧрва,,ash (tree),
шӱргӧ,,face,
шӱшпык,,nightingale,
ышташ,,to do,
эрге,,boy,
Эстоний,,Estonia,
эҥыж,,raspberry,
юго,,"heir, successor, follower",
юж,,air,
Юл,,the Volga river,
юҥго,,"abscess, boil, swelling",
якте,,pine,
ял,,village,
янлык,,animal,
ҥ,/ŋ/,The sixteenth letter of the Eastern Mari alphabet,
ӧрш,,bullfinch,
ӱвӧ,,willow,
ӱдыр,,daughter,
ӱе,,white willow,
ӱп,,hair,
ӱпан,,"haired, having hair",
ӱштӧ,,belt,
