L2_orth,L2_ipa,L2_gloss,L2_etym
baa,/baː/,hip,
baabili,,"sleep
Dhuru yarrala baabbilanha .Snake is sleeping on the stone.",
baadal,/ˈbaːdal/,comb,
baadali,/ˈbaːdali/,comb,
baadhal,/baːdal/,bottle,
baadi,/baːdi/,paddock,
baadjin,/baːd͡ʒin/,poison,
baagii,/baːɡiː/,maternal grandmother,
Baalaay,/ˈbaːlaːj/,Monday,
baaldharradharra,/ˈbaːld̪arad̪ara/,spur-winged plover,
baaluu,/baːluː/,moon,
baama,/baːma/,cloud,
baan,/baːn/,mistletoe,
baandali,/ˈbaːndali/,straighten up (tidy),
baanduu,/baːnduː/,horsefly,
baawaa,/baːvaː/,sister,
baawul,/baːvul/,chicken,
baayali,/ˈbaːyali/,crack between teeth,
baayami,/baːjami/,god,
baayandhu,/baːjand̪u/,see you soon,
baaybuu,/baːjbuː/,pipe,
baaylirrmali,/ˈbaːjlirˌmali/,boil,
babuligaarr,/babuliɡaːr/,hotel,
baburr,/ˈbaːbuːr/,foot,
badha,/bad̪a/,sad,
badha,/bad̪a/,beer,
badhii,/badhiː/,grandmother,
badi,/badi/,fence,
badjigal,/bad͡ʒiɡal/,bicycle,bicycle
badjin,/bad̪jin/,small,
badjinbal,/bad͡ʒinbal/,gradually,
baga,/baɡa/,river bank,
bagaan,/baɡaːn/,older sister,
bagaay,,"river, creek",
bagabaga,,a (striped) emu chick,
bagandi,/baɡandi/,"quoll, native cat",
bagay,,river,
balabalaa,/balabalaː/,butterfly,
balal,/balal/,dry,
balalmal,/balalmal/,towel,
balan,/balan/,zero,
balawagarr,,Frill-neck lizard.,
balima,/balima/,place far away,
balu,/balu/,dead,
balugi,/ˈbaluɡi/,to die,
balumbaluu,/balumbaluː/,weak,
baluwaa,/baluvaː/,"slowly, steadily",
baluwaal,/baluwaːl/,never,
bamba,/bamba/,hard,
bambubambul,/bambubambul/,orange,
bambul,/bambul/,December,
bana,,lean meat,
banaba,/banaba/,health,
banagay,/ˈbanaɡaj/,to run,
banay,/banay/,ten,
banbu,/banbu/,bus,
bandaarr,/bandaːr/,kangaroo,
bandu,/bandu/,dirty,
banggabaa,/banɡabaː/,white,
banggulbaa,/banɡulbaː/,bank,
-baraay,/baɻaːj/,"X-having
milambaraaycow
galibaraaywet",
