L2_orth,L2_ipa,L2_gloss,L2_etym,en_ipa
ህግ,/hɨɡɡ/,a law,,
ላም,/ˈlam/,cow (female bovine),,
ልብ,/ˈlɨbː/,"heart, belly, chest, courage, attention, truth, fact,",,
ልጅ,/ˈlɨd͡ʒ/,"boy, son, child (of unspecified gender)",,
ሐኪም,/hakim/,doctor,,
መሄድ,/məhedɨ/,to walk,,
መሮጥ,/ˈməɾotʼ/,"verbal noun of ሮጠ (roṭä, “to run”)",,
መሳቅ,/ˈməsakʼ/,"verbal noun of ሳቀ (saḳä, “to laugh”)",,
መስጊድ,/ˈməsɡid/,mosque,,
መኪና,/ˈməkina/,"automobile, car, machine, lorry, truck, typewriter",,
ማን,/ˈman/,who? whom?,,
ምላስ,/ˈmɨlas/,tongue,,
ምን,/ˈmɨn/,"what?, ምን፡ታረጊዋለሽ? ― mən tarägiwaläš? ― What will you",,
ሥር,/sɨr/,"root (also figurative), bottom, base, vein, artery,",,
ሥር,/sɨr/,"underneath, below",,
ሦስት,/sɔst/,three (3),,
ረቡዕ,/ˈɾəbuʔ/,Wednesday,,
ረቡዕ,/ˈɾəbuʔ/,on Wednesday,,
ራስ,/ˈɾas/,"head, top, summit, (obsolete) ras (leader ranking directly",,
ሰኞ,/ˈsəɲːo/,Monday,,
ሰው,/ˈsəw/,"(collective) man, (collective) mankind, (collective)",,
ሰው,/ˈsəw/,"anybody, somebody, anyone, someone, (+ negative) nobody,",,
ሱቅ,/sukʼ/,shop,,
ሲኒማ,/sinima/,cinema,cinema,sˈɪnəmə
ሳመ,/samə/,to kiss,,
ሳሙና,/ˈsamuna/,soap,,
ሳምንት,/ˈsamːɨnt/,week,,
ሴት,/ˈset/,"(collective) woman, female, (collective) womankind,",,
ሴት,/ˈset/,(grammar) feminine gender,,
ስልክ,/sɨlk/,"telephone, 2018 April 4,  “አዲስ የሞባይል ቀፎ በኢትዮ ቴሌኮም ኔትዎርክ",,
ስም,/ˈsɨm/,"name, fame, reputation, (grammar) noun",,
ስፖርት,[sport],"sports, sport",,
ሻይ,/ˈʃaj/,"tea plant (Camellia sinensis), tea (hot beverage made",,
ቀዝቃዛ,/kʼəzˈkʼəzːa/,cold,,
ቁርስ,/ˈkʼurs/,Alternative form of ቍርስ (ḳʷərs),,
ቃል,/ˈkʼal/,"word, voice, sound, speech, statement, expression,",,
ቋንቋ,/kʼwankʼwa/,"language, Synonym: ልሳን (ləsan)",,
በሬ,/ˈbəɾe/,"ox, bull (male bovine), (figuratively) strong and gentle",,
በዳ,/bəda/,(vulgar slang) to fuck,,
ቢጫ,/ˈbit͡ʃʼa/,Alternative form of ብጫ (bəč̣a),,
ባል,/ˈbal/,"husband, master",,
ቤተሰብ,/bitəsəbɨ/,immediate family,,
ቤት,/ˈbet/,"house, room, family, generation, stall, stable, verse",,
ብርቱካን,/ˈbɨrtukan/,"orange (fruit), orange (color)",,
ቫይረስ,[vajrəs],virus,,
ቫዮሊን,[vajolin],violin,,
ተማሪ,/ˈtəmari/,student,,
ትል,/tʰɨl/,worm,,
ትናንት,[tɨnant],yesterday,,
ትናንትና,[tɨnantɨna],yesterday,,
ትግርኛ,[tɨɡrɨɲːa],The Tigrinya language.,,
ነገ,/ˈnəɡə/,tomorrow,,
ነገር,[nəɡər],thing,,
ንጉሥ,/ˈnɨɡus/,"king, negus, (chess) king",,
አማርኛ,[ämärɨɲːä],Amharic language,,
አበባ,/aβəβa/,flower,,
አባት,/ˈʔabːat/,"father, ancestor",,
አንበሳ,/(ʔ)anˈbəsːa/,lion (Panthera leo),,
አንተ,/ˈ(ʔ)antə/,"thou, you (singular)",,
አንቺ,/ˈ(ʔ)ant͡ʃi/,"thou, you (singular)",,
አኮርዲዮን,[akordijon],accordion,,
አውሮፓ,/awropa/,Europe,,
አጥር,/atʼer/,fence,,
አፍ,/əf/,mouth,,
አፍንጫ,/ˈ(ʔ)afɨnt͡ʃʼa/,"nose, nostril",,
ኢትዮጵያ,/itijopʼja/,Ethiopia,,
ኢንተርኔት,[ʔintərnet],internet,,
ኣረሰ,/ˈ(ʔ)arːəsə/,"(transitive) to plough, to farm, (transitive) to take",,
ኤሌክትሪክ,[elektrik],electricity,,
ኤሌክትሪክ,[elektrik],electric,,
እምስ,/ˈ(ʔ)ɨms/,"vagina, vulva",,
እርሱ,/ˈ(ʔ)ɨɾsu/,Alternative form of እሱ (ʾəssu),,
እርሳቸው,/ˈ(ʔ)ɨɾsat͡ʃːəw/,Alternative form of እሳቸው (ʾəssaččäw),,
እርስዎ,/ˈ(ʔ)ɨɾsɨwo/,Alternative form of እስዎ (ʾəssəwo),,
እርሷ,/ˈ(ʔ)ɨɾsʷa/,Alternative form of እሷ (ʾəssʷa),,
እሱ,/ˈ(ʔ)ɨsːu/,he,,
እሳት,/ˈ(ʔ)ɨsat/,"fire, (figuratively) clever person",,
እሳቸው,/ˈ(ʔ)ɨsːat͡ʃːəw/,"He, She (formal)",,
እሷ,/ˈ(ʔ)ɨsːʷa/,she,,
እኅት,/ˈʔɨhɨt/,sister,,
እነሱ,/ˈ(ʔ)ɨnːəsːu/,they,,
እናት,/ˈʔɨnːat/,"mother, original, source",,
እናንተ,/ˈ(ʔ)ɨnːantə/,"ye, you (plural)",,
እኔ,/ˈ(ʔ)ɨne/,I,,
እንጀራ,/ʔɨndʒəra/,injera,,
እኛ,/ˈ(ʔ)ɨɲːa/,we,,
እጅ,/ˈ(ʔ)ɨd͡ʒː/,"arm, hand, (figuratively) power, (figuratively) authority",,
እግር,/ˈ(ʔ)ɨɡɨɾ/,"leg, foot, stem, stalk, wheel (of a vehicle)",,
ኮረንቲ,[korənti],electricity,,
ኳስ,/ˈkʷas/,ball,,
ወንበር,/ˈwənbəɾ/,Alternative form of ወምበር (wämbär),,
ወንድም,/ˈwəndɨmː/,"brother, (male) cousin, (male) second cousin",,
ውሻ,/ˈwɨʃːa/,dog,,
ዘውድ,[z̪əwd̪],crown,,
ዛሬ,[zare],today,,
ዝግጁ,/zəɡədʒu/,ready,,
የት,/ˈjət/,where?,,
ድመት,/ˈdɨmːət/,cat,,
ዶሮ,/ˈdoɾo/,hen,,
ጉልበት,/ˈɡulbət/,knee,,
ጉበት,/ˈɡubːət/,liver,,
ጊታር,[ɡitar],guitar,,
ጓደኛ,/ɡʷadːəɲːa/,friend,,
ጠረጴዛ,/tʼəˈɾəpʼːeza/,table,,
ጡት,/ˈtʼut/,"breast, bosom",,
ጣት,/tʼat/,(anatomy) finger,,
ጤና,[tʼena],health,,
ጥርስ,/ˈtʼɨɾs/,"tooth, tusk",,
ጥቁር,[t̪ʼəkur],black,,
ጨረቃ,/ˈt͡ʃʼəɾəkʼa/,moon,,
ጨዋታ,[tʃʼəwata],game,,
ጨው,/t͡ʃʼəw/,salt,,
ጭስ,/t͡ʃʼɨs/,smoke,,
ጳውሎስ,/pʼawlos/,Paul the Apostle,,
ፀሐይ,/ˈt͡sʼəhaj/,sun,,
ፈረስ,/ˈfəɾəs/,"horse, (chess, rare) knight",,
ፊልም,/film/,film,film,fˈɪlm
ፒያኖ,[pijano],piano,,
ፖለቲካ,/polətika/,politics,,
ፖሊስ,/ˈpolis/,"police, policeman",,
ፖስታ,/ˈposta/,"post, mail, letter, envelope, sleeping car",,
