L2_orth,L2_ipa,L2_gloss,L2_etym
অন্তৰ্জাল,ˈɪntɚnˌɛt,internet,internet
আইচলেণ্ড,ˈaɪslənd,Iceland (a country in Europe),Iceland
আচলটল,ˈæksəlˌɑːɾəl,axolotl,axolotl
আপেল,ˈæpəl,apple,apple
ইউজাৰ,jˈuːzɚ,"user, Synonym: ব্যৱহাৰকাৰী (byowoharkari)",user
ইগ্লো,ˈɪɡluː,igloo,igloo
ইণ্ডোনেচিয়া,ɪndoʊnˈiːʒə,Indonesia,Indonesia
ইষ্টেবুল,stˈeɪpəl,stapler,staple
একাডেমি,ɐkˈædəmi,academy,academy
এল্পেকা,ælpˈækə,alpaca,alpaca
কাষ্টাৰ,kˈʌstɚd,custard,custard
কেৰাচিন,kˈɛɹəsˌiːn,kerosene,kerosene
কে’ক,kˈeɪk,"European cakes, Synonym: পিঠা (pitha)",cake
ক্ৰিকেট,kɹˈɪkɪt,cricket (game),cricket
গেছ,ɡˈæs,"(chemistry, physics) a gas, a buildup of gas in the",gas
গেৰেজ,ɡɚɹˈɑːʒ,garage,garage
চক্লেট,t͡ʃˈɑːklət,"chocolate, toffee, candy",chocolate
চমু,sˈuːmoʊ,Tata Sumo,sumo
চমু,sˈuːmoʊ,Tata Sumo,sumo
চিগাৰেট,sˌɪɡɚɹˈɛt,cigarette,cigarette
চেল্ফি,sˈɛlfi,selfie,selfie
জেব্ৰা,zˈiːbɹə,zebra,zebra
টুল,stˈuːl,"stool, Synonym: (traditional) মুঢ়া (murha)",stool
টেংকি,tˈæŋk,(container) tank,tank
থাইলেণ্ড,tˈaɪlənd,"Thailand, Synonym: শ্যামদেশ (syamodex)",Thailand
নম্বৰ,nˈʌmbɚ,"number, Synonym: সংখ্যা (xoṅkhya), mark, score, point,",number
নাম্বাৰ,nˈʌmbɚ,"number, Synonym: সংখ্যা (xoṅkhya), mark, score, point,",number
পলিথিন,pˈɑːlɪθˌiːn,"polythene bag, Synonym: ঠোঙা (thüṅa)",polythene
পাউণ্ড,pˈaʊnd,(numismatics) pound,pound
পাণ্ডা,pˈændə,red panda,panda
পালিচ,pˈɑːlɪʃ,"polish, Synonym: ৰহণ (rohon)",polish
পিৰানা,pɜːɹˈɑːnə,piranha,pirana
পেঙ্গুইন,pˈɛŋɡwɪn,penguin,penguin
প্লেটিপাছ,plˈæɾɪpəs,"platypus, Synonym: হাঁহঠুঁটীয়া (hãhthũtia)",platypus
ফ্লেমিংগ,flɐmˈɪŋɡoʊ,flamingo,flamingo
বটল,bˈoʊtlhə,bottle,botelha
বল,bˈɔːl,"ball, Synonyms: ঢোপ (dhüp), কন্দুক (konduk)",ball
বল,bˈɔːl,"ball, Synonyms: ঢোপ (dhüp), কন্দুক (konduk)",ball
বাইচন,bˈaɪsən,bison,bison
বাচ,bˈʌs,(vehicles) bus,bus
বাচ,bˈʌs,"smell, olfaction, Synonym: গোন্ধ (gündho)",bus
বাচ,bˈʌs,(vehicles) bus,bus
বাচ,bˈʌs,"smell, olfaction, Synonym: গোন্ধ (gündho)",bus
বাচ,bˈʌs,"smell, olfaction, Synonym: গোন্ধ (gündho)",bus
বাছ,bˈʌs,(vehicles) bus,bus
বাছ,bˈʌs,(vehicles) bus,bus
বেংক,bˈæŋk,bank,bank
বেক্টেৰিয়া,bæktˈɪɹiə,"bacteria, bacterium, Synonym: জীৱাণু (ziwanu)",bacteria
বেল্ট,bˈɛlt,"belt, girdle, Synonyms: পেটী (peti), বেৰেটি (bereti)",belt
মাৰ্বল,mˈɑː͡ɹbəl,"marble, Synonym: মৰ্মৰ (mormor)",marble
মে’ওনিজ,mˌeɪənˈeɪz,mayonnaise,mayonnaise
মোবাইল,mˈoʊbəl,"cellphone, mobile phone, cellular, Synonyms: (less",mobile
লিখটেনষ্টাইন,lˈɪxtənstˌaɪn,Liechtenstein,Liechtenstein
লিপিষ্টিক,lˈɪpstɪk,lipstick,lipstick
স্কুল,skˈuːl,"school, academy, Synonyms: পঢ়াশালি (porhaxali), (literary)",school
হেঙাৰ,hˈæŋɚ,hanger,hanger
হেঙাৰ,hˈæŋɚ,hanger,hanger
ৰিক্সা,ɹˈɪkʃɔː,rickshaw,rickshaw
