L2_orth,L2_ipa,L2_gloss,L2_etym
ကက်စီနို,kɐsˈiːnoʊ,casino,casino
ကက်ပတိန်,kˈæptɪn,captain.,captain
ကက်သလစ်,kˈæθlɪk,"(Christianity) Catholic, croquette",Catholic
ကင်မရာ,kˈæmɹə,camera (device for taking photographs),camera
ကင်း,kˈɪŋ,king (in a card game),king
ကင်း,kˈɪŋ,king (in a card game),king
ကတ်ပြား,kˈɑː͡ɹd,card,card
ကတ်သလိတ်,kˈʌtlɪt,croquette,cutlet
ကနေဒါ,kˈænədə,"Canada (a country in North America), Canadian, ကနေဒါနိုင်ငံ",Canada
ကန်ထရိုက်,kˈɑːntɹækt,contract,contract
ကယ်လဆီယမ်,kˈælsiəm,calcium.,calcium
ကရစ်ကက်,kɹˈɪkɪt,cricket (game),cricket
ကရိန်း,kɹˈeɪn,crane (machinery),crane
ကလပ်,klˈʌb,club,club
ကလိုရင်း,klˈoːɹiːn,chlorine,chlorine
ကာဂစ်စတန်,kˌɜːrɡɪstˈɑːn,"Kyrgyzstan, ကာဂစ်စတန်နိုင်ငံ ― kagacca.tannuingngam",Kyrgyzstan
ကာဂျစ္စတန်,kˌɜːrɡɪstˈɑːn,"Kyrgyzstan, ကာဂျစ္စတန်နိုင်ငံ ― kagyacca.tannuingngam",Kyrgyzstan
ကာဇက်စတန်,kˌæzɐkhstˈɑːn,"Kazakhstan, ကာဇက်စတန်နိုင်ငံ ― kajakca.tannuingngam",Kazakhstan
ကာတာ,kˈæɾɑː͡ɹ,"Qatar, ကာတာနိုင်ငံ ― katanuingngam ― Qatar (country)",Qatar
ကား,kˈɑː͡ɹ,(informal) car,car
ကိတ်ဗာဒီ,kˈeɪp vˈɜːd,"Cape Verde (an archipelago and country in West Africa),",Cape Verde
ကိတ်မုန့်,kˈeɪk,cake,cake
ကိုဆိုဗို,kˈɑːsəvˌoʊ,Kosovo (partly-recognized country in Southeast Europe),Kosovo
ကိုရီးယား,kɚɹˈiːə,"Korea, Korean, ကိုရီးယားနိုင်ငံ ― kuiri:ya:nuingngam",Korea
ကိုလိုနီ,kˈɑːləni,colony,colony
ကိုလိုနီ,kˈɑːləni,colonial,colony
ကိုလံဘီယာ,kəlˈʌmbiə,"Colombia (a country in South America), ကိုလံဘီယာနိုင်ငံ",Colombia
ကီလိုဂရမ်,kˈɪləɡɹˌæm,kilogram,kilogram
ကုတ်,kˈoʊt,coat,coat
ကုတ်,kˈoʊt,to lever,coat
ကုတ်,kˈoʊt,lever,coat
ကုတ်,kˈoʊt,coat,coat
ကုတ်,kˈoʊt,coat,coat
ကုဗ,kjˈuːb,(geometry) cube,cube
ကုမ္ပဏီ,kˈʌmpəni,"company, firm",company
ကူဝိတ်,kuːwˈeɪt,"Kuwait, ကူဝိတ်နိုင်ငံ ― kuwitnuingngam ― Kuwait (country)",Kuwait
ကောင်စစ်ဝန်,kˈɑːnsəl,consul,consul
ကောင်စီ,kˈaʊnsəl,council,council
ကောင်တာ,kˈaʊntɚ,counter (in a bank or a shop),counter
ကောလိပ်,kˈɑːlɪd͡ʒ,college,college
ကော့စတာရီကာ,kˈɔstɚ ɹˈiːkə,"Costa Rica (a country in Central America), ကော့စတာရီကာနိုင်ငံ",Costa Rica
ကော်တွန်,kˈɑːʔn̩,cotton,cotton
ကော်ပီ,kˈɑːpi,copy,copy
ကော်ဖီ,kˈɔfi,coffee,coffee
ကော်မတီ,kəmˈɪɾi,committee,committee
ကော်လာ,kˈɑːlɚ,(clothing) collar,collar
ကျူးဘား,kjˈuːbə,"Cuba (an island and country in the Caribbean), ကျူးဘားနိုင်ငံ",Cuba
ကျေးဇူး,mjˈɑːnmɑːɹ ˈɪŋɡlɪʃ dˈɪkʃənˌɛɹi,gratitude,Myanmar–English Dictionary
ကွန်ပါ,kˈʌmpəs,"compass, pair of compasses",compass
ကွန်ပျူတာ,kəmpjˈuːɾɚ,computer (programmable electronic device),computer
ကွန်ဖရင့်,kˈɑːnfɹəns,conference,conference
ကွန်ဖြူးရှပ်,kənfjˈuːʃəs,Confucius,Confucius
ခရစ္စမတ်,kɹˈɪsməs,(Christianity) Christmas,Christmas
ခရစ်,kɹˈaɪst,Christ,Christ
ခရစ်ယာန်,kɹˈɪst͡ʃən,"Christian, ခရစ်ယန်ဘာသာ ― hka.racyanbhasa ― Christianity",Christian
ချက်,t͡ʃˈɛk,"cheque, check",cheque
ချက်,t͡ʃˈɛk,Czech,Czech
ချက်,t͡ʃˈɛk,"numeral classifier for blows, strokes (including strokes",Czech
ချက်,t͡ʃˈɛk,"to cook (rice), ထမင်းချက် ― hta.mang:hkyak ― to cook",Czech
ချက်,t͡ʃˈɛk,"cheque, check",cheque
ချက်,t͡ʃˈɛk,Czech,Czech
ချက်,t͡ʃˈɛk,"numeral classifier for blows, strokes (including strokes",Czech
ချက်,t͡ʃˈɛk,"cheque, check",cheque
ချက်,t͡ʃˈɛk,Czech,Czech
ချက်,t͡ʃˈɛk,"numeral classifier for blows, strokes (including strokes",Czech
ချက်,t͡ʃˈɛk,Czech,Czech
ချက်,t͡ʃˈɛk,"numeral classifier for blows, strokes (including strokes",Czech
ချက်,t͡ʃˈɛk,"numeral classifier for blows, strokes (including strokes",Czech
ချယ်ရီ,t͡ʃˈɛɹi,cherry (fruit),cherry
ချယ်ရီ,t͡ʃˈɛɹi,A female given name,cherry
ချီလီ,t͡ʃˈɪli,"Chile (a country in South America), ချီလီနိုင်ငံ ―",Chile
ချူးအင်းဂမ်း,t͡ʃˈuːɪŋ ɡˈʌm,chewing gum,chewing gum
ချောကလက်,t͡ʃˈɑːklət,chocolate,chocolate
ဂင်းနီဗစ်ဆော,ɡˈɪnibˈɪsaʊ,"Guinea-Bissau (a country in West Africa), ဂင်းနီဗစ်ဆောနိုင်ငံ",Guinea-Bissau
ဂင်္ဂါ,ɡˈæɡə,(poetic) river,gaṅgā
ဂင်္ဂါ,ɡˈæɡə,"Ganges (a river in India and Bangladesh), ဂင်္ဂါမြစ်",gaṅgā
ဂမ်ဘီယာ,ɡˈæmbiə,"Gambia (a country in West Africa), ဂမ်ဘီယာနိုင်ငံ ―",Gambia
ဂယ်လက်ဆီ,ɡˈælɐksi,galaxy,galaxy
ဂရပ်,ɡɹˈæf,graph,graph
ဂရမ်,ɡɹˈæm,gram,gram
ဂရိတ်ဗြိတိန်,ɡɹˈeɪt bɹˈɪtən,Great Britain,Great Britain
ဂါနာ,ɡˈɑːnə,"Ghana (a country in West Africa), ဂါနာနိုင်ငံ ― gananuingngam",Ghana
ဂိတ်,ɡˈeɪt,gate; bus stop; bus terminal,gate
ဂိတ်,ɡˈeɪd͡ʒ,gauge (measuring device),gauge
ဂိတ်,ɡˈeɪd͡ʒ,gauge (measuring device),gauge
ဂိုင်ယာနာ,ɡaɪˈɑːnə,"Guyana (a country in South America), ဂိုင်ယာနာနိုင်ငံ",Guyana
ဂိုဒေါင်,ɡˈɑːdaʊn,"warehouse, godown",godown
ဂီတာ,ɡɪtˈɑː͡ɹ,(music) guitar,guitar
ဂီနီ,ɡˈɪni,"Guinea (a country in West Africa), ဂီနီနိုင်ငံ ― gininuingngam",Guinea
ဂေါက်,ɡˈɑːlf,golf,golf
ဂျက်,d͡ʒˈæk,Jack,Jack
ဂျင်,d͡ʒˈɪn,gin (liquor),gin
ဂျင်,d͡ʒˈɪn,gin (liquor),gin
ဂျူး,d͡ʒˈuː,Jew; Jewish,Jew
ဂျော်ဒန်,d͡ʒˈoː͡ɹdən,"Jordan, ဂျော်ဒန်နိုင်ငံ ― gyaudannuingngam ― Jordan",Jordan
ဂွါတီမာလာ,ɡwˌɑːɾɪmˈɑːlə,"Guatemala (a country in Central America), ဂွါတီမာလာနိုင်ငံ",Guatemala
စကတ်,skˈɜːt,(clothing) skirt,skirt
