L2_orth,L2_ipa,L2_gloss,L2_etym,en_ipa
ئال,[al],middle finger,,
ئەحمەد,/aħmad/,"A male given name from Arabic, equivalent to English",,
ئەو,/aw/,"he, she, that",,
ئەوان,[aˈwaːn],they,,
بەفر,/bæfɾ/,snow,,
تر,/tɪɾ/,A suffix forming the comparative degree of an adjective.,,
خۆڵەمێشی,/xoːɫameːʃiː/,grey/gray,,
دوانزە,/d(ə)waːnza/,twelve; 12,,
دوو,/duː/,two; 2,,
دە,/da/,ten; 10,,
دەرگا,/darɡaː/,door,,
زانستگە,/zaːnəstɡa/,university,,
سلێمانی,/sɪleːmɑːniː/,Sulaymaniyah (a city in Iraq),,
سیانزە,/s(ə)jaːnza/,thirteen; 13,,
سێ,/seː/,three; 3,,
سەد,/sad/,hundred; 100,,
سەوز,/sawz/,green,,
شانزە,/ʃaːnza/,sixteen; 16,,
شوقە,/ʃuqa/,"(Iraq) apartment, flat",,
شەش,/ʃaʃ/,six; 6,,
عێراق,/ʕeːraːq/,Iraq (a country in Western Asia),,
عەشق,/ʕaʃq/,"love, usually romantic",,
قاوەیی,/qaːwajiː/,brown,,
قووڵ,/quːɫ/,deep,,
من,/mɪn/,"I, me, my, mine",,
نۆ,/noː/,nine; 9,,
نۆزدە,/noːzda/,nineteen; 19,,
وشک,/wəʃk/,dry,,
پانزە,/paːnza/,fifteen; 15,,
پرتەقاڵی,/pəɾtaqaːɫiː/,orange,,
پێغەمەر,/peːɣamaɾ/,prophet,,
پێنج,/peːnd͡ʒ/,five; 5,,
چوار,/t͡ʃ(ə)waːr/,four; 4,*čatwā́rah,ˈæstɚɹˌɪsk kˈætwɚ ɹˈɑː
چواردە,/t͡ʃ(ə)waːrda/,fourteen; 14,,
چۆنی,/t͡ʃoːni/,how are you,,
ڕۆژنامە,/roːʒnaːma/,newspaper,,
ڕەش,/raʃ/,black,,
ڤ,[vɛ],"A letter of the Kurdish-Arabic alphabet, pronounced [v]",,
کارۆ,/kaːɾo̞ː/,"A male given name, Karo",,
کرم,/kər(ə)m/,worm,,
کەڵەباب,/kaɫabaːb/,"cock, rooster",,
کەڵەشێر,/kaɫaʃeːɾ/,"cock, rooster",,
گا,/ɡaː/,bull,,
گڵ,/ɡəɫ/,clay,,
ڵ,/ɫ/,"This term needs a translation to English. Please help out and add a translation, then remove the text {{rfdef}}.",,
ھەشت,/haʃt/,eight; 8,,
ھەموو,/hamuː/,"all, every, whole, entire, all of",,
ھەژدە,/haʒda/,eighteen; 18,,
یانزە,/jaːnza/,eleven; 11,,
یەک,/jak/,one; 1,,
