L2_orth,L2_ipa,L2_gloss,L2_etym,en_ipa
acait,/aˈkait/,vinegar,,
aninč,/aˈnint͡ʃ/,"before, previously",,
ascondro,/aˈskondrə/,(Vegliot) to hide,,
bajur,[baˈjur],"to bark, bark at",,
bial,/bjal/,"beautiful, pretty",,
braz,/brats/,arm,,
buač,[bŭat͡ʃ],bocce (game),,
bunagrez,/bunaˈɡrets/,"picklock, skeleton key",,
cacur,/kaˈkur/,"to shit, defecate",,
caina,/ˈkaina/,supper,,
caira,/ˈkaira/,wax,,
calčaina,/kalˈt͡ʃaina/,lime mortar,,
canaisa,/kaˈnaisa/,"ash, ashes",,
cenur,/keˈnur/,"to have supper, have a meal, dine, eat",,
chis,/kis/,cheese,,
ci,/t͡ʃi/,who,,
ciant,/tʃant/,hundred,,
ciart,/t͡ʃart/,certain,,
cil,/t͡ʃil/,"sky, heaven",,
cincto,/ˈt͡ʃiŋktə/,fifth,,
cinko,/ˈtʃiŋkə/,bedbug,,
cir,/t͡ʃir/,"candle, altar candle",,
circol,/ˈt͡ʃirkəl/,"circle, group, set",,
cistierna,/t͡ʃistĭerna/,"cistern, water tank",,
cituot,/t͡ʃiˈtuot/,city,,
cič,/t͡ʃit͡ʃ/,chickpea,,
comprendro,/komˈprendrə/,to comprehend,,
cončaro,/konˈt͡ʃarə/,to conquer,,
cočaina,/koˈt͡ʃaina/,kitchen,*cocīna,ˈæstɚɹˌɪsk kˈɑːsɪnə
cratoire,/kraˈtoire/,children,,
credro,/ˈkredrə/,to believe,,
crescro,/ˈkreskrə/,to grow,,
damno,/ˈdamnə/,"harm, damage, havoc",,
denj,/deɲ/,worthy,,
depiandro,/deˈpi̯andrə/,to paint,,
dessendro,/deˈsendrə/,"to descend, to get off, dismount",,
detco,/ˈdetkə/,finger,,
dezun,/deˈd͡zuŋ/,"fast, fasting",,
dezun,/deˈd͡zuŋ/,"fasting, hungry, (of the stomach) empty",,
dezun,/deˈd͡zuŋ/,"fasting, hungry, (of the stomach) empty",,
diant,/djant/,"(Vegliot, anatomy) tooth",,
diastro,/ˈdi̯astrə/,"right, skillful",,
dichidapto,/dikiˈdaptə/,eighteen,,
dichisapto,/dikiˈsaptə/,seventeen,,
dicro,/ˈdikrə/,"to say, tell",,
dicto,/ˈdiktə/,tenth,,
discualz,/disˈku̯alt͡s/,barefoot,,
dispojur,/dispoˈjur/,Alternative form of despoliur,,
doiciant,/doi̯t͡ʃi̯ant/,two hundred,,
dotco,/ˈdotkə/,twelve,,
drante,/ˈdrantə/,"in, inside, indoors",,
drecno,/ˈdreknə/,sheep tick,,
driaz,/dri̯at͡s/,"plait, braid, twist, pigtail",,
drucno,/ˈdruknə/,clingstone grape,,
dulsassa,/dulˈsasa/,"sweetness, gentleness, pleasantness, darling, sweetie",,
facianda,/faˈt͡ʃanda/,"matter, business, affair, concern, issue, job, nature",,
fejustro,/feˈjustrə/,stepson,,
fichiera,/fiˈkĭera/,fig tree,,
fualja,/ˈfu̯aʎa/,leaf,,
imprendro,/imˈprɛndrə/,"to light, kindle, to undertake",,
inghiastro,/inˈɡjastrə/,ink,,
inviarno,/inˈvi̯arnə/,winter,,
jal,/jal/,(third person masculine singular pronoun) he,,
jal,/jal/,wing,,
jal,/jal/,wing,,
jan,/jaŋ/,year,,
jaquaíz,/jaku̯aˈit͡s/,high tide,,
jarba,/ˈjarba/,"grass, herb",,
jaur,/jaur/,gold,,
jo,/jo/,where,,
join,/join/,one,,
joit,/joit/,wet,,
joiva,/ˈjoiva/,grape; grapes,,
