L2_orth,L2_ipa,L2_gloss,L2_etym,en_ipa
ހ,[h],"The first letter of the Thaana alphabet, named haa.",,
ހަ,/hə/,six,,
ހަރިޔާނާ,/hərijəːnəː/,Haryana (a state of India),,
ހަތަރު,/hətəru/,four,,
ހަތާވީސް,/hət̪əːʋiːs̺/,twenty-seven,,
ހަތް,/hət/,seven,,
ހާސް,/həːs̺/,thousand,,
ހިންދޫދީން,/hind̪uːd̪iːn/,Hinduism,,
ށ,/ʂ/,Letter shaviyani; second character of the Thaana alphabet,,
ނ,/n/,Letter noonu; third character of the Thaana alphabet,,
ނަވާރަ,/n̪əʋəːrə/,nineteen,,
ނަވާވީސް,/nəʋəːʋiːs̺/,twenty-nine,,
ނުވަ,/nuʋə/,nine,,
ނޮވެމްބަރު,/noʋembəru/,November,November,noʊvˈɛmbɚ
ރ,/r/,letter raa,,
ރާއްޖެ,/rəːdʒːe/,"country, realm",,
ރުފިޔާ,/rufijəː/,rufiyaa,,
ބ,/b/,"The fifth letter of the Thaana alphabet, named baa",,
ބާރަ,/bəːrə/,twelve,,
ބާވީސް,/bəːʋiːs̺/,twenty-two,,
ބިހާރު,/bihəːru/,Bihar (a state of India),,
ބިބީ,/bibiː/,"(card games) queen, butterfly fish",,
ޅ,/ɭ/,"The sixth letter of the Thaana alphabet, named lhaviyani",,
ކ,/k/,"The seventh letter in Dhivehi, named kaafu",,
ކަރްނާޓަކާ,/kərn̪əːʈəkəː/,Karnataka (a state of India),Karnataka,kɚnˈɑːɾəkə
ކެނެޑާ,/ken̪eɖəː/,Canada (a country in North America),Canada,kˈænədə
އައްލާހު,/əlːəːhu/,Allah,,
އައްޑޫ,/əɖːuː/,Addu (a city in the Maldives),,
އަތޮޅު,[ət̪oɭu],atoll,,
އާސާމު,/əːs̺əːmu/,Assam (a state of India),,
އިންޑިއާ,/in̪ɖiəː/,"India, Synonym: ހިންދުސްތާނު‎ (hin̊dustānu)",India,ˈɪndiə
އިސްލާމް,/isləm/,Islam,,
އެކާވީސް,/ekəːʋiːs̺/,twenty-one,,
އެކެއް,[ekeh],one,,
އެމެރިކާ,/emerikəː/,America (the continents of North America and South,America,ɐmˈɛɹɪkə
އެގަރަ,/eɡərə/,eleven,,
އެޕްރީލް,/epril/,April,April,ˈeɪpɹəl
އޮނަތިރީސް,/onət̪iriːs̺/,twenty-nine,,
އޮކްޓޫބަރު,/okʈuːbəru/,October,October,ɑːktˈoʊbɚ
އޮގަސްޓު,/oɡəsʈu/,August,August,ˈɔːɡəst
ވ,/ʋ/,"The ninth letter in Dhivehi, named waawoo",,
ވިހި,/ʋihi/,twenty,,
މ,/m/,"The tenth letter in Dhivehi, named meemu",,
މަހާރާޝްތުރާ,/məhəːrəːʃt̪urəː/,Maharashtra (a state of India),,
މާރޗް,/məːrtʃ/,March,March,mˈɑː͡ɹt͡ʃ
މާލެ,/məːle/,Malé (the capital city of the Maldives),,
މިސްކިތް,/mis̺kit̪/,mosque,,
މުޙައްމަދުގެފާނު,/muħəmməd̪uɡefəːnu/,the Islamic prophet Muhammad,,
މެކްސިކޯ,/meks̺ikoː/,Mexico (a country in North America),Mexico,mˈɛksɪkˌoʊ
މެއި,/mei/,May,May,mˈeɪ
ފ,/f/,"The eleventh letter in Dhivehi, named faafu",,
ފަހެހް,/fəheh/,five,,
ފަނަރަ,/fənərə/,fifteen,,
ފަންސަވީސް,/fəns̺əʋis̺/,twenty-five,,
