L2_orth,L2_ipa,L2_gloss,L2_etym,en_ipa
brun,/bɾuːn/,Alternative spelling of bruun,,
bruun,/bɾuːn/,"(in several dialects, including Stellingwerfs and Sallands)",,
dat,/dɑt/,"the, Dat huus was trechtmakt.The house was finished.",,
dat,/dɑt/,"(demonstrative) that, Ik mag dat book.I like that book.,",,
dat,/dɑt/,that,,
dat,/dɑt/,(demonstrative) that,,
dat,/dɑt/,"(relative) which, that",,
ein,/ˈɛɪ̯n/,"Alternative spelling of een : a, an",,
ein,/ˈɛɪ̯n/,"Alternative spelling of een : a, an",,
ein,/ˈɛɪ̯n/,Alternative spelling of een : one (1),,
för,/vɵ(ˈ)ɘ/,for,,
gaon,/xɔːn/,(intransitive) to go,gahn,ɡˈɑːn
gel,/ɡeːl/,yellow,,
kieken,/kiːkən/,(intransitive) to look,,
los,-ɔs,open,lōs,lˈɑːs
mage,[mɒːɣə],stomach,,
veel,/feˑl/,much,,
veel,/feˑl/,"much, many",,
verwysing,/vəʋiːzɪŋ/,"link (hypertext), reference, (medicine) referral",,
waen,/ʋɛːn/,"(intransitive) to be, Hier kö'j altied owzelf waen.Here",,
wies,/ʋiːs/,"wise, clever",,
