L2_orth,L2_ipa,L2_gloss,L2_etym,en_ipa
A,/a/,"The first letter of the Esperanto alphabet, called a and written in the Latin script.",,
a,/a/,"The first letter of the Esperanto alphabet, written in the Latin script.",,
a,/a/,The name of the Latin script letter A/a.,,
a-bombo,[aˈbombo],"A-bomb, atom bomb, atomic bomb, Synonym: atombombo",,
a-vorto,[aˈvorto],"adjective, Synonym: adjektivo",,
Aarono,[aaˈrono],"A male given name from Hebrew, equivalent to English",,
Abadono,[abaˈdono],Abaddon,,
abaĵuro,[abaˈʒuro],"(archaic) lampshade, Synonym: lumŝirmilo",,
abako,[aˈbako],(architecture) abacus (uppermost portion of the capital,,
abakteria,[abakteˈria],"abacterial, Synonym: senbakteria",,
abandoni,[abanˈdoni],"to relinquish, Synonyms: forlasi, forkonsenti, forcedi,",,
abandonismo,[abandoˈnismo],fear of abandonment,,
abandono,[abanˈdono],"abandonment, relinquishment",,
abata,/aˈbata/,"abbatial; belonging to, relating to, or pertaining",,
abateco,[abaˈtet͡so],"(Christianity) abbacy, abbotship",,
abateja,[abaˈteja],"Of or pertaining to an abbey, abbatial.",,
abatejo,[abaˈtejo],"abbey, Synonyms: monaĥinejo, abatinejo, monaĥaro, monaĥinaro",,
abatino,[abaˈtino],abbess,,
abatiso,[abaˈtiso],abatis,,
abato,[aˈbato],(Christianity) abbot,,
abazio,[abaˈzio],(medicine) abasia,,
abdiki,[abˈdiki],(transitive) to abdicate,,
abdiko,[abˈdiko],abdication,,
abdomeno,[abdoˈmeno],"(anatomy) abdomen (of a human)
Synonym: ventro",,
abduktoro,[abdukˈtoro],(anatomy) abductor (muscle),,
abelejo,[abelˈejo],apiary,,
abelisto,[abeˈlisto],beekeeper,,
abelkesto,[abelˈkesto],beehive,,
abelmanĝulo,[abelmanˈd͡ʒulo],bee-eater (insectivorous bird in the family Meropidae),,
abelo,[aˈbelo],"bee, Template:ŭ",,
abelreĝino,[abelreˈd͡ʒino],"queen bee, Synonyms: ĉefabelino, reĝinabelo",,
abelsvarmo,[abelˈsvarmo],"swarm of bees, L. L. Zamenhof (translator), “Elfo de",,
abelujo,[abeˈlujo],beehive,,
abelvakso,[abelˈvakso],beeswax,,
aberacii,[aberaˈt͡sii],(intransitive) to aberrate,,
aberacio,[aberaˈt͡sio],"(physics, optics, astronomy) aberration",,
abĥaza,[abˈxaza],"Abkhaz (of or pertaining to Abkhazia, the Abkhaz people, or the Abkhaz language)",,
abĥaze,[abˈxaze],in the Abkhaz language,,
abĥazino,[abxaˈzino],Abkhaz woman,,
Abĥazio,[abxazˈio],"Abkhazia (a region and unrecognised country in Georgia,",,
abĥazo,[abˈxazo],an Abkhaz (person from Abkhazia),,
Abĥazujo,[abxazˈujo],"Abkhazia (a region and unrecognised country in Georgia,",,
abiaro,[abiˈaro],fir forest,,
abio,[aˈbio],fir tree,,
abiogenezo,/abioɡeˈnezo/,(biology) abiogenesis,,
abismo,[aˈbismo],"(geography) abyss, (figuratively) oblivion, (figuratively)",abyssus,ɐbˈɪsəs
abituriento,[abituriˈento],"abiturient, a student or pupil who is ending a highschool",,
abĵuri,[abˈʒuri],"(transitive) to abnegate, abjure",,
ablativa,[ablaˈtiva],ablative,ablative,ˈæblətˌɪv
ablativo,[ablaˈtivo],(grammar) ablative,ablative,ˈæblətˌɪv
abnegacii,[abneɡaˈt͡sii],(transitive) to deny oneself something,,
abnegacio,[abneɡaˈt͡sio],self-denial,,
aboco,[aˈbot͡so],"ABCs; the alphabet, (figuratively) primer; introductory",,
aboli,[aˈboli],"to abolish, 2009 January 21,  Město Moravské Budějovice,",,
abolicii,[aboliˈt͡sii],(transitive) to abolish,,
aboliciismo,[abolit͡siˈismo],abolitionism,,
aboliciisto,[abolit͡siˈisto],abolitionist,,
abolicio,[aboliˈt͡sio],abolition,,
abolismo,[aboˈlismo],abolitionism,,
abolo,[aˈbolo],"abolition, abrogation",,
abomena,[aboˈmena],"abominable, loathsome, odious, detestable",,
abomenaĵo,[abomenˈaʒo],abomination (something that inspires loathing),,
abomeni,[aboˈmeni],"to abhor, loathe, abominate, Synonym: malamegi",,
abomeninda,[abomenˈinda],"abominable; detestable; loathsome, Synonym: abomena",,
