L2_orth,L2_ipa,L2_gloss,L2_etym,en_ipa
a,/ɛaː/,"The first letter of the Faroese alphabet, written in",,
abbabarn,/ˈapːa.patn/,grandchild of a grandfather (abbi),,
abbadissa,[ˈapːaˌtɪsːa],abbess,,
abbati,/ˈapɛaːʰtɪ/,abbot (superior or head of an abbey or monastery),,
abbi,[ˈapːɪ],grandfather,,
aftansangur,[ˈaftanˌsaŋkʊɹ],serenade,,
aftaná,[ˈatːanɔa],behind,,
aftanífrá,[ˈatːanɪfrɔa],from behind,,
aftrat,[aˈtrɛat],"in addition
aftrat øllum hesum — in addition to all this",,
afturat,[aˈtrɛat],"in addition
afturat øllum hesum
in addition to all this",,
afturferð,[ˈatːʊrˌfeːɹ],"return journey, journey back",,
afturfyri,[atːʊˈfiːrɪ],"in return
fáa afturfyri
to get in return",,
afturgongd,[aʰtːʊrˌkɔŋkd],"decline, decrease, fall",,
aftursvar,[ˈatːʊr.svɛar],"reply, answer",,
aftursøgn,[ˈaʰtːʊrˌsœkn],renarration,,
agngágga,[ˈaknˌkɔkːa],common northern whelk (Buccinum undatum),,
ahorn,/ˈahɔɻɳ/,"maple, maple wood",,
aka,/ˈɛaːʰka/,to drive,,
akarn,/ˈɛaːʰkaɻɳ/,acorn (fruit of an oak),,
akfar,[ˈakfɛar],"vehicle, vessel, car",,
akker,[ˈaʰt͡ʃːɪɹ],anchor,,
Aksal,/ˈaʰksal/,A male given name,,
akslatræ,/ˈak.slaˌtɾɛaː/,"hanger, clothes hanger",,
akur,/ˈɛaːʰkʊɹ/,(agriculture) field,,
ala,/ˈɛaːla/,"(kvæði) to give birth to, to foster, to nourish, to",,
Alaska,/aˈlaska/,Alaska (a state of the United States),Alaska,ɐlˈæskə
alda,/ˈalta/,wave,,
aldinbori,/ˈaltɪnˌpoːɹɪ/,cockchafer,,
aldri,[ˈaldrɪ],never,,
aldur,[ˈaltʊɹ],"age, age, seniority, time, era",aldr,ˈɔːldɚ
Aleksandur,/alɛkˈsantʊɹ/,A male given name,,
alga,/ˈalka/,alga,,
ali,/ˈɛaːlɪ/,"quality, property, characteristic, nature (of someone or something)",,
ali,/ˈɛaːlɪ/,indicative first-person singular present of at ala,,
alisfrøði,/ˈɛaːlɪsˌfɾøːjɪ/,physics,,
allastaðni,[ˈadlaˌstɛanɪ],everywhere,,
allur,/ˈat.lʊɹ/,"all, av øllum ― completely, við øllum ― forever, aftrat",,
allur,/ˈat.lʊɹ/,"everybody, everyone, all",,
alt,[al̥t],all,,
alt,[al̥t],all,,
altar,/ˈal̥.taɹ/,altar,,
altjóða,[ˈaltʃɔuwa],"International.
altjóða samfelag
international community
altjóða samstarv
international cooperation
altjóða viðurkenning
international recognition or acceptance",,
altjóðagerð,[ˈal̥t͡ʃɔuːwaˌt͡ʃeːɹ],globalisation,,
altíð,[ˈalˌtʊiː],always,,
alv,/alv/,"physical strength, might",,
amboð,[ˈampoː],"tool, instrument",,
amerikanari,[amɛriˈkaːnarɪ],American,,
andast,[ˈandast],to die,,
andlit,[ˈanliːt],face,,
andlát,/ˈanˌlɔɑːʰt/,death,,
andsøgn,[ˈanˌsœkn],contradiction,,
Angola,/aŋˈkoːla/,Angola (a country in Africa),,
annaðhvørt,[anːakvœʂt],nominative singular neuter of annarhvør,,
annaðhvørt,[anːakvœʂt],either ... or,,
anorakkur,/ˌanoˈɹaʰkːʊɹ/,anorak,,
apa,/ˈɛaːʰpa/,"ape, monkey",,
