L2_orth,L2_ipa,L2_gloss,L2_etym,en_ipa
aapul,/ɑːpʊl/,apple; a round fruit which grows in temperate climates.,apple,ˈæpəl
aspataal,/əspətɑl/,hospital,,
baakas,/bɑːkəs/,"box; a rectangular container, used for storing things,",box,bˈɑːks
baggii,/bəɡɡiː/,A horse drawn cart.,buggy,bˈʌɡi
bareed,/bərɛːd/,bread,bread,bɹˈɛd
belfut,/beːlfʊt/,breadfruit,breadfruit,bɹˈɛdfɹuːt
belo,/beːloː/,work break,bell,bˈɛl
biin,/biːn/,"Vigna unguiculata subsp. sesquipedalis (snake bean,",bean,bˈiːn
biskut,/bɪskʊt/,biscuit,biscuit,bˈɪskɪt
bulu,/bʊlʊ/,blue,blue,blˈuː
bulut,/bʊlʊt/,bolt,bolt,bˈoʊlt
burus,/bʊrʊs/,toothbrush,brush,bɹˈʌʃ
chaak,/cɕəɑːk/,"chock, hinderance",chock,t͡ʃˈɑːk
diipuu,/diːpuː/,Where Indian indentured labourers were kept before,depot,dˈiːpoʊ
faalaa,/fɑːlɑː/,fellow,fellow,fˈɛloʊ
faank,/fɑːnk/,garden fork,fork,fˈɔː͡ɹk
falaawaa,/fəlɑːvɑː/,plough,plough,plˈaʊ
faraak,/fərɑːk/,dress,frock,fɹˈɑːk
filam,/fɪləm/,film,film,fˈɪlm
firii,/fɪriː/,"Not of bondage; free, Obtainable without payment; free",free,fɹˈiː
firiimaan,/fɪriːmɑːn/,A person who has completed his indenture.,freeman,fɹˈiːmən
garaund,/ɡərɔːnd/,A playing field.,ground,ɡɹˈaʊnd
geet,/ɡɛːʈ/,paddock,gate,ɡˈeɪt
geng,/ɡeːnɡ/,Work gang,gang,ɡˈæŋ
gilaas,/ɡɪlɑːs/,"glass, tumbler, mirror",glass,ɡlˈæs
giraas,/ɡɪrɑːs/,grass,grass,ɡɹˈæs
girmit,/ɡɪrmɪʈ/,indenture system,agreement,ɐɡɹˈiːmənt
gorment,/ɡoːrmeːnt/,government,government,ɡˈʌvɚnmənt
gwaan,/ɡəwɑːn/,go on - used to shoo away animals.,go on,ɡˌoʊ ˈɔn
haafaa,/hɑːfɑː/,Half of the task allotted to a cane-cutting pair.,half,hˈæf
haamaa,/hɑːmɑː/,hammer,hammer,hˈæmɚ
hedmaan,/heɪdmɑɪn/,foreman,headman,hˈɛdmən
hutel,/hʊʈeːl/,hotel,hotel,hoʊtˈɛl
ingin,/ɪnɡɪn/,"engine, locomotive",engine,ˈɛnd͡ʒɪn
kaabij,/kɑːbɪj/,"Chinese cabbage, bok choy.",cabbage,kˈæbɪd͡ʒ
kampanii,/kəmpəniː/,The Colonial Sugar Refining Company based in Fiji,company,kˈʌmpəni
kantaap,/kəɲtɑːp/,cane top,cane top,kˈeɪn tˈɑːp
kek,/keːk/,cake,cake,kˈeɪk
kichin,/kɪchɪn/,kitchen,kitchen,kˈɪt͡ʃən
kulambar,/kʊləmbər/,overseer,count the number,kˈaʊnt ðə nˈʌmbɚ
kurbaal,/kʊrbɑːl/,crowbar,crowbar,kɹˈoʊbɑː͡ɹ
laaesan,/ləeːsən/,licence,licence,lˈaɪsəns
laiin,/ləɪɳ/,Workers barracks.,line,lˈaɪn
lainamaan,/ləɪnəmɑɪn/,linesman,linesman,lˈaɪnzmən
lef,/leːf/,left (left hand side),left,lˈɛft
maachis,/mɑːcɕəɪs/,matches,matches,mˈæt͡ʃᵻz
maarit,/mɑːrɪt/,(Civil) marriage.,marriage,mˈæɹɪd͡ʒ
maarkit,/mɑːrkɪt/,market,market,mˈɑː͡ɹkɪt
maastaa,/mɑːstɑː/,Male teacher.,master,mˈæstɚ
mail,/maɪl/,mile,mile,mˈaɪl
masiin,/məsiːn/,machine,machine,məʃˈiːn
memiyaa,/meːmɪyɑː/,European woman,ma'am,mˈæm
minit,/mɪnɪt/,minute (unit of time),minute,mˈɪnɪt
motar,/moːʈər/,car,motor,mˈoʊɾɚ
niilaa,/niːlɑː/,nail,nail,nˈeɪl
painap,/pɛːnəp/,pineapple,pineapple,pˈaɪnæpəl
palet,/pəleːʈ/,plate,plate,plˈeɪt
paraakaa,/pəɽɑːkɑː/,firecracker,,
ponii,/poːniː/,short,pony,pˈoʊni
puusi,/puːsɪ/,cat,pussy,pˈʊsi
puusii,/puːsiː/,cat,pussy,pˈʊsi
rasiid,/rəsiːd/,receipt,,
rum,/ruːm/,room,room,ɹˈuːm
saakis,/sɑːkɪs/,"movies, film",circus,sˈɜːkəs
sabbal,/səbbəl/,shovel,shovel,ʃˈʌvəl
sat,/səʈ/,shirt,shirt,ʃˈɜːt
simit,/sɪmɪt/,cement,cement,sᵻmˈɛnt
sipi,/sɪpɪ/,spade,spade,spˈeɪd
sukhlaai,/sʊkʰəlɑːiː/,To replace dead plants,supply,səplˈaɪ
taas,/tɑːs/,task,task,tˈæsk
tamaakuu,/t̪əmɑːkuː/,tobacco,,
tamaatar,/ʈəmɑːʈər/,tomato,tomato,təmˈeɪɾoʊ
tanki,/ʈənkiː/,water tank,,
taul,/tɔːl/,towel,towel,tˈaʊəl
tichaa,/tɪcɕəɑː/,Female teacher.,teacher,tˈiːt͡ʃɚ
uutoo,/uːtoː/,"The large round fruit of the evergreen tree, Artocarpus",,
