L2_orth,L2_ipa,L2_gloss,L2_etym
6ter,sˈɪks,"A French TV channel, 2015 November 21,  “« Storage",six
abalone,ɐbˈæloʊn,"(cooking, uncommon) The abalone.",abalone
abbé,ˈæbəzˈæbeɪɾəm,"an abbot, the head of an abbey, (dated) a title or","abbās, abbātem"
Abby,ˈæbi,(rare) A female given name.,Abby
Aberdeen,ˌæbɚdˈiːn,Aberdeen (a city in Scotland),Aberdeen
abord,ɐbˈoː͡ɹdɚ,(literary) The manner with which one acts in the presence,aborder
abri,ɐbɹˈɪɡɛɹ,a shelter or refuge against the elements or physical,abrigare
abrier,ɐbɹˈɪɡɛɹ,"(dialectal) to cover with a bedcover; to tuck in, (archaic",abrīgāre
absorptivité,ɐbsoː͡ɹptˈɪvᵻɾi,absorptivity,absorptivity
AC45,ˌeɪsˈiː fˈoː͡ɹɾi fˈaɪv,(sports) AC45 (America's Cup class),AC45
AC72,ˌeɪsˈiː sˈɛvənti tˈuː,(sports) AC72 (America's Cup class developed for the,AC72
AC90,ˌeɪsˈiː nˈaɪnti,AC90,AC90
acarien,ɐkˈɛɹ,(zoology) mite (an arachnid),acare
acculturation,ɐkˌʌlt͡ʃɚɹˈeɪʃən,acculturation,acculturation
acheter,ˈeɪktɚ,to purchase; buy,acheter
achever,ˈeɪkvɚ,"(transitive) to finish, to complete, 1837,  Louis Viardot,",achever
acre,ˈækɚ,(historical) acre,akr
addiction,ɐdˈɪktɪˌoʊɐdˈɪkʃənəm,addiction,"addictio, addictionem"
addictologue,ˈædɪkt,addictologist,addict
adieu,ɐ djə vˈɑːs kˈoʊmənt,"farewell, adieu, Adieu, monsieur le professeur. On",a Dieu vos comant
adieu,ɐ djə vˈɑːs kˈoʊmənt,farewell,a Dieu vos comant
adouber,ɐdˈoʊbɚ,"to dub (bestow the title of knight upon), to name (a",adober
afforder,ɐfˈoː͡ɹd,(Louisiana) to afford,afford
after-dinner,ˈæftɚ dˈɪnɚ,digestive (an alcoholic drink after a meal),after dinner
agnostique,æɡnˈɑːstɪk,agnostic,agnostic
agnostique,æɡnˈɑːstɪk,agnostic,agnostic
agréer,ɐɡɹˈɪɹ,(archaic) to prepare; rig; trim,agreer
agréer,ɐɡɹˈɪɹ,(archaic) to prepare; rig; trim,agreer
agripper,ˈæɡɹɪpɚ,"to grip, grab, cling on to, grab hold of",agriper
aigle,ˈeɪɡəl,"a female eagle, (heraldry) a representation an eagle;",aigle
aigu,ˈeɪɡuː,"sharp, pointy, (of intelligence) acute, keen, discerning,",aigu
ale,ˈeɪl,"ale, 1884, Joris-Karl Huysmans, À rebours, XI:, il",ale
Alfred,ˈælfɹɪd,"A male given name., 1862,  Victor Hugo,  Les Misérables,",Alfred
alligator,ˈælᵻɡˌeɪɾɚ,alligator (animal),alligator
allô,hˈæluː,"(Quebec, Louisiana) hello, (telephony) used to confirm",halloo
aluminium,ˌæljʊmˈɪniəm,aluminum (element),aluminium
amadouer,ˈæmɐdˌaʊɚ,"to coax; to sweet-talk (persuade gradually), to cajole,",amadouer
amha,mˈɑːn hˈʌmbəl ˈævɪs,Alternative spelling of àmha,à mon humble avis
àmha,mˈɑːn hˈʌmbəl ˈævɪs,"(informal, Internet slang, initialism) IMHO",à mon humble avis
amoureux,ˈæmɚɹˌuː,"in love, Je suis amoureux de toiI'm in love with you",amoureux
amoureux,ˈæmɚɹˌuː,lover,amoureux
andouiller,ˈændɔɪlˌiː,(hunting) tine (a small horn that grows in the antlers,andoillee
Angleterre,ˈæŋɡəltˌɛɹə,England,Angleterre
angliche,ˈɪŋɡlɪʃ,"(colloquial, derogatory) pom, limey, English",English
Angliche,ˈɪŋɡlɪʃ,"(colloquial, derogatory, usually in the plural) Englishman/Englishwoman",English
année-lumière,lˈaɪt jˈɪɹ,light year (astronomical distance),light year
Annie,ˈæni,A female given name.,Annie
anode,ˈænoʊd,anode (the electrode through which current flows into,anode
apartheid,ɐpˈɑː͡ɹθeɪd,(historical) apartheid (racial separation in South,apartheid
API,ˌeɪpˌiːˈaɪ,"API, application programming interface",API
API,ˌeɪpˌiːˈaɪ,"API, application programming interface",API
apophase,ɐpəfˈɑːsiz,apophasis,apophasis
-ard,ˈɑː͡ɹd,"Used primarily to form pejoratives, diminutives, and",-ard
Armand,hˈɜːmən,A male given name.,Herman
