L2_orth,L2_ipa,L2_gloss,L2_etym,en_ipa
Aant,/ˈaːnt/,duck,ānt,ˈænt
Adder,/ˈɑdɐ/,"snake, adder, bad girl",nader,nˈeɪdɚ
adjüs,/adʒʏs/,(in many dialects) bye,,
Afkaat,[ʔafˈkʰɒːt],lawyer,,
Afteek,[ʔafˈtʰɛɪk],Alternative form of Apteek,,
Ai,/aɪ/,(Westphalian) egg,,
aisen,/ˈaɪ̯zən/,"(transitive, Westphalian) to cause to feel dread, Dat",,
Aisen,/ˈaɪ̯zən/,"dread, horror, fright, terror",,
aisig,/aɪslɪç/,"eerie, gruesome, being easily scared, He was so aisig",egislīk,ˈɛd͡ʒɪslˌɪk
aislik,/ˈaɪslɪk/,"horrible, gruesome, ugly",,
aiwisk,/ˈaɪʋɪs̺k/,"ugly, Nitt dat aiske hänneken, dat fîne! ― Not the",,
Apteek,[ʔapˈtʰɛɪk],"(in many dialects, including Low Prussian) pharmacy",,
Backelse,/ˈbakelzə/,"pastry, in a wider sense anything baked: cakes, biscuits",,
Barg,/bɛrɣ/,"(in many dialects, including Low Prussian) mountain;",berg,bˈɜːɡ
Been,/bɛɪ̯n/,"(in many dialects, including Low Prussian) leg",bēn,bˈɛn
Been,/bɛɪ̯n/,"(in some dialects) bone as a material, (in some dialects)",bēn,bˈɛn
beför,/ˈbefœr/,"(in some dialects) before, Ęt man de Brade, beför Du",before,bᵻfˈoː͡ɹ
Bein,/bɛɪ̯n/,(in some dialects) leg,,
Bein,/bɛɪ̯n/,"(in some dialects) bone (as material), (in some dialects)",,
Ben,/bɛɪ̯n/,Alternative spelling of Been : leg,,
Ben,/bɛɪ̯n/,Alternative spelling of Been : bone (as material),,
blag,/blɔːx/,Alternative spelling of blaag,,
Bloom,/ˈbloʊm/,"(botany) flower, blossom, Insekten hölpt Blomen bi",blôme,bˌiːˈɛl
bruun,/bɾuːn/,(in several dialects) brown,,
Buk,[buːk],(in some dialects) alternative spelling of Buuk : stomach,,
Buuk,[buːk],"(in several dialects, including Low Prussian) stomach,",,
Bärg,/bɛrɣ/,(Ravensburg) mountain; hill,berg,bˈɜːɡ
Deev,/deːf/,"thief, dative singular of Deev, accusative singular",,
Dird,/diːɐ̯t/,animal,,
Dirt,/diːɐ̯t/,animal,,
doof,/doːf/,"deaf, dumb (not clever)",deaf,dˈɛf
dumm,/dʊm/,"dumb, silent, mute, dumb, stupid",dumm,dˈʌm
Duorp,/du̯ɔɐ̯p/,"(Westphalian, including Münsterland) village",,
Duuv,/duːv/,"dove, pigeon, Dove (constellation: Columba)",dûve,dˈiː
düster,/ˈdystə/,"dark, obscure, cheerless, melancholy, somber, of no",,
düüster,/ˈdystə/,"dark, obscure, cheerless, melancholy, somber, of no",,
ein,/ˈɛɪ̯n/,"Alternative spelling of en (“a, an”)",,
ein,/ˈɛɪ̯n/,Alternative spelling of en (“one (1)”),,
Foot,/fɔʊ̯t/,foot (anatomy),,
för,/fœ͡ɐ/,"(in some dialects, including East Frisian) for",,
för,/fœ͡ɐ/,(in some dialects) in front of,,
för,/fœ͡ɐ/,(in some dialects) in front of,,
fördem,/fœ͡ɐdeːm/,"(in some dialects) before
He wer Fischer, fördem he Suldat wer.
He was a fisher before he was a soldier.",,
fördem,/fœ͡ɐdeːm/,"(in some dialects) previously
Dat Hus, welk fördem en Hotel was.
The house which was previously a hotel.",,
fördęm,/fœ͡ɐdɛːm/,"(Mecklenburgisch, Western Pomeranian) Alternative form of fördem : before
Hei wir Fischer, fördęm hei Suldat wir.
He was a fisher before he was a soldier.",,
fördęm,/fœ͡ɐdɛːm/,"(Mecklenburgisch, Western Pomeranian) Alternative form of fördem : previously
Dat Hus, weck fördęm ein Hotel was.
The house which was previously a hotel.",,
Füer,/fyːr/,fire,fiur,fˈɪɜː
gahn,/ɡɔːn/,"(intransitive) to go, (intransitive) to walk, (transitive)",,
geel,/ɡeːl/,"(in several dialects, including Low Prussian) yellow",,
Giesel,/ˈɡiːzəl/,hostage,,
grag,/ɣɾɒːx/,"(Mecklenburgisch, Western Pomorania, Eastern Pomorania)",,
