L2_orth,L2_ipa,L2_gloss,L2_etym
Afrilu,ˈeɪpɹəl,April,April
Agusta,ˈɔːɡəst,August,August
Ailan,ˈaɪɚlənd,Ireland (a country in Europe),Ireland
akasidan,ˈæksɪdənt,automobile accident,accident
amsa,ˈænsɚ,"answer, response, Synonym: jawabi",answer
asibiti,hˈɑːspɪɾəl,"hospital, clinic",hospital
awa,ˈaʊɚ,"hour, Synonym: sa'a",hour
bal,bˈɔːl,ball,ball
balas,bˈæləns,"(financial) balance, payment due for work done",balance
bas,bˈʌs,bus,bus
basukur,bˈaɪsɪkəl,bicycle,bicycle
batir,bˈæɾɚɹi,"battery (for a car or flashlight), Synonym: (Niger)",battery
bedi,bˈɛd,flowerbed,bed
bel,bˈɛlt,"belt, seatbelt",belt
bil,bˈɪl,"bill, invoice",bill
birgediya,bɹˌɪɡɐdˈɪɹ,brigadier (military rank),brigadier
Birtaniya,bɹˈɪtən,United Kingdom (a country in Europe),Britain
biya,bˈɪɹ,"(obsolete) beer, Synonym: giya",beer
biza,vˈiːzə,visa,visa
boca,vˈaʊt͡ʃɚ,financial voucher,voucher
boko,bˈʊk,"fraud, deceit, trick, a mock or imitation version of",book
Bosniya,bˈɑːsniə,Bosnia,Bosnia
boyi,bˈɔɪ,"houseboy, male domestic servant",boy
buroka,bɹˈoʊkən ˈɪŋɡlɪʃ,Nigerian Pidgin,broken (English)
cata,t͡ʃˈɑː͡ɹɾɚ,charter,charter
coci,t͡ʃˈɜːt͡ʃ,"church, Synonym: màjāmi'ā̀",church
daimon,dˈaɪəmənd,diamond,diamond
diflomasiyya,dɪplˈoʊməsi,diplomacy,diplomacy
dina,dˈɪnɚ,dinner party,dinner
Disamba,dᵻsˈɛmbɚ,December,December
dokta,dˈɑːktɚ,doctor (used as a title for someone with a doctorate),doctor
eka,ˈeɪkɚ,acre,acre
Fabrairu,fˈɛbɹuːˌɛɹi,February,February
fam,pˈaʊnd,"pound (currency used in the UK, obsolete in Nigeria),",pound
fasa'ofis,pˈoʊst ˈɑːfɪs,post office,post office
fasfo,pˈæspoː͡ɹt,passport,passport
fasinja,pˈæsɪnd͡ʒɚ,"passenger, Synonym: (Niger) pasaje",passenger
feda,pˈɛdəl,pedal (of a bicycle),pedal
fensir,pˈɛnsəl,pencil,pencil
filas,flˈæsk,"thermos, flask",flask
Filato,plætˈoʊ,Plateau State (a state of Nigeria),plateau
firamare,pɹˈaɪmɚɹi,primary school,primary
gam,ɡˈʌm,"glue, paste",gum
gazet,ɡəzˈɛt,gazette,gazette
giris,ɡɹˈiːs,"grease, Synonym: mai",grease
giya,ɡˈɪɹ,gear,gear
giya,ɡˈɪɹ,gear,gear
goba,ɡwˈɑːvə,guava,guava
gurnet,ɡɹənˈeɪd,hand grenade,grenade
gwal,ɡˈoʊld,"gold, Synonym: zinari",gold
Gwalkwas,ɡˈoʊld kˈoʊst,(historical) Gold Coast (colonial name of modern Ghana),Gold Coast
