L2_orth,L2_ipa,L2_gloss,L2_etym
abdusen,ɐbdˈuːsənt,"(anatomy) abducent, that which abducts., Antonym: adusen",abducent
abstain,ɐbstˈeɪn,"to abstain:, (politics) to deliberately refrain from",abstain
adegan,ɐdˈɛɡən,The appearance of a new character or a change in arrangement,adegan
adiwira,ˈædi,"(rare) superhero, Synonym: pahlawan super",adi-
adolesens,ˌædəlˈɛsəns,"(medicine, psychology) adolescence., Synonym: remaja",adolescence
aerosol,ˈɛɹoʊ,"(chemistry, physics) aerosol.",aero-
aerosolisasi,ˈɛɹoʊ,"aerosolisation, aerosolization.",aero-
afogato,ɐfəɡˈɑːɾoʊ,affogato: a drink or dessert (especially ice-cream),affogato
agnostisisme,ˈæɡnəstˌɪsɪsmi,(sociology) agnosticism.,agnosticisme
aileron,ˈeɪlɚɹən,aileron,aileron
akademik,ˌækədˈɛmɪk,"academic, Synonym: akademis",academic
akar,ˈækɑː͡ɹ,"root, (literally) The part of a plant, generally underground,",akar
akrobatik,ˌækɹəbˈæɾɪk,"acrobatic, Synonym: akrobatis",acrobatic
akromion,ækɹˈoʊmiən,(anatomy) acromion.,acromion
akses,ˈæksɛs,"access:, a way or means of approaching or entering;",access
aksesori,ɐksˈɛsɚɹi,accessory.,accessory
akson,ˈæksɑːn,"(anatomy) axon, a nerve fibre which is a long slender",axon
akting,ˈæktɪŋ,"(drama, colloquial) acting, the act of performing a",acting
aktual,ˈækt͡ʃuːəl,"actual, existing in reality, not just potentially;",actual
akuafaba,ˌækwɐfˈɑːbə,(cooking) aquafaba.,aquafaba
akuntan,ɐkˈaʊntənt,accountant.,accountant
akuntansi,ɐkˈaʊntənsi,accounting: the development and use of a system for,accountancy
alter,ˈɔltɚ,"to alter, to tailor clothes to make them fit.",alter
alveolus,ˌælvɪˈoʊləs,"alveolus,, (anatomy, pulmonology) A small air sac in",alveolus
ambulatori,ˈæmbjʊlətˌoːɹi,"ambulatory, accustomed to move from place to place;",ambulatory
ambulatori,ˈæmbjʊlətˌoːɹi,"ambulatory,, (archaeology) a corridor., (medicine)",ambulatory
ammeter,ˈæmiːɾɚ,"(electricity) ammeter, amperemeter: a device that measures",ammeter
ana-,ˈɑːnə,"up, e.g. anatomi, again, e.g. analogi",ana-
anafilaksis,ˌænɐfɪlˈæksɪs,(medicine) anaphylaxis: Extreme sensitivity to a substance,anaphylaxis
antarkota,ˈæntɚ,intercity,antar-
antarmuka,ˈæntɚ,"(computing) interface,, the point of interconnection",antar-
apnea,ɐpnˈiə,(emergency medicine) apnea; apnoea.,apnea
arbitrase,ˈɑː͡ɹbɪtɹɪd͡ʒ,"(finance, trading) arbitrage, a market activity in",arbitrage
asesmen,ɐsˈɛsmənt,"(education) assessment, Synonym: penilaian",assessment
aset,ˈæsɛt,"asset:, something or someone of any value, any portion",asset
asing,ˈæsɪŋ,"foreign (from a different country), foreign (belonging",asing
astronaut,ˈæstɹənˌɔːt,"astronaut., Synonyms: angkasawan, antariksawan, kosmonaut",astronaut
atonemen,ɐtˈoʊnmənt,"(Christianity) atonement, the reconciliation of God",atonement
aura,ˈɔːɹə,"aura,, an invisible force surrounding a living creature.,",aura
autotoksin,ˌɔːɾoʊtˈɑːksɪn,(pathology) autotoxin,autotoxin
avatar,ˈævɐtˌɑː͡ɹ,"avatar,, (Hinduism) the incarnation of a deity, particularly",avatar
avtur,ˈævtɚ,jet fuel (fuel for jet planes),avtur
Azerbaijan,ˌæzɚbaɪd͡ʒˈɑːn,Azerbaijan (a country in Europe and Asia),Azerbaijan
Azerbaijan,ˌæzɚbaɪd͡ʒˈɑːn,Azerbaijani (pertaining to Azerbaijan),Azerbaijan
balot,bˈælət,"(government) a vote in election., (government) ballot,",ballot
bandana,bændˈɑːnə,bandana.,bandana
barber,bˈɑː͡ɹbɚ,(colloquial) barber a person whose profession is cutting,barber
basemen,bˈeɪsmənt,"A floor of a building below ground level; basement.,",basement
basil,bˈeɪzəl,"basil (Ocimum basilicum), Synonym: selasih",basil
basil,bˈeɪzəl,"basil (Ocimum basilicum), Synonym: selasih",basil
basket,bˈæskɪtbˌɔːl,"(sports) basketball., The particular kind of ball used",basketball
bazar,bɐzˈɑː͡ɹ,bazaar,bazaar
bazoka,bɐzˈuːkə,"(military) bazooka, a shoulder fired rocket grenade",bazooka
bek,bˈæk,"(sports, soccer) back, in some team sports, a position",back
bek,bˈæk,(obsolete) chief of a village.,back
bek,bˈæk,(obsolete) chief of a village.,back
beker,bᵻkˈɜː,"beaker, cup, chalice, Synonym: piala",beker
beker,bᵻkˈɜː,"beaker, cup, chalice, Synonym: piala",beker
bekles,bˈækləs,(colloquial) backless dress.,backless
benteng,bɛntˈɛŋ,fort: a fortified defensive structure stationed with,benteng
beranda,vəɹˈændə,"veranda, Synonyms: balkon, langkan, teras, (computing)",veranda
besikal,bˈaɪsɪkəl,"(archaic) bicycle., Synonym: sepeda",bicycle
bias,bˈaɪəs,"bias,, inclination towards something; predisposition,",bias
bintang,stˈɑː͡ɹ,"star,, (acting) An actor in a leading role., An exceptionally",star
bintang,stˈɑː͡ɹ,"star,, (printing) An asterisk (*).",star
bintang,stˈɑː͡ɹ,"star,, (acting) An actor in a leading role., An exceptionally",star
bintang,stˈɑː͡ɹ,"star,, (acting) An actor in a leading role., An exceptionally",star
bioma,bˈaɪoʊm,(ecology) biome.,biome
bisnis,bˈɪznəs,business.,business
