L2_orth,L2_ipa,L2_gloss,L2_etym,en_ipa
ᄀᆞᆫ장,[kɒnd͡ʑa̠ŋ],"soy sauce, Synonyms: 물장 (muljang), 장물 (jangmul), 국물장",,
ᄀᆞᆮ다,/kɒt̚t͈a/,"to speak, to say",,
ᄀᆞᆺ바위,/kɒt̚p͈a̠wi/,the edge of a round object,,
ᄀᆞ르,/kɒɾɨ/,"meal, flour (of wheat, etc.); powder",,
ᄀᆞ리,/kɒɾi/,"time, an occasion; the time when...",,
ᄀᆞ새,[kɔsʰɛ],scissors,,
ᄀᆞ져들이다,/kɒd͡ʑjədɨɾida̠/,"To bring in
그 문세를 ᄀᆞ져들이라.geu munsereul gawjyeodeuriraBring that document in.",,
ᄀᆞ찌,[kɒt͡ɕ͈i],"with, together",,
ᄀᆞ찌,[kɒt͡ɕ͈i],"like, in a similar way.",,
ᄁᆞ장,[k͈ɒd͡ʑa̠ŋ],"(generally) until, till, by (a time), up to",,
ᄂᆞᄆᆞᆯ,/nɒmɒɭ/,"greens, namul, herbs",,
ᄂᆞᄆᆞᆯ국,/nɒmɒɭɡuk̚/,vegetable soup,,
ᄂᆞᆷ삐,/nɔmp͈i/,"Korean radish, a variety of daikon.",,
ᄂᆞ단,/nɒda̠n/,"right, right-hand, Synonym: 오른 (oreun), Antonym: 웬",,
ᄂᆞ시,/nɒʃi/,(denoting a conclusion of an event),,
ᄂᆞ실다,/nɒʃiɭda̠/,"to sharpen the blade of a knife, sickle, or a tool.",,
ᄃᆞᆯ뱅이,/tɒɭbæŋi/,"snail, Synonym: 고능 (goneung)",,
ᄃᆞ람지,/tɒːɾa̠md͡ʑi/,bat,,
ᄄᆞᆯ,/t͈ɒɭ/,"daughter, Coordinate term: 아덜 (adeol)",,
ᄆᆞ슬,/mɒsɨɭ/,village,,
ᄆᆞ실,/mɒʃiɭ/,"village, hamlet, settlement",,
ᄇᆞᆮ,/pɒt̚/,(anatomy) womb,,
ᄇᆞᆯ끈,/pɒɭk͈ɨn/,tightly,,
ᄉᆞ수매,/sɒsumæ/,a four year-old horse,,
ᄉᆞ용ᄒᆞ다,/sɒjo̞ŋɦɒda̠/,"to use, to utilize, to employ",,
ᄉᆞ춘,/sɒt͡ɕʰun/,cousin (male or female),,
ᄋᆞᆼ진ᄋᆞᆼ진,/ɒŋd͡ʑinɒŋd͡ʑin/,grumbling,,
ᄋᆞᆼ진ᄋᆞᆼ진,/ɒŋd͡ʑinɒŋd͡ʑin/,(of a baby or a child) while crying loudly,,
ᄋᆞ동,/ɒdo̞ŋ/,child,,
ᄋᆢᄉᆞᆺ,/jɒsɒt̚/,six,,
ᄋᆢ드레,/jɒdɨɾe̞/,eight days,,
ᄋᆢ라,/jɔɾa̠/,"several, various",,
ᄌᆞᄉᆞᆨ,/t͡ɕɒsɒk̚/,a child,,
ᄌᆞᄉᆞᆯ,/t͡ɕɒsɒɭ/,(anatomy) labia minora,,
ᄌᆞ게움타다,/t͡ɕɒɡe̞umtʰa̠da̠/,to tickle,,
ᄌᆞ심히,/t͡ɕɒɕʰimhi/,in detail,,
ᄌᆞ오침,/t͡ɕɒo̞t͡ɕʰim/,compass,,
ᄎᆞᆷ웨,/t͡ɕʰɒmwe̞/,"the Korean melon, (Cucumis melo Makuwa Group) or its",,
ᄒᆞᆨ게,/hɒk̚k͈e̞/,"Alternative form of ᄒᆞᆨ교 (hawkgyo, “school”)",,
ᄒᆞᆨ교,/hɒk̚k͈jo/,school,,
ᄒᆞᆨ교마당,/hɒk̚k͈jo̞ma̠da̠ŋ/,playground; schoolyard,,
ᄒᆞ고,/hɒɡo/,"and
낭ᄒᆞ고 고장ᄒᆞᄊᆞᆯ 싱그라.nanghawgo hawssawl singgeuraPlease plant some trees and flowers.",,
ᄒᆞ곡,/hɒɡo̞k̚/,and,,
ᄒᆞ나,/hɒna/,"(parts of Jeju City, most of Seogwipo) one
Synonym: 일 (il)",,
ᄒᆞ를,/hɒɾɨɭ/,"a day, 24 hours, daytime",,
ᆢ,/jɔ/,"The Jeju letter, ᄋᆢ (yaw)",,
ㅂ,/p/,"The Jeju consonant, ㅂ.",,
ㅂ네다,/mne̞da̠/,a formal declarative suffix,,
ㅅ,/s/,"The Jeju letter, ㅅ.",,
ㅐ,/æ/,"The Jeju vowel, 애",,
가부간,/ka̠buɡa̠n/,a household; a family,,
