L2_orth,L2_ipa,L2_gloss,L2_etym,en_ipa
ກ່ຽວກັບ,/kiau˧˧ kap˦˥/,"to be connected to, have a bearing on",,
ກ່ຽວກັບ,/kiau˧˧ kap˦˥/,"about, concerning",,
ກວຽນ,/kwian˩˧/,"cart, oxcart",,
ກວ່າ,/kwaː˧˧/,"more, used after adjectives to form a comparative,",,
ກວ່າ,/kwaː˧˧/,"until, before",,
ກວ້າງ,/kwaːŋ˥˧/,"wide, spacious, expansive, vast",,
ກະດານ,/ka᷄ʔda᷅ːn/,blackboard,,
ກະຕໍ້,/ka˦˥ tɔː˥˦/,"sepak takraw, rattan ball, kick volleyball",,
ກະທິງ,/kaʔ˦˥ tʰiŋ˦˥/,"wild ox, gaur",,
ກັນຍາ,/kan˩˧ ɲaː˦˥/,"(astrology, astronomy) Virgo., (ເດືອນ~) September.",,
ກັນຍາ,/kan˩˧ ɲaː˦˥/,(literary) beautiful girl; virgin.,,
ກັບຄືນ,/kap˦˥ kʰɯːn˦˥/,to return (go back),,
ການ,/kaːn˩˧/,"work, business, mission, responsibility, duty, act,",,
ການ,/kaːn˩˧/,"(as a prefix) forming nouns from action verbs, (as",,
ການ,/kaːn˩˧/,(as a suffix) forming agent-nouns,,
ການເມືອງ,/kaːn˩˧ mɯaŋ˦˥/,politics,,
ກາບ,/kaːp˨˩/,"(botany) bract, peel, skin, rind, husk (of fruit etc.),",,
ກາບ,/kaːp˨˩/,"(poetry) ""kaap"", a type of traditional poetry",,
ກາບ,/kaːp˨˩/,"to prostrate oneself in order to show deep submission,",,
ກາບ,/kaːp˨˩/,"(poetry) ""kaap"", a type of traditional poetry",,
ກາບ,/kaːp˨˩/,"to prostrate oneself in order to show deep submission,",,
ກາບ,/kaːp˨˩/,"to prostrate oneself in order to show deep submission,",,
ກຳພູຊາ,/kam˩˨ pʰuː˦˥ saː˦˥/,Cambodia,,
ກຳແພງ,/kam˩˧ pʰɛːŋ˦˥/,(exterior or city) wall,,
ກີບ,/kiːp˨˩/,"hoof, kip (Lao currency)",,
ກົກສາຍປາຍເຫດ,[kók.sǎaj.pàaj.hèet],reason; main motivation,,
ເກືອ,/kɯa˩˨/,to feed,,
ເກືອ,/kɯa˩˨/,salt,,
ເກືອ,/kɯa˩˨/,salt,,
ເກົ່າແກ່,/kau˧˧ kɛː˧˧/,"old, ancient",,
ແກ້,/kɛ᷈ː/,to cure,,
ແກະ,/kɛʔ˦˥/,sheep,,
ໄກ່,/kāi/,chicken,,
ຂໍ,/kʰɔː˩˨/,hook,,
ຂໍ,/kʰɔː˩˨/,"to ask for, request",,
ຂໍ,/kʰɔː˩˨/,"to ask for, request",,
ຂໍ້ມູນ,/kʰɔː˨˩ muːn˦˥/,"information, data",,
ຂວາ,/kʰwaː˩˧/,"right (direction), Antonym: ຊ້າຍ (sāi)",,
ຂ້ອຍຮັກເຈົ້າ,/kʰɔːj˨˩ hak˧˧ tɕao˥˧/,I love you,,
ຂະມຸ,/kʰa˦˥ muʔ˧˧/,the Khamu,,
ຂາ,/kʰaː˩˨/,"leg (of people, animals), leg (of table etc.), leg",,
ຂ່າ,/kʰaː˧˧/,galangal,,
ຂ້າ,/kʰaː˨˩/,"slave, servant",,
ຂ້າ,/kʰaː˨˩/,"I, me (from high-status to low-status)",,
ຂ້າ,/kʰaː˨˩/,"to kill, murder, to destroy, ruin, exterminate, to",,
ຂ້າ,/kʰaː˨˩/,"to kill, murder, to destroy, ruin, exterminate, to",,
ຂ້າພະເຈົ້າ,/kʰaː˨˩ pʰa˧˧ tɕau˥˧/,"(formal) I, me",,
ຂາມ,/kʰaːm˩˨/,tamarind (tree),,
ຂີງ,/kʰiːŋ˩˨/,ginger,,
ຂົວ,/kʰua˩˨/,bridge,,
ເຂດ,/kʰeːt˨˩/,"land, field, area, region, territory, border, boundary,",,
ເຂືອຫຳມ້າ,/kʰia˩˧ ham˩˧ maː˥˧/,"aubergine, eggplant",,
ເຂົາ,/kʰao˩˨/,"mountain, hill, height",,
ເຂົາ,/kʰao˩˨/,"he, she, they, someone else",,
ເຂົາ,/kʰao˩˨/,"horn, antler",,
ເຂົາ,/kʰao˩˨/,"horn, antler",,
ເຂົ່າ,/kʰao˧˧/,(anatomy) knee,,
ເຂົ້າ,/kʰao˨˩/,to enter,,
ເຂົ້າ,/kʰao˨˩/,rice,,
ເຂົ້າ,/kʰao˨˩/,rice,,
ເຂົ້າໃຈ,/kʰao˨˩ tɕai˩˨/,to understand,,
ເຂົ້າເຊົ້າ,/kʰao˨˩ sao˥˦/,breakfast,,
ເຂົ້າຕັງ,/kʰao˨˩ taŋ˩˧/,crust of rice sticking to the bottom of the pot,,
ແຂ້ວ,/kʰɛːw˨˩/,(anatomy) tooth; fang,,
ໄຂ່,/kʰāi/,egg,,
ໄຂ້,/kʰâi/,fever,,
ໄຂ້ຍຸງ,/kʰâiɲu᷄ŋ/,malaria,,
ຄວາມ,/kʰwaːm˦˥/,"language, speech, word, sense, meaning, used in compounds",,
ຄວາມຕື່ນເຕັ້ນ,/kʰwaːm˦˥ tɯːn˧˧ ten˥˧/,excitement,,
ຄວາມບໍ່ຮູ້ໜັງສື,/kʰwaːm˦˥ bɔː˧˧ huː˥˧ naŋ˩˧ sɯː˩˧/,illiteracy,,
ຄວາມຝັນ,/kʰwɑːm.fʌn/,dream,,
ຄວາມໝາຍ,/kwaːm.maːi/,meaning,,
ຄວາມຮູ້ສຶກ,/kʰwaːm˦˥ huː˥˧ sɯk˦˥/,"feeling, sensation, impression",,
ຄອບຄົວ,/kʰɔːp˥˧ kʰua˦˥/,family,,
ຄອມມູນິດ,/kʰɔːm˦˥ muː˦˥ nit˧˧/,communism,,
ຄະນະ,/kʰa˧˧ na˧˧/,"group, party, department, faculty",,
ຄັກ,/kʰāk/,"clearly, truly, certainly",,
ຄັກ,/kʰāk/,well-done,,
ຄັນ,/kʰan˦˥/,to scratch oneself,,
ຄັນ,/kʰan˦˥/,"(mainly in compounds) handle, grip",,
ຄັນ,/kʰan˦˥/,"of objects with handles; umbrellas, cutlery, ploughs",,
ຄັນ,/kʰan˦˥/,pregnancy,,
