L2_orth,L2_ipa,L2_gloss,L2_etym,en_ipa
6tus,/ˈsek.stus/,Alternative form of sextus: 6th.,,
7mus,/ˈsep.ti.mus/,Alternative form of septimus: 7th.,,
8vus,/okˈtaː.u̯us/,"Abbreviation of octāvus.
1513,  Rolls of Parliament, to Supply the Deficiencies in the Journals of the House of Lords, page i:Rotulus Parliamenti prorogati uſque quartum diem Novembris, Anno Regni Regis Henrici 8vi Quarto; et poſtea de die in diem uſque 20mum diem Decembris ex tunc prox. ſequen. continuat. et ex tunc uſque 7m diem Novembris prox. ſequen. prorogat.(please add an English translation of this quote)",,
A,/aː/,(sometimes with littera) The first letter of the Latin,,
Aaron,/ˈa.a.roːn/,Aaron (biblical figure),,
ab,/ab/,"(indicating ablation): from, away from, out of, (indicating",*ab,ˈæstɚɹˌɪsk ˈæb
Ababa,/ˈa.ba.ba/,A female given name: the Alan mother of the late Roman,,
Abacaenum,/a.baˈkae̯.num/,A city in Sicily situated between Tyndaris and Mylae,,
abacino,/aˈba.ki.noː/,"I make blind, blind, remove the power of sight, especially",,
abacinus,/a.baˈkiː.nus/,of or pertaining to a mosaic,,
abactius,/aˈbaːk.ti.us/,stolen (especially of cattle),,
abactor,/aˈbaːk.tor/,"A cattle thief; abactor or rustler., c. 125 CE – 180",,
abactus,/aˈbaːk.tus/,"driven away, stolen, having been driven away (especially",,
abactus,/aˈbaːk.tus/,"The act of driving away, robbing (especially of cattle).,",,
abactus,/aˈbaːk.tus/,"nominative plural of abāctus, genitive singular of",,
Abacuc,/ˈa.ba.kuːk/,Habakkuk (book and prophet),,
abaculus,/aˈba.ku.lus/,"abaculus, c. 77 CE – 79 CE, Pliny the Elder, Naturalis",,
abacus,/ˈa.ba.kus/,"square board, sideboard, 70 BCE, Cicero, In Verrem",,
Abaddon,/aˈbad.doːn/,"(Late Latin) the name of the angel of Tartarus, ante",,
Abae,/ˈa.bae̯/,"a town of Phocis situated near the borders with Locris,",,
Abaesamis,/aˈbae̯.sa.mis/,"A town in Arabia, mentioned by Pliny",,
abaestuo,/aˈbae̯s.tu.oː/,"(intransitive) I hang down richly, wave down richly.,",,
abaeto,/aːˈbae̯.toː/,"I depart, leave, go away., c. 189 BCE, Plautus, Truculentus",,
abagmentum,/a.baɡˈmen.tum/,A way or means for inducing or procuring an abortion.,,
Abali,/ˈa.ba.liː/,A tribe of India mentioned by Pliny,,
Abali,/ˈa.ba.liː/,"nominative plural of Abalus, genitive singular of Abalus,",,
abalienatio,/a.ba.li.eːˈnaː.ti.oː/,a legal transfer of property,,
abalieno,/a.ba.liˈeː.noː/,"I make alien from someone, alienate (from), estrange,",,
abalietas,/a.baˈli.e.taːs/,"(Medieval Latin, philosophy) The dependence of one's",,
Aballaba,/aˈbal.la.ba/,"A Roman fortification in north-west Cumbria, on Hadrian's",,
Aballava,/aˈbal.la.u̯a/,Alternative form of Aballaba,,
Abalus,/ˈa.ba.lus/,"an island off the coast of Germany, upon which amber",,
abambulo,/aˈbam.bu.loː/,"(intransitive) I go away, walk away, leave, depart.,",,
abamita,/aˈba.mi.ta/,(Late Latin) a sister of a great-great-grandfather,,
abanet,/ˈa.ba.neːt/,"(Judaism) abnet, 386–400 CE, Saint Jerome, Epistulae",,
abaneth,/ˈa.ba.neːtʰ/,Alternative spelling of abanēt,,
abannatio,/a.banˈnaː.ti.oː/,"(Medieval Latin) The act of banishing, banishment.",,
abante,/aˈban.te/,"(Late Latin) before, in front",,
abante,/aˈban.te/,from before,,
Abanteus,/a.banˈteː.us/,of or pertaining to Abas,,
Abantius,/aˈban.ti.us/,"of or pertaining to the land of Abas, Abantian, that is Euboean (led by Abas, the Abantians or Abantes migrated to the island of Euboea)",,
abarceo,/aˈbar.ke.oː/,"I keep away, ward off.",,
abascantus,/a.basˈkan.tus/,unenvied,,
Abasci,/aˈbas.kiː/,A Scythian tribe which dwelt in Colchis,,
Abasci,/aˈbas.kiː/,genitive singular of Abascus,,
Abasci,/aˈbas.kiː/,genitive singular of Abascus,,
Abascus,/aˈbas.kus/,A river that flows through the territory of the Abasci,,
Abasgi,/aˈbas.ɡiː/,Alternative form of Abascī,,
abavia,/aˈba.u̯i.a/,(Late Latin) mother of a great-grandfather or of a,,
abavunculus,/a.baˈu̯un.ku.lus/,(Late Latin) great-great-granduncle,,
abavus,/ˈa.ba.u̯us/,a great-great-grandfather,,
abax,/ˈa.baks/,Alternative form of abacus,,
