L2_orth,L2_ipa,L2_gloss,L2_etym
acs,ˈæstɚɹˌɪsk ˈæk,"(anatomy) eye (organ of vision), zilas, brūnas, melnas",*ak-
AIDS,ˈeɪdz,"AIDS, AIDS ir saīsināts jaunās slimības nosaukums (no",AIDS
airis,ˈæstɚɹˌɪsk ˈɛɹ,"oar, paddle (an instrument for rowing a boat), divi",*air-
alumīnijs,ɐlˈuːmɪnə,"aluminum (chemical element, a light, silvery metal,",alumina
alus,ˈæstɚɹˌɪsk lˈuː,beer (alcoholic beverage usually made with barley malt,*álu
Anglija,ˈæŋɡliz,"England, a country of the United Kingdom, Anglijas",anglis
anglis,ˈɪŋɡlɪʃ,"an Englishman, a man born in England, (genitive plural):",English
anglisks,ˈæŋɡliz,English (relating to the English language; relating,anglis
apse,ˈæstɚɹˌɪsk ˈæps,"aspen tree (esp. Populus tremula), apses koksne ― aspen",*apse
astoņi,ˈæstɚɹˌɪsk ɐ t͡ʃˈuːoʊ,"eight (the cipher, the cardinal number eight), skaitīt",*aštuo-
baltkrievs,bˈɔlts,"a Belarusian, a Belarusian man, a man from Belarus,",balts
bebrs,ˈæstɚɹˌɪsk bˈiː bˈiːɹˈuːz,"beaver (rodent of genus Castor, especially Castor fiber),",*bʰébʰrus
biedrs,bˈiːdrz,"(male) colleague, mate, comrade (a person with whom",biedrs
bole,bˈoʊl,"(dated sense) a bowl for making punch, Bowle: bole",bowl
bulta,bˈoʊlt,"arrow (long, thin projectile to be shot with a bow",bolte
bārda,ˈæstɚɹˌɪsk bˈɑː͡ɹdə,(anatomy) beard (hair that grows on the cheeks and,*bardā́ˀ
bēbis,bˈeɪbi,"(colloquial) a baby, an infant or a toddler, Bebijs",baby
bērns,ˈæstɚɹˌɪsk bˈɜːnz,child (boy or girl up to approximately 14 years of,*berns
bērzs,ˈæstɚɹˌɪsk bˈɜː,"birch tree (gen. Betula), bērza lapa, malka, tāss ―",*berž-
ciems,ˈæstɚɹˌɪsk ˈaɪm,"village, settlement (small group of houses that forms",*ḱeym-
darbs,ˈæstɚɹˌɪsk dˈɑː͡ɹbəz,"work (noun), job, business",*dar-bas
desa,ˈæstɚɹˌɪsk də,sausage (meat product made of ground meat and seasonings,*deš-
deviņi,ˈæstɚɹˌɪsk dˈuːɪn,"nine (the cipher, the cardinal number nine), skaitīt",*dewin-
dobs,ˈæstɚɹˌɪsk dˈoʊbəs,"hollow (empty inside), dobs stiebrs ― hollow trunk,",*dobus
dvielis,dwˈiːl,"towel (small piece of cloth used for drying one's body,",dwele
dvīnis,ˈæstɚɹˌɪsk dˌiːdˈʌbəljˌuː,(male) twin (a boy born together with another child,*dwís
dzimt,ˈæstɚɹˌɪsk ɡˈɪm,to be born (to separate physically from the body of,*gim-
dzīvot,dˈiːzˈɪvz,"(of living beings) to live, to be alive (to exist biologically),",dzīvs
dzīvs,ˈæstɚɹˌɪsk d͡ʒˈɪw,"(of people, animals) living, alive (that which lives),",*gīˀwás
dēls,ˈæstɚɹˌɪsk də,"son (a male child, in relation to his parents), dēls",*dē-
folklora,fˈoʊkloː͡ɹ,"folklore (tales, legends and other oral tradition items",folklore
gnīda,ˈæstɚɹˌɪsk nˈaɪ dˈɑː,"nit (lice eggs), gnīdas matos ― nits in the hair, galvas",*gnī́ˀdāˀ
govs,ˈæstɚɹˌɪsk d͡ʒˈiː ˈoʊvɪs,"cattle (bovines in general, syn. liellops), govju ferma",*gùovis
gredzens,ˈæstɚɹˌɪsk ɡɹˈɛɡz,ring (round piece of metal worn around the finger as,*gregs
gribēt,ˈæstɚɹˌɪsk ɡɹˈeɪb,"to want (to feel the need for something, to desire",*greyb-
iet,ˈæstɚɹˌɪsk ˈaɪɾeɪ,"3rd person singular present indicative form of iet,",*eitei
iet,ˈæstɚɹˌɪsk ˈaɪɾeɪ,"to go, to walk (to displace oneself by walking), iet",*eitei
kalns,ˈæstɚɹˌɪsk kˈæl,"mountain, hill",*kal-
kaķis,kˈækiz,"domestic cat (Felis silvestris catus), melns kaķis",kaķis
kija,kjˈuː,"(sports, billiards, snooker) cue (long stick with a",cue
kivi,kˈiːwiː,kiwi bird (a flightless bird (genus Apteryx) found,kiwi
klons,klˈoʊn,clone (a living organism that originated from a single,clone
klons,klˈoʊn,clone (a living organism that originated from a single,clone
kurt,ˈæstɚɹˌɪsk kˈɜː,"to light, to ignite (to make something start burning",*kur-
kvieši,ˈæstɚɹˌɪsk kˈeɪvˌiːətˈiz,"wheat (esp. Triticum aestivum), kviešu milti ― wheat",*kvietis
