L2_orth,L2_ipa,L2_gloss,L2_etym
आफ्रिका,ˈæfɹɪkə,Africa,Africa
इंगलंड,ˈɪŋɡlənd,England,England
ओहायो,oʊhˈaɪoʊ,Ohio,Ohio
कीबोर्ड,kˈiːboː͡ɹd,keyboard,keyboard
चॉकलेट,t͡ʃˈɑːklət,chocolate,chocolate
टिकाव,pˈɪkæks,"pickaxe, Synonym: कुदळ (kudaḷ)",pickaxe
टिकाव,pˈɪkæks,"pickaxe, Synonym: कुदळ (kudaḷ)",pickaxe
ट्रेन,tɹˈeɪn,"train, Synonym: आगगाडी (āggāḍī)",train
तिजोरी,tɹˈɛʒɚɹi,"vault, safe or strongbox for storing valuables",treasury
पिझ्झा,pˈiːtsə,pizza (baked Italian dish),pizza
पॅरिस,pˈæɹɪs,Paris (the capital and largest city of France),Paris
फ्रान्स,fɹˈæns,France,France
ब्राझील,bɹɐzˈɪl,Brazil (a country in South America),Brazil
सव्हाना,sɐvˈænə,"Savannah (a city in Georgia, United States)",Savannah
