L2_orth,L2_ipa,L2_gloss,L2_etym,en_ipa
abdomenn,/abdomɛn/,"abdomen, the part of the body of a vertebrate containing",,
abes,/abese/,Medial form of abese,,
abese,/abese/,"to demean oneself, belittle, abase, denigrate, humiliate,",,
abime,/abime/,"to damage, to spoil, Synonyms: andomaze, gate, ruine",,
adverb,/advɛːb/,adverb,,
adverbial,/advɛːbjal/,adverbial,,
Afgan,[afɡɑ̃],an Afghan,,
afgan,[afɡɑ̃],any of the languages native to Afghanistan.,,
afgan,[afɡɑ̃],Afghan,,
Afganistan,[afɡanistɑ̃],Afghanistan (a country in Asia),,
agrikilter,[aɡʁikiltɛː],"One that does agriculture; a planter, Synonym: planter",,
agrikiltir,[aɡʁikiltʃiːə],agriculture,,
aja,/adʒa/,"grandfather, Synonym: granper",,
aji,/adʒi/,"grandmother, Synonym: granmer",,
akseptab,/akseptab/,"acceptable., Synonym: tolerab",,
akseptabilite,/akseptabilite/,acceptability,,
akseptans,/akseptɑ̃s/,acceptance,,
aksepte,/aksepte/,to accept.,,
Albane,[albane],an Albanian,,
albane,[albane],the Albanian language,,
albane,[albane],Albanian,,
Albani,[albani],Albania (a country in Europe),,
alvida,/alvida/,"goodbye, Synonyms: orevwar, bye",,
Alzeri,[alzeʁi],Algeria (a country in Africa),,
Alzerien,[alzɛːjɛ̃],an Algerian,,
alzerien,[alzɛːjɛ̃],the Algerian Arabic language,,
alzerien,[alzɛːjɛ̃],Algerian,,
amize,/amize/,"to amuse, to entertain, to have fun, to enjoy oneself",,
anba,/ɑ̃ba/,"downstairs, Antonym: lao",,
anba,/ɑ̃ba/,"downstairs, Antonym: lao",,
anba,/ɑ̃ba/,"under; below; underneath, Antonyms: lao, lor",,
andomaze,/ɑ̃domaze/,"to damage, Synonyms: abime, gate",,
andomazman,/ɑ̃domazmɑ̃/,"damage, Synonym: dega",,
Andor,[ɑ̃doː],Andorra (a country in Europe),,
Andoran,[ɑ̃doʁɑ̃],an Andorran,,
andoran,[ɑ̃doʁɑ̃],Andorran,,
Angola,[ɑ̃ɡola],Angola (a country in Africa),,
Angole,[ɑ̃ɡole],an Angolan,,
angole,[ɑ̃ɡole],Angolan,,
anons,/anɔ̃s/,"announcement, advertisement, Synonyms: piblisite, reklam",,
anons,/anɔ̃s/,Medial form of anonse,,
anonse,/anɔ̃se/,to announce,,
antere,[ɑ̃teʁe],to bury; inter,,
