L2_orth,L2_ipa,L2_gloss,L2_etym,en_ipa
burcgrave,/burkɡraːvə/,burgrave,,
durchliuhten,/durçˈlyːçten/,"fill with light, shine through (transitive), shine",,
ewe,/ˈeː.wə/,"law, eternity, marriage",ēwa,jˈuːə
grave,/ɡraːvə/,"count, local judge",,
göu,/ɡøy/,"shire, district",,
göugrave,/ɡøyɡraːvə/,"a count of a district, local judge",,
nebelvinster,/ˈnɛ.bəlˌvin.s̠tər/,"(poetic) pitch-dark, c. 1100–1125, Ezzolied (Vorauer",,
riche,/ˈriːxɛ/,rich,*rīkī,ˈæstɚɹˌɪsk ɹˈɪki
riche,/ˈriːxɛ/,"empire, kingdom, realm",*rīkī,ˈæstɚɹˌɪsk ɹˈɪki
riche,/ˈriːxɛ/,"Joseph Wright, 'An Old High German Primer, Second Edition',",*rīkī,ˈæstɚɹˌɪsk ɹˈɪki
riche,/ˈriːxɛ/,"empire, kingdom, realm",*rīkī,ˈæstɚɹˌɪsk ɹˈɪki
riche,/ˈriːxɛ/,"Joseph Wright, 'An Old High German Primer, Second Edition',",*rīkī,ˈæstɚɹˌɪsk ɹˈɪki
schuole,/ˈs̠xuo̯.lə/,school,,
stahel,/ˈɕtaxɛl/,steel,,
steter,[ˈʃteter],"city-dweller, urbanite (person who lives in a city)",,
swert,/ɕwɛrt/,sword,swert,swˈɜːt
sælic,/ˈsɛːlik/,"happy, joyful, blessed, blissful, c. 1250, Gottfried",,
wazzer,/ˈʋɑs̄.s̄ər/,water,,
wir,/wir/,we: nominative plural of ich,,
zedel,/ˈt͡sɛ.dəl/,"strip of paper, 1314 ein niuwe zedel lanc nam sie ûȥ",,
überganc,/ybərɡank/,"crossing, transition",,
