L2_orth,L2_ipa,L2_gloss,L2_etym,en_ipa
ach,/ɑx/,oh (an expression of grievance or displeasure),,
achten,/axtən/,"to proscribe, to take care about, to respect, to mind",,
afleggen,/afˈleɡːən/,"to put down, to lay down, to give up",,
afwaschen,/afˈwaskən/,"to wash away, to wipe out",,
afwolteren,/afwœltərən/,"to shift, to roll back",,
andenken,/andeŋkən/,"to think about, to consider",an-,ˈæn
andrucken,/anˈdrʏkːən/,"to press down, to press into something",,
aneval,/aːnəfal/,"event, occurrence, accident, seizure, attack",,
angan,/anɣɒːn/,to approach,,
anleggen,/anˈleɡːən/,to impose (+ dat.),,
asche,/askə/,ash,,
assel,/asːəl/,"armpit, shoulder",,
avent,/ɒːvənt/,"evening, the day before an event, especially a holiday",,
aventure,/æːvəntyːrə/,Alternative form of êventü̂re.,,
be-,/bə-/,Makes an intransitive verb transitive or denotes that,,
beden,/beːðən/,to offer,,
bedriven,/bəˈdriːvən/,"to drive cattle, to work a piece of land by using cattle,",,
beschriven,/bəˈskriːvən/,"to write down, to note, to mark, Unde alse id in vortiden",,
bescriven,/bəˈskriːvən/,Alternative form of beschrîven.,,
binden,/bɪndən/,to bind,,
bok,/boːk/,"book, beechnut",,
bruken,/bruːkən/,"to use, utilise, to make use of either an object or",,
buk,/buːk/,"stomach, belly, abdomen, torso, carcass (a slaughtered",,
dach,/dax/,"day, daylight, brightness",,
dake,/dɒːkə/,"fog, mist, haze",,
denken,/deŋkən/,"to think, to perceive",thenkian,θˈɛŋkiən
di,/diː/,"(second person singular dative) you, thee, (second",,
drelle,/drɛlːə/,"slave, thrall, serf",,
drepen,/dreːpən/,to drip,driopan,dɹɪˈɑːpæn
drinken,/drɪŋkən/,to drink,,
du,/duː/,"thou, you (second person singular nominative)",,
dunker,/dʊŋkər/,dark,,
ek,/ɛk/,Alternative form of ik.,,
-else,/əlzə/,"Creating a noun from a verb, denoting something on",,
et,/ɛt/,Alternative form of it.,,
eteninne,/ˈɪɛtəˌnɪnːə/,"witch, female devil or monster, (derogatory) hag, Johann",*ēten,ˈæstɚɹˌɪsk ˈɛʔn̩
eventure,/æːvəntyːrə/,"a noteworthy event, coincidence, risk, danger, story,",,
ewich,/ɛːwɪx/,"eternally, forever",,
gesank,/ɣəˈsaŋk/,Alternative form of sank.,,
gesankbok,/ɣəˈsankˌboːk/,"songbook, (specifically) hymnal, hymn book",,
geven,/ɣɪɛvən/,to give,,
gewolt,/ɣəˈwɔːlt/,"power, capacity to impose one's will, violence",,
gi,/ʝiː/,"you, ye (nominative, plural)",,
