L2_orth,L2_ipa,L2_gloss,L2_etym,en_ipa
აბუნტება,/abuntʼɛba/,"uprising, revolt, rebellion, დუნგანეფიშ აბუნტებაdunganepiš",,
აბუნტება,/abuntʼɛba/,"to revolt, to rebel, to rise, 1857 წანას კავკასიურ",,
აგვარა,/aɡvara/,"animal farm, cowshed, cowhouse, მიდიონი ჩხოუ აგვარაშა!midioni",,
ბაბა,/bɑbɑ/,father,,
გური,/ɡuri/,"heart, middle, core part of something (such as fruit),",,
დიდი,/didi/,"big, large",,
დღა,/dɣɑ/,"day, Synonyms: დღაბი (dɣabi), დღაბე (dɣabe)",,
ვარი,/vari/,"or
ვარი მუ ქიმინასჷ?vari mu kiminasə?Or what should he do?",,
ვიკიპედია,/vikʼipʼɛdia/,Wikipedia,Wikipedia,wˌɪkipˈiːdiə
ზისხირი,/zisxiri/,blood,,
თი,/tʰi/,"family, house, residence, abode, homestead, home",,
თი,/tʰi/,"he, she, it (third-person singular personal pronoun)",,
თოლი,/tʰɔli/,"eye, ფერი სერი რდუ, თოლიშა კინთი ვემიღინედუperi seri",,
თუდოლე,/tʰudole/,"under, underneath",,
კოკობე,/kˈɔkˈɔbɛ/,partridge,,
კოღო,/kʼɔɣɔ/,"mosquito, Synonyms: კვაღანა (ḳvaɣana), კოღონა (ḳoɣona)",,
კოღონა,/kˈɔɣɔnɑ/,mosquito,,
მარგალი,/mɑrɡɑli/,Mingrelian (person),,
მუქთა-ხორა,/mukʰtʼa xɔra/,"parasite, idler, loafer",,
ობახე,/obɑxɛ/,passage in a wattle fence,,
პატონი,/pʼɑtʼɔni/,"(historical) the master of a feudal manor, (Often as",,
პურასკია,/pʼuraskʼia/,leek,,
საქორთუო,/sɑkʰɔrtʰuɔ/,Georgia (a country in the Caucasus),,
ტვენი,/tˈvɛni/,brain,,
ტორონჯი,/tʼɔrɔndʒi/,"pigeon, dove",,
ქვირი,/kʰviri/,flour,,
ქირი,/kʰiri/,hawk,,
ქირი,/kʰiri/,Alternative form of ქვირი (kviri),,
ქირი,/kʰiri/,Alternative form of ქვირი (kviri),,
ღუმა,/ɣumɑ/,last night,,
ჩხუპი,/tʃxupʼi/,"dispute, conflict, war, Synonym: ლიმა (lima)",,
ჩხუპი,/tʃxupʼi/,"to quarrel, to argue, მა ვიჩხუპი თიწკუმა.ma vičxuṗi",,
ჭუმე,/tʃʼumɛ/,tomorrow,,
ხუტოლი,/xutˈoli/,"hug, embrace",,
