L2_orth,L2_ipa,L2_gloss,L2_etym
bai',wˈɪn,wine,wīn
baib,wˈɪp,"woman, Coordinate term: mònn",wīp
balsch,wˈɛlɪsk,"Italian (of Italy, its people or its culture)",welisc
balsch,wˈɛlɪsk,Italian (language),welisc
bint,wˈɪnt,wind,wint
bòlt,wˈɔlt,"wood, woodland (land covered by trees)",walt
bòsser,wˈæzɚ,water,wazzer
hilf,hˈɛlf,"help, aid",helfe
holz,hˈɑːlz,wood,holz
hònt,hˈænt,hand,hant
jor,d͡ʒˈɑː͡ɹ,year,jār
khòlt,kˈɔlt,cold,kalt
milch,mˈɪlt͡ʃ,milk,milch
mònn,mˈæn,"man (male human being), Coordinate term: baib",man
òlt,ˈɑːlt,old,alt
silber,sˈɪlbɚ,silver (metal),silber
tol,tˈæl,valley,tal
vèlt,vˈiː ˌɛltˈiː,"field, countryside",vëlt
visch,vˈɪʃ,fish,visch
volng,vˈɑːld͡ʒən,to follow,volgen
