L2_orth,L2_ipa,L2_gloss,L2_etym
अगस्ट,ˈɔːɡəst,August,August
अङ्ग्रेजी,ˈɪŋɡəl,English language,inglês
अमेरिकन,ɐmˈɛɹɪkən,american,American
अमेरिकन,ɐmˈɛɹɪkən,American (person),American
अमेरिका,ɐmˈɛɹɪkə,"America, United States of America (a country in North",America
आइस्ड,ˈaɪst,iced,iced
इंडिया,ˈɪndiə,India (a country in South Asia),India
कफी,kˈɔfi,coffee,coffee
कापी,kˈɑːpi,notebook,copy
कार,kˈɑː͡ɹ,car,car
क्लास,klˈæs,class (lesson),class
गूगल,ɡˈuːɡəl,Google,Google
चक,t͡ʃˈɔːk,chalk,chalk
चिज,t͡ʃˈiːz,cheese,cheese
चिज,t͡ʃˈiːz,cheese,cheese
चीज,t͡ʃˈiːz,cheese,cheese
चीज,t͡ʃˈiːz,cheese,cheese
डच,dˈʌt͡ʃ,Dutch,Dutch
डलर,dˈɑːlɚ,dollar,dollar
डाक्टर,dˈɑːktɚ,(medical) doctor,doctor
डिसेम्बर,dᵻsˈɛmbɚ,December,December
नर्स,nˈɜːs,nurse,nurse
बबल,bˈʌbəl,bubble,bubble
बस,bˈʌs,bus,bus
बस,bˈʌs,second-person mid respect singular imperative of बस्नु,bus
बस,bˈʌs,second-person mid respect singular imperative of बस्नु,bus
बस,bˈʌs,bus,bus
बस,bˈʌs,second-person mid respect singular imperative of बस्नु,bus
बस,bˈʌs,second-person mid respect singular imperative of बस्नु,bus
बस,bˈʌs,bus,bus
बस,bˈʌs,second-person mid respect singular imperative of बस्नु,bus
बस,bˈʌs,second-person mid respect singular imperative of बस्नु,bus
बस,bˈʌs,bus,bus
बस,bˈʌs,second-person mid respect singular imperative of बस्नु,bus
बस,bˈʌs,second-person mid respect singular imperative of बस्नु,bus
बस,bˈʌs,bus,bus
बस,bˈʌs,second-person mid respect singular imperative of बस्नु,bus
बस,bˈʌs,second-person mid respect singular imperative of बस्नु,bus
बस,bˈʌs,bus,bus
बस,bˈʌs,second-person mid respect singular imperative of बस्नु,bus
बस,bˈʌs,second-person mid respect singular imperative of बस्नु,bus
बस,bˈʌs,bus,bus
बस,bˈʌs,second-person mid respect singular imperative of बस्नु,bus
बस,bˈʌs,second-person mid respect singular imperative of बस्नु,bus
बस,bˈʌs,bus,bus
बस,bˈʌs,second-person mid respect singular imperative of बस्नु,bus
बस,bˈʌs,second-person mid respect singular imperative of बस्नु,bus
बस,bˈʌs,bus,bus
बस,bˈʌs,second-person mid respect singular imperative of बस्नु,bus
बस,bˈʌs,second-person mid respect singular imperative of बस्नु,bus
बस,bˈʌs,bus,bus
बस,bˈʌs,second-person mid respect singular imperative of बस्नु,bus
बस,bˈʌs,second-person mid respect singular imperative of बस्नु,bus
बस,bˈʌs,bus,bus
बस,bˈʌs,second-person mid respect singular imperative of बस्नु,bus
बस,bˈʌs,second-person mid respect singular imperative of बस्नु,bus
बस,bˈʌs,bus,bus
बस,bˈʌs,second-person mid respect singular imperative of बस्नु,bus
बस,bˈʌs,second-person mid respect singular imperative of बस्नु,bus
बस,bˈʌs,bus,bus
बस,bˈʌs,second-person mid respect singular imperative of बस्नु,bus
बस,bˈʌs,second-person mid respect singular imperative of बस्नु,bus
बस,bˈʌs,bus,bus
बस,bˈʌs,second-person mid respect singular imperative of बस्नु,bus
बस,bˈʌs,second-person mid respect singular imperative of बस्नु,bus
बस,bˈʌs,bus,bus
बस,bˈʌs,second-person mid respect singular imperative of बस्नु,bus
बस,bˈʌs,second-person mid respect singular imperative of बस्नु,bus
बस,bˈʌs,bus,bus
बस,bˈʌs,second-person mid respect singular imperative of बस्नु,bus
बस,bˈʌs,second-person mid respect singular imperative of बस्नु,bus
बाकस,bˈɑːks,"trunk, suitcase, luggage, box",box
यूरोप,jˈʊɹɹəp,Europe,Europe
लिङ्क,lˈɪŋk,link,link
वडा,wˈɔː͡ɹd,ward,ward
विकिमीडिया,wˌɪkimˈiːdiə,Wikimedia Foundation,Wikimedia
साइकल,sˈaɪkəl,"bicycle, bike",cycle
सेप्टेम्बर,sɛptˈɛmbɚ,September,September
हाइड्रोजन,hˈaɪdɹəd͡ʒən,hydrogen,hydrogen
होटल,hoʊtˈɛl,hotel,hotel
