L2_orth,L2_ipa,L2_gloss,L2_etym,en_ipa
abone,/ɑːboːˈnɛ/,subscriber,,
aborî,/ɑːboːˈɾiː/,economic,,
aborî,/ɑːboːˈɾiː/,economy,,
aborînas,/ɑːboːɾiːˈnɑːs/,economist,,
aborînasî,/ɑːboːɾiːnɑːˈsiː/,economics,,
absans,/ɑːbˈsɑːns/,absence,,
adaptasyon,/ɑːdɑːptɑːsˈjoːn/,adaptation (clarification of this definition is needed),,
Adar,/ɑːˈdɑːɾ/,A male given name,,
ade,/ɑːˈdɛ/,weed,,
adilî,/ɑːdɪˈliː/,fairness,,
adrenalîn,/ɑːdɾɛnɑːˈliːn/,adrenaline,,
afirandin,/ɑːfɪɾɑːnˈdɪn/,(transitive) to create,,
afirmend,/ɑːfɪɾˈmɛnd/,creator,,
afirîner,/ɑːfɪɾiːˈnɛɾ/,creator,,
afret,/ɑːfˈɾɛt/,woman,,
afrîkansî,/ɑːfɾiːkɑːnˈsiː/,Afrikaans (language),,
agahdar,/ɑːɡɑːhˈdɑːɾ/,"informed, knowing, conscious, aware",,
agahî,/ɑːɡɑːˈhiː/,"information, notice, notification",,
agir,/ɑːˈɡɪɾ/,fire,,
agirbest,/ɑːɡɪɾˈbɛst/,ceasefire,,
agonîzm,/ɑːɡoːˈniːzm/,agonism,,
ahengsazî,/ɑːhɛŋɡsɑːˈziː/,harmonization,,
ajalnasî,/ɑːʒɑːlnɑːˈsiː/,zoology,,
ajanda,/ɑːʒɑːnˈdɑː/,planner,,
ajans,/ɑːˈʒɑːns/,agency,,
ajoname,/ɑːʒoːnɑːˈmɛ/,driver's license,,
ajotin,/ɑːʒoːˈtɪn/,"to drive, min tirimpêlek ajot. ― I drove a car, to",,
ajovan,/ɑːʒoːˈvɑːn/,driver,,
akronîm,/ɑːkɾoːˈniːm/,acronym,,
aksiyon,/ɑːksɪˈjoːn/,action,,
aktîv,[aktiːv],"beautiful
aktîv bûn ― be active
aktîv kirin ― to activate",,
aktîvîzm,/ɑːktiːˈviːzm/,activism,,
al,-al,"side, Synonyms: alî, la",,
al,-al,"flag, banner, Synonym: ala",,
al,-al,"flag, banner, Synonym: ala",,
ala,/ɑːˈlɑː/,flag (piece of cloth),,
alandin,/ɑːlɑːnˈdɪn/,to twist,,
alanîn,/ɑːlɑːˈniːn/,alanine,,
alav,/ɑːˈlɑːv/,"fire, flame",,
alegorî,/ɑːlɛɡoːˈɾiː/,allegory,,
alek,/ɑːˈlɛk/,"cheek, jowl",,
alif,/ɑːˈlɪf/,"fodder, forage, feed",,
almanî,/ɑːlmɑːˈniː/,the German language,,
almanî,/ɑːlmɑːˈniː/,German (pertaining to Germany or the Germans),,
alî,/ɑːˈliː/,"direction, course",,
alî,/ɑːˈliː/,by,,
alîgir,/ɑːliːˈɡɪɾ/,supporter,,
alîkar,/ɑːliːˈkɑːɾ/,helper,,
alîstin,/ɑːliːsˈtɪn/,to lick,,
amade,/ɑːmɑːˈdɛ/,ready,,
amadekarî,/ɑːmɑːdɛkɑːˈɾiː/,arrangement,,
ambasad,/ɑːmbɑːˈsɑːd/,embassy,,
ambûlans,/ɑːmbuːˈlɑːns/,ambulance,,
amfetamîn,/ɑːmfɛtɑːˈmiːn/,(organic chemistry) amphetamine,,
-amîn,/ɑːˈmiːn/,(organic chemistry) -amine: an amine.,,
anatoksîn,/ɑːnɑːtoːkˈsiːn/,anatoxin,,
antonîm,/ɑːntoːˈniːm/,antonym,,
antrenor,/ɑːntɾɛˈnoːɾ/,coach (trainer),,
anîlîn,/ɑːniːˈliːn/,aniline,,
Aram,/ɑːˈɾɑːm/,A male given name,,
Arjîn,/ɑːɾˈʒiːn/,A female given name,,
armanc,/ɑːɾˈmɑːnd͡ʒ/,aim,,
artêş,/ɑːɾˈteːʃ/,army,,
Arêz,/ɑːˈɾeːz/,A male given name,,
arû,/ɑːˈɾuː/,cucumber,,
arûk,/ɑːˈɾuːk/,ceiling,,
arşîv,/ɑːɾˈʃiːv/,archive,,
asanî,/ɑːsɑːˈniː/,facility,,
asetenîl,/ɑːsɛtɛˈniːl/,(organic chemistry) acetenyl,,
asparagîn,/ɑːspɑːɾɑːˈɡiːn/,asparagine,,
asteng,/ɑːsˈtɛŋɡ/,obstruction,,
astronomî,/ɑːstɾoːnoːˈmiː/,astronomy,,
Asya,/ɑːsˈjɑː/,Asia (a continent),,
asîstan,/ɑːsiːsˈtɑːn/,assistant (having a subordinate or auxiliary position),,
av,/ɑːv/,water,,
avahî,/ɑːvɑːˈhiː/,"building
Synonym: xanî",,
avbend,/ɑːvˈbɛnd/,dam,,
Avdar,/ɑːvˈdɑːɾ/,A male given name,,
avrêl,/ɑːvˈɾeːl/,April,,
avêtin,/ɑːveːˈtɪn/,to throw,,
Awaz,/ɑːˈwɑːz/,A male given name,,
axaftin,/ɑːxɑːfˈtɪn/,to talk,,
axil,/ɑːˈxɪl/,"fenced-in area for sheep or cattle, pen, corral",,
axîn,/ɑːˈxiːn/,moan,,
aymara,/ɑːjmɑːˈɾɑː/,Aymara (people),,
azad,[azaːd],free,,
azadîhez,/ɑːzɑːdiːˈhɛz/,One who loves freedom,,
azadîxwaz,/ɑːzɑːdiːxˈwɑːz/,One who wants freedom,,
azirandin,/ɑːzɪɾɑːnˈdɪn/,to incite,,
açar,/ɑːˈt͡ʃɑːɾ/,rye,,
aş,/ɑːʃ/,mill (grinding apparatus),,
aştî,/ɑːʃˈtiː/,peace,,
aşît,/ɑːˈʃiːt/,avalanche,,
ba,/bɑː/,"weather, wind",,
babirk,/bɑːˈbɪɾk/,sail,,
badegêr,/bɑːdɛˈɡeːɾ/,bartender,,
Badîn,/bɑːˈdiːn/,A male given name,,
bafûn,/bɑːˈfuːn/,aluminium,,
bager,/bɑːˈɡɛɾ/,"storm, snowstorm, blizzard",,
Bager,/bɑːˈɡɛɾ/,A male given name,,
Bahoz,/bɑːˈhoːz/,A male given name,,
bajar,/bɑːˈʒɑːɾ/,city,,
bajarok,/bɑːʒɑːˈɾoːk/,"town, borough, district",,
bajarî,/bɑːʒɑːˈɾiː/,urban,,
bakteriyo-,/bɑːktɛɾɪjoːˈ/,bacterio-,,
bakteriyolojî,/bɑːktɛɾɪjoːloːˈʒiː/,bacteriology,bacteriology,bæktˌɪɹiˈɑːləd͡ʒi
bakur,/bɑːˈkʊɾ/,north,,
balafir,/bɑːlɑːˈfɪɾ/,airplane,,
balafirgeh,/bɑːlɑːfɪɾˈɡɛh/,"airport, 2012,  “22 Kasım 2011 Basın Özetleri”, in",,
balafirvan,/bɑːlɑːfɪɾˈvɑːn/,pilot,,
balans,-ɑːns,balance (equilibrium),,
