L2_orth,L2_ipa,L2_gloss,L2_etym
aga,ˈæstɚɹˌɪsk ˈeɪɡən,(auxiliary) to have to,*aigan
age,ˈæstɚɹˌɪsk ˈɔːɡə,(anatomy) eye,*augā
ain,ˈæstɚɹˌɪsk ˈeɪɡən,own,*aigan
ak,ˈæstɚɹˌɪsk ˈɔːk,"also, too",*auk
askia,ˈæstɚɹˌɪsk ˈeɪskən,"to ask, to demand",*aiskōn
athum,ˈæstɚɹˌɪsk ˌeɪˈaɪ,son-in-law,*aiþum
bam,ˈæstɚɹˌɪsk bˈaʊm,"tree, bench, seat",*baum
bane,ˈæstɚɹˌɪsk bˈɔːnuː,bean,*baunu
ben,ˈæstɚɹˌɪsk bˈeɪn,"bone, leg",*bain
biada,ˈæstɚɹˌɪsk bjˈuːdən,"to offer, give",*beudan
bos,ˈæstɚɹˌɪsk bˈænsæz,"stall, byre",*bansaz
brad,ˈæstɚɹˌɪsk bɹˈɔːdə,bread,*braudą
ded,ˈæstɚɹˌɪsk dˈædi,deed,*dādi
dwa,ˈæstɚɹˌɪsk dˈɑːn,(transitive) to do,*dōn
en,ˈæstɚɹˌɪsk ˈeɪn,"one, ēn skilling ― one shilling",*ain
en,ˈæstɚɹˌɪsk ˈeɪn,"a, an",*ain
enich,ˈæstɚɹˌɪsk ˈeɪnɐɡˌæz,any,*ainagaz
ere,ˈæstɚɹˌɪsk ˈeɪuː,honour,*aiʀu
erm,ˈæstɚɹˌɪsk ˈɑː͡ɹm, (anatomy) arm,*arm
erm,ˈæstɚɹˌɪsk ˈɑː͡ɹm, poor,*arm
erm,ˈæstɚɹˌɪsk ˈɑː͡ɹm, poor,*arm
fa,ˈæstɚɹˌɪsk fˈɑː hˈæn,(transitive) to catch,*fą̄han
fach,ˈæstɚɹˌɪsk fˈeɪ,outlawed,*faih
famne,ˈæstɚɹˌɪsk fˈeɪmnɪd͡ʒə,"girl, lass",*faimnijā
feder,ˈæstɚɹˌɪsk fˈeɪdɚ,father,*fader
feld,ˈæstɚɹˌɪsk fˈɛl,field,*felþu
fif,ˈæstɚɹˌɪsk fˈɪmf,five,*fimf
fiuwer,ˈæstɚɹˌɪsk fjˈuːwɔː͡ɹ,four,*feuwar
flask,ˈæstɚɹˌɪsk flˈeɪski,flesh,*flaiski
gast,ˈæstɚɹˌɪsk ɡˈeɪɪst,"ghost, spirit",*gaist
ham,ˈæstɚɹˌɪsk hˈeɪm,home,*haim
har,ˈæstɚɹˌɪsk hˈɛɹæz,honourable,*hairaz
hel,ˈæstɚɹˌɪsk hˈeɪl,whole,*hail
helich,ˈæstɚɹˌɪsk hˈeɪlæɡ,holy,*hailag
her,ˈæstɚɹˌɪsk hˈɑː͡ɹ,hair,*hār
hi,ˈæstɚɹˌɪsk hˈaɪ,he,*hiʀ
hona,ˈæstɚɹˌɪsk hˈɑːnoʊ,"rooster, cock",*hanō
hond,ˈæstɚɹˌɪsk hˈænduː,(anatomy) hand,*handu
hrither,ˈæstɚɹˌɪsk ˌeɪt͡ʃˌɑː͡ɹɹˈaɪ,cattle,*hrį̄þir
hwa,ˈæstɚɹˌɪsk ˌeɪt͡ʃdˌʌbəljˌuːˈeɪ," (interrogative) who?, (relative) who, that, Synonyms:",*hwaʀ
hwa,ˈæstɚɹˌɪsk hˈɑː hˈæn, (transitive) to hang,*hą̄han
hwa,ˈæstɚɹˌɪsk hˈɑː hˈæn, (transitive) to hang,*hą̄han
ield,ˈæstɚɹˌɪsk ɡˈɛld,money,*geld
kap,ˈæstɚɹˌɪsk kˈɔːp,purchase,*kaup
ken,ˈæstɚɹˌɪsk kˈuːni,"kindred, kin",*kuni
klath,ˈæstɚɹˌɪsk klˈaɪ,"cloth, dress, (in the plural) clothes",*klaiþą
komp,ˈæstɚɹˌɪsk kˈæmp,battlefield,*kamp
kuth,ˈæstɚɹˌɪsk kˈʌn,publicly known,*kunþ
laf,ˈæstɚɹˌɪsk lˈɔːb,leaf,*laub
lare,ˈæstɚɹˌɪsk lˈeɪzoʊ,"teaching, doctrine",*laizō
lasta,ˈæstɚɹˌɪsk lˈeɪstɪd͡ʒən,(intransitive) to perform,*laistijan
leda,ˈæstɚɹˌɪsk lˈeɪdɪd͡ʒən,(transitive) to lead,*laidijan
lesa,ˈæstɚɹˌɪsk lˈɔːsɪd͡ʒən,(transitive) to redeem,*lausijan
liacht,ˈæstɚɹˌɪsk lˈuːht,"light, bright",*leuht
liaf,ˈæstɚɹˌɪsk lˈuːb,"dear, beloved",*leub
lom,ˈæstɚɹˌɪsk lɐmˈeɪz,lame,*lamaz
long,ˈæstɚɹˌɪsk lˈæŋ,long,*lang
mast,ˈæstɚɹˌɪsk mˈeɪɪst,superlative degree of grāt,*maist
mast,ˈæstɚɹˌɪsk mˈeɪɪst,most,*maist
master,ˈæstɚɹˌɪsk mˈaɪstɚ,"master, leader, commissioner",*maester
mona,ˈæstɚɹˌɪsk mˈɑːnoʊ,moon,*mānō
monath,ˈæstɚɹˌɪsk mˈɑːnoʊ,month,*mānōþ
muth,ˈæstɚɹˌɪsk mˈʌn,mouth,*munþ
ne,ˈæstɚɹˌɪsk nˈiː,not,*ne
ne,ˈæstɚɹˌɪsk nˈiː,nor,*ne
ne,ˈæstɚɹˌɪsk nˈiː,no,*ne
nei,ˈæstɚɹˌɪsk nˈeɪwə,near,*nēhw
nei,ˈæstɚɹˌɪsk nˈeɪwə,"after, according to",*nēhw
nen,nˈiː,"no, not one",ne
nen,nˈiː,"none, no-one, nobody",ne
nera,ˈæstɚɹˌɪsk nˈæd͡ʒən,"(transitive) to save, rescue",*naʀjan
noth,ˈæstɚɹˌɪsk nˈæn,"courage, daring",*nanþaz
on,ˈæstɚɹˌɪsk æn,on,*an
other,ˈæstɚɹˌɪsk æn,"other, second",*anþar
pal,pˈæl,pole,pāl
pel,ˈæstɚɹˌɪsk pˈɑːli,pole,*pāli
rad,ˈæstɚɹˌɪsk ɹˈɔːd,red,*raud
rap,ˈæstɚɹˌɪsk ɹˈeɪp,rope,*raip
setta,ˈæstɚɹˌɪsk sˈætd͡ʒən,(transitive) to set,*sattjan
sith,ˈæstɚɹˌɪsk sˈɪn,companion,*sinþ
skep,ˈæstɚɹˌɪsk skˈæp,sheep,*skāp
smel,ˈæstɚɹˌɪsk smˈæl,small,*smal
son,ˈæstɚɹˌɪsk sˌæn,soon,*sān
stef,ˈæstɚɹˌɪsk stˈæb,"staff, rod",*stab
sten,ˈæstɚɹˌɪsk stˈeɪn,stone,*stain
sterk,ˈæstɚɹˌɪsk stˈɑː͡ɹk,strong,*stark
stith,ˈæstɚɹˌɪsk stˈædɪz,strong,*stadiz
strete,ˈæstɚɹˌɪsk stɹˈɑːɾuː,street,*strātu
suth,ˈæstɚɹˌɪsk sˈʌn,south,*sunþrą
swera,ˈæstɚɹˌɪsk swˈɔː͡ɹd͡ʒən,"(transitive, intransitive) to swear",*swarjan
taker,ˈæstɚɹˌɪsk tˈeɪkɜː,brother-in-law,*taikur
tane,ˈæstɚɹˌɪsk tˈeɪhə,(anatomy) toe,*taihā
thek,ˈæstɚɹˌɪsk,"roof, (specifically) thatched roof",*þak
thiaf,ˈæstɚɹˌɪsk jˈuːb,thief,*þeub
thre,ˈæstɚɹˌɪsk ɹˈaɪ,three,*þrīʀ
thu,ˈæstɚɹˌɪsk,"thou, you (singular)",*þū
thwong,ˈæstɚɹˌɪsk wˈæŋɡi,force,*þwangi
toth,ˈæstɚɹˌɪsk tˈæn,tooth,*tanþ
trast,ˈæstɚɹˌɪsk tɹˈɔːst,"support, encouragement",*traust
twene,ˈæstɚɹˌɪsk twˈaɪ,"two, twēne skillingar ― two shillings",*twai-
us,ˈæstɚɹˌɪsk ˈʌnz,accusative/dative of wī,*uns
wasande,ˈæstɚɹˌɪsk wˈeɪsəndˌæz,"(anatomy) trachea, windpipe",*waisundaz
wena,ˈæstɚɹˌɪsk wˈænɪd͡ʒən,"(intransitive) to think, (intransitive) to hope, ween",*wānijan
wif,ˈæstɚɹˌɪsk wˈɪb,"woman, wife",*wīb
wrak,ˈæstɚɹˌɪsk ɹˈeɪhæz,crooked,*wraihaz
