L2_orth,L2_ipa,L2_gloss,L2_etym,en_ipa
آرمود,/arˈmud/,pear (fruit),,
آهنك,/aːheɲc/,harmony,,
آو,[av],"hunting, chase, game, prey, what is subject to hunting,",,
آوجی,[avˈd͡ʒɯ],"hunter, huntsman",,
آیوا,[ajˈva],"quince, Synonym: سفرجل‎ (sefercel)",,
ابریق,[ib.ˈɾik],"ewer, ibrik, pitcher",,
ارغات,/ɯɾˈɡat/,"labourer, manual worker, capstan, windlass, winch",,
ارمنی,[ɛɾ.mɛ.ˈni],Armenian,,
ارمنی,[ɛɾ.mɛ.ˈni],Armenian (person),,
اسن,[esen],"healthy, well, sound, robust",,
اكمك,/ɛcˈmɛc/,bread,,
اكمك,/ɛcˈmɛc/,"to sow, to plant by strewing, to sprinkle",,
اكمك,/ɛcˈmɛc/,"to sow, to plant by strewing, to sprinkle",,
الما,[el.ˈmɑ],apple (fruit),,
اولك,/ɛβˈlɛc/,"furrow, a square measure that is 1⁄4 of a دونم‎ (dönüm),",,
اوچ,/ʏt͡ʃ/,three (3),,
اوچر,/ʏˈt͡ʃɛɾ/,distributive of اوچ‎ (üç): three each,,
ایغرب,[ɯɡˈɾɯp],"seine, a kind of fishing-net, trick, ruse, stratagem",,
ایكی,/iki/,two,,
ایكیشر,/iciˈʃɛɾ/,distributive of ایكی‎ (iki): two each,,
بادام,[bɑˈdɑm],almond,,
بالدران,/bɑɫdɯˈɾɑn/,poison hemlock (Conium maculatum),Baldrian,bˈɔːldɹiən
بالطه,/bɑl.tɑ/,"ax, axe",,
بربر,/bɛrˈbɛɾ/,"barber, Synonyms: پروكار‎ (perukâr), صاچ كسن‎ (saç",,
بربر,/bɛrˈbɛɾ/,"Berbers, inhabitants of the Barbary",,
بربر,/bɛrˈbɛɾ/,"Berbers, inhabitants of the Barbary",,
برر,/biˈɾɛɾ/,"distributive of بر‎ (bir): one each, one apiece",,
بشر,/bɛˈʃɛɾ/,distributive of بش‎ (beş): five each,,
بغدانلی,[bɔɣ.dɑn.ˈɫɯ],Moldavian,,
بغدانلی,[bɔɣ.dɑn.ˈɫɯ],Moldavian (person),,
بیرام,/bajˈɾam/,"holy feast, holy day, festival",,
تجهیزات,/tɛdʒ.hi.zaːt/,"equipment, kit",,
ترشی,[tuɾˈʃɯ],"pickle, vegetable made to last with vinegar or salt",,
ترنج,[tuˈɾunt͡ʃ],bitter orange,,
تره,/tɛˈɾɛ/,cress,,
تفنك,[tyˈfɛɲc],"rifle, fusil, musket, arquebus, tophaike, ‏كوچك تفنك‎",,
تكیه,[tɛk.ˈjɛ],"Sufi monastery, dervish convent, used as a hostel for",,
تمغا,/tɑmˈɡɑ/,"stamp, pressed mark",,
تنبل,[tɛm.ˈbɛl],lazy,,
جدوار,/d͡ʒɛdˈvɑɾ/,zedoary (Curcuma zedoaria),,
جلاد,/d͡ʒeˈlːɑt/,"executioner, headsman",,
ـجی,/dʒi/,"Suffix creating nouns describing an occupation
‎قاشق‎ (kaşık, “spoon”) + ‎ـجی → ‎قاشقجی‎ (kaşıkcı, “spoon maker”)",,
حامله,/haːmi.le/,"pregnant, Synonyms: گبه‎ (gebe), یوکلو‎ (yüklü)",,
حبسخانه,[hɑpshɑˈnɛ],"prison, jail, Synonyms: زندان‎ (zından, zindan), قفس‎",,
حریت,/hyɾ.ɾi.jet/,freedom,,
حز,/hɯz/,"speed, velocity
Synonym: سرعت‎ (sür'at)",,
حكومت,/hy.cuːmet/,government,,
خاویار,[xɑv.ˈjɑɾ],caviar,,
خرسز,/hɯɾsɯz/,thief,,
خرم,/hyrˈrɛm/,happy,,
خرم,/hyrˈrɛm/,"A female given name, Hürrem Sultan",,
خرما,[xuɾˈmɑ],date (fruit),,
خشر,/hɯʃɯɾ/,"hard side of a fruit such as of a melon or cucumber,",,
